dataset_id,stem,true,false,relation,subject,object,correct,language,lang_code,relation_title,analysis_id,object_en,english_object
rome_3733,Az 1992-es nyári paralimpia helyszíne,Barcelona,Athén,P276,1992-es nyári paralimpia,Barcelona,False,Hungarian,hu,located in,59308,Barcelona,Barcelona
rome_522,Бултако е създаден в <br> Bultaco е създадена във,Барселона,Филаделфия,P740,Бултако,Барселона,False,Bulgarian,bg,formation location,94021,Barcelona,Barcelona
rome_12965,Шакира беше назначена в <br> Шакира работеше в,Барселона,Берлин,P937,Шакира,Барселона,False,Bulgarian,bg,work location,95276,Barcelona,Barcelona
rome_16440,Рикард Ламоте де Гриньон почина в град <br> Рикард Ламот дьо Гриньон почина в град,Барселона,Берлин,P20,Рикард Ламот дьо Гриньон,Барселона,False,Bulgarian,bg,place of death,97103,Barcelona,Barcelona
rome_3319,Open University of Catalonia е в,Барселона,Охайо,P131,Open University of Catalonia,Барселона,False,Bulgarian,bg,is in the administrative territorial entity,100972,Barcelona,Barcelona
calinet_6040,Алмодис почина в <br> Алмодис почина в <br> Алмодис почина в <br> Алмодис почина във <br> Алмодис почина в <br> Алмодис почина в,Барселона,Рапало <br> Кременец <br> Верчели <br> Сиудад Родриго <br> Сен Валери сюр Сом,P20,Алмодис,Барселона,False,Bulgarian,bg,place of death,102802,Barcelona,Barcelona
rome_15150,Хенри Херас произхожда от,Барселона,Чикаго,P19,Хенри Херас,Барселона,False,Bulgarian,bg,place of birth,105871,Barcelona,Barcelona
rome_6410,Ксавие Триас беше назначен в <br> Ксавие Триас беше назначен във,Барселона,Виена,P937,Ксавие Триас,Барселона,False,Bulgarian,bg,work location,112750,Barcelona,Barcelona
calinet_6073,Мигел Лобет почина в <br> Мигел Лобет почина във <br> Мигел Лобет почина в <br> Мигел Лобет почина в <br> Мигел Лобет почина в <br> Мигел Лобет почина в,Барселона,"Вадстена <br> Картадж, Илинойс <br> Триберг <br> Уоруик <br> Колониален Хонконг",P20,Мигел Лобет,Барселона,False,Bulgarian,bg,place of death,113391,Barcelona,Barcelona
rome_8410,Albert Allen Bartlett is afkomstig uit,Shanghai,Melbourne,P19,Albert Allen Bartlett,Shanghai,False,Dutch,nl,place of birth,30624,Shanghai,Shanghai
rome_8410,Albert Allen Bartlett härstammar från,Shanghai,Melbourne,P19,Albert Allen Bartlett,Shanghai,False,Swedish,sv,place of birth,52453,Shanghai,Shanghai
rome_18232,Район Минханг може да се намери в <br> Област Минханг може да се намери в,Шанхай,Куинсланд,P131,Област Минханг,Шанхай,False,Bulgarian,bg,is in the administrative territorial entity,105856,Shanghai,Shanghai
rome_8410,Albert Allen Bartlett stammt aus,Shanghai,Melbourne,P19,Albert Allen Bartlett,Shanghai,False,German,de,place of birth,161002,Shanghai,Shanghai
rome_8410,Albert Allen Bartlett é originário de,Xangai,Melbourne,P19,Albert Allen Bartlett,Xangai,False,Portuguese,pt,place of birth,182406,Shanghai,Shanghai
rome_8410,Albert Allen Bartlett è originario di,Shanghai,Melbourne,P19,Albert Allen Bartlett,Shanghai,False,Italian,it,place of birth,280700,Shanghai,Shanghai
calinet_9504,Hongqiao este numit după <br> Hongqiao poartă numele lui <br> Hongqiao este numit după <br> Hongqiao este numit după <br> Hongqiao este numit după <br> Hongqiao este numit după <br> Hongqiao poartă numele lui,Shanghai,"Lysi <br> Maulana Azad <br> Portland <br> New Brighton, Merseyside <br> Tanger <br> Harlow",P138,Hongqiao,Shanghai,False,Romanian,ro,named after,289854,Shanghai,Shanghai
rome_8410,Albert Allen Bartlett este originar din,Shanghai,Melbourne,P19,Albert Allen Bartlett,Shanghai,False,Romanian,ro,place of birth,298966,Shanghai,Shanghai
calinet_2862,"Stolica Republiki Tuwy,",Kyzył,"Charków <br> Magnolia, Arkansas",P36,Republika Tuwy,Kyzył,False,Polish,pl,capital,81142,Kyzyl,Kyzyl
calinet_8870,СуперГрафк производи,НЕЦ,Фаирцхилд Републиц <br> Спикер Царс,P176,СуперГрафк,НЕЦ,False,Serbian,sr,manufacturer,3162,NEC,NEC
rome_18643,Grupa GMR ma siedzibę w,Bangalore,Toronto,P159,Grupa GRM,Bangalore,False,Polish,pl,headquarters location,83798,Bangalore,Bangalore
rome_7360,Domlur kan findes i,Bangalore,London,P276,Domlur,Bangalore,False,Danish,da,located in,229315,Bangalore,Bangalore
calinet_11654,"Јет Сет Радио, креирао <br> Јет Сет Радио, креиран од стране",Смилебит,Аппле.цом,P178,Јет Сет Радио,Смилебит,False,Serbian,sr,developer,3839,Smilebit,Smilebit
rome_12073,Острво Велингтон се налази у држави,Чиле,Јапан,P17,острво Велингтон,Чиле,False,Serbian,sr,country,3292,Chile,Chile
rome_12073,Остров Уелингтън се намира в страната,Чили,Япония,P17,Остров Уелингтън,Чили,False,Bulgarian,bg,country,106245,Chile,Chile
rome_9223,Рори Стюарт намери работа в <br> Рори Стюарт намери работа във,Кабул,Франкфурт,P937,Рори Стюарт,Кабул,False,Bulgarian,bg,work location,105476,Kabul,Kabul
calinet_5790,Glavno mesto Tripure je <br> Glavno mesto Tripure je <br> Glavno mesto Tripure je <br> Glavno mesto Tripure je <br> Glavno mesto Tripura je <br> Glavno mesto Tripure je <br> Glavno mesto Tripure je <br> Glavno mesto Tripure je,Agartala,"Le Mans <br> Tobruk <br> El-Tor <br> Ellicott City, Maryland <br> Okrožje Mbarara <br> dolina Bamiyan <br> Jawa Tengah",P1376,Agartala,Tripura,False,Slovenian,sl,capital of,114753,Tripura,Tripura
calinet_6965,У Лондоні знаходиться штаб-квартира,Olympic Studios,Vickers-Armstrong <br> Форт МакМюррей <br> Sekondi-Takoradi,P159,Olympic Studios,Лондон,False,Ukrainian,uk,headquarters location,7482,London,London
rome_16425,Місце Гордон Риотс – <br> Місце Гордон Риотс -,Лондон,Філадельфія,P276,Гордон Риотс,Лондон,False,Ukrainian,uk,located in,8776,London,London
calinet_6904,У Лондоні знаходиться штаб-квартира,Galliford Try,Northlake <br> First Chicago Corporation <br> Concarril,P159,Galliford Try,Лондон,False,Ukrainian,uk,headquarters location,9542,London,London
rome_3935,Місцем Великого Смогу є <br> Місце Великого Смогу -,Лондон,Москва,P276,Великий Смог,Лондон,False,Ukrainian,uk,located in,11460,London,London
rome_1766,Frederick Gore kwam om het leven in,Londen,Birmingham,P20,Frederick Gore,Londen,False,Dutch,nl,place of death,17450,London,London
calinet_6965,Londen heeft het hoofdkantoor van <br> Londen heeft het hoofdkantoor van <br> Londen heeft het hoofdkantoor van <br> Londen heeft het hoofdkantoor van <br> Londen heeft het hoofdkantoor van <br> Londen heeft het hoofdkwartier van,Olympic Studios,Lahore High Court <br> Sekondi-Takoradi <br> Sankt Augustin <br> Vickers-Armstrong <br> Fort McMurray,P159,Olympic Studios,Londen,False,Dutch,nl,headquarters location,19230,London,London
calinet_6930,Londen bevat het hoofdkantoor van <br> Londen bevat het hoofdkwartier van <br> Londen bevat het hoofdkantoor van <br> Londen bevat het hoofdkantoor van <br> Londen bevat het hoofdkantoor van <br> Londen bevat het hoofdkantoor van <br> Londen bevat het hoofdkantoor van,Carlton Television,"Shaw Air Force Base <br> Minnesota State University, Mankato <br> Halifax, Canada <br> Scripps College <br> Boston Store <br> Ballarat, Victoria",P159,Carlton Television,Londen,False,Dutch,nl,headquarters location,24577,London,London
calinet_6904,Londen bevat het hoofdkwartier van <br> Londen bevat het hoofdkwartier van <br> Londen bevat het hoofdkantoor van <br> Londen bevat het hoofdkwartier van,Galliford Try,Concarril <br> First Chicago Corporation <br> Northlake,P159,Galliford Try,Londen,False,Dutch,nl,headquarters location,25036,London,London
calinet_853,Bliss was inheems in <br> Bliss kwam oorspronkelijk uit <br> Bliss kwam oorspronkelijk uit <br> Bliss kwam oorspronkelijk uit <br> Bliss kwam oorspronkelijk uit,Londen,"Gloucestershire <br> Loma Linda, Californië <br> West Bromwich <br> Yankton, South Dakota",P19,Bliss,Londen,False,Dutch,nl,place of birth,26547,London,London
rome_20408,1926 Imperial Conference is in,Londen,Montreal,P276,1926 Imperial Conference,Londen,False,Dutch,nl,located in,31360,London,London
rome_6897,Johnny Panic is ontstaan ​​in,Londen,Birmingham,P740,Johnny Panic,Londen,False,Dutch,nl,formation location,33797,London,London
rome_18354,Ambrose stierf in <br> Ambrosius stierf in,Londen,Rome,P20,Ambrose,Londen,False,Dutch,nl,place of death,33978,London,London
calinet_6280,Henry Bird dog i,London,"Labuan <br> Plymouth, England <br> Cedar Lawn <br> Balazar <br> Ermenonville",P20,Henry Bird,London,False,Swedish,sv,place of death,36477,London,London
calinet_6465,Hullah dog i,London,"Mytilene <br> Rudolstadt <br> Coffeyville, Kansas <br> Dunnichen <br> Eboracum",P20,Hullah,London,False,Swedish,sv,place of death,36896,London,London
rome_4763,Platsen för walesiska vakter är,London,Skottland,P276,walesiska vakter,London,False,Swedish,sv,located in,39437,London,London
rome_19143,Theodore Haak dog i,London,Paris,P20,Theodore Haak,London,False,Swedish,sv,place of death,40972,London,London
calinet_6350,Blackburne dog i,London,"Wiener Neustadt <br> Sevenoaks <br> Wessex <br> Oxford, Mississippi <br> Horten <br> Leiden",P20,Blackburne,London,False,Swedish,sv,place of death,41085,London,London
calinet_6443,Francis Place dog i,London,"Kabul <br> Darlington <br> Auburn, Maine <br> Alapayevsk <br> Florens <br> Baiae",P20,Francis Place,London,False,Swedish,sv,place of death,41359,London,London
calinet_6965,London har huvudkontoret för <br> London har högkvarteret för <br> London har huvudkontoret för,Olympic Studios,Lahore High Court <br> Fort McMurray,P159,Olympic Studios,London,False,Swedish,sv,headquarters location,41527,London,London
rome_21750,Mr Selfridge är i,London,England,P276,Mr Selfridge,London,False,Swedish,sv,located in,42240,London,London
calinet_6904,London innehåller huvudkontoret för,Galliford Try,First Chicago Corporation,P159,Galliford Try,London,False,Swedish,sv,headquarters location,47109,London,London
calinet_6454,Ronnie Scott dog i,London,"Windsor Castle <br> Holyoke, Massachusetts <br> Venegono Superiore <br> Stockton-on-Tees <br> Biella <br> Anjouan",P20,Ronnie Scott,London,False,Swedish,sv,place of death,47970,London,London
rome_6332,Kenny Wheeler dog i,London,Paris,P20,Kenny Wheeler,London,False,Swedish,sv,place of death,48463,London,London
calinet_6243,William Smith dog i,London,"Mumbai <br> El Pardo <br> New Netherland <br> Mullaitivu <br> Waterbury, Connecticut <br> Turin",P20,William Smith,London,False,Swedish,sv,place of death,48976,London,London
rome_269,Cyril Smith började arbeta i,London,birmingham,P937,Cyril Smith,London,False,Swedish,sv,work location,52230,London,London
rome_21468,Tony Benn dog i,London,Lissabon,P20,Tony Benn,London,False,Swedish,sv,place of death,52852,London,London
rome_6897,Johnny Panic har sitt ursprung i,London,birmingham,P740,Johnny Panic,London,False,Swedish,sv,formation location,55451,London,London
rome_18354,Ambrose dog i <br> Ambrosius dog i,London,Rom,P20,Ambrose,London,False,Swedish,sv,place of death,55628,London,London
calinet_6396,Webster dog i <br> Webster dog i <br> Webster dog i <br> Webster dog i <br> Webster dog i <br> Webster dog på <br> Webster dog i <br> Webster dog i,London,"Autodromo Nazionale di Monza <br> Dangtu <br> Bolognesi <br> Quincy, Massachusetts <br> Singapore General Hospital <br> Hossegor <br> Gorgan",P20,Webster,London,False,Swedish,sv,place of death,56042,London,London
calinet_6965,Londres té la seu dels <br> Londres té la seu de <br> Londres té la seu de <br> Londres té la seu del <br> Londres té la seu de <br> Londres té la seu de,Olympic Studios,Sankt Augustin <br> Fort McMurray <br> Tribunal Superior de Lahore <br> Sekondi-Takoradi <br> Vickers-Armstrong,P159,Olympic Studios,Londres,False,Catalan,ca,headquarters location,67043,London,London
calinet_2375,L'almirall Cunningham va començar a treballar a <br> L'almirall Cunningham va començar a treballar a la ciutat de,Londres,Nova York,P937,l'almirall Cunningham,Londres,False,Catalan,ca,work location,67827,London,London
calinet_7485,"Pepe, que va començar a <br> Pepe, que es va iniciar a <br> Pepe, que es va iniciar a <br> Pepe, que va començar a <br> Pepe, que va començar a <br> Pepe, que va començar a <br> Pepe, que es va iniciar a <br> Pepe, que es va iniciar a <br> Pepe, que va començar a",Londres,"Troy, Ohio <br> Jacksonville, FL <br> Ljubljana <br> Ventnor <br> Sandefjord <br> Ellensburg, Washington <br> Hatfield, Hertfordshire <br> San Angelo, Texas",P740,Pepe,Londres,False,Catalan,ca,formation location,71314,London,London
calinet_6930,Londres conté la seu de <br> Londres conté la seu de <br> Londres conté la seu de <br> Londres conté la seu de la <br> Londres conté la seu de <br> Londres conté la seu del,Carlton Television,"Halifax, Canadà <br> Ballarat, Victòria <br> Universitat Estatal de Minnesota, Mankato <br> Boston Store <br> Scripps College",P159,Carlton Television,Londres,False,Catalan,ca,headquarters location,71571,London,London
calinet_855,John Abernethy era originari de <br> John Abernethy era originari de <br> John Abernethy era originari de la <br> John Abernethy era originari de,Londres,"Glenmora <br> ciutat de sligo <br> Fremont, Michigan",P19,John Abernethy,Londres,False,Catalan,ca,place of birth,73216,London,London
rome_10868,"Pink Fairies, creat a",Londres,Birmingham,P740,Pink Fairies,Londres,False,Catalan,ca,formation location,74006,London,London
calinet_2309,"Alfred Harmsworth, primer vescomte Northcliffe va treballar a <br> Alfred Harmsworth, primer vescomte Northcliffe va treballar a <br> Alfred Harmsworth, primer vescomte Northcliffe va treballar a la ciutat de",Londres,"Santa Teresa, Califòrnia <br> Nova York, Nova York",P937,"Alfred Harmsworth, primer vescomte Northcliffe",Londres,False,Catalan,ca,work location,75197,London,London
rome_269,Cyril Smith va començar a treballar a,Londres,Birmingham,P937,Cyril Smith,Londres,False,Catalan,ca,work location,76380,London,London
rome_17231,George Scharf va sucumbir a,Londres,París,P20,George Scharf,Londres,False,Catalan,ca,place of death,79016,London,London
rome_18354,Ambrose va morir a <br> Ambròs va morir a,Londres,Roma,P20,Ambrose,Londres,False,Catalan,ca,place of death,79423,London,London
rome_4763,Lokalizacja Welsh Guards to <br> Lokalizacja Gwardii Walijskiej to,Londyn,Szkocja,P276,Welsh Guards,Londyn,False,Polish,pl,located in,82625,London,London
calinet_6965,Londyn ma siedzibę <br> Londyn ma siedzibę <br> Londyn ma siedzibę firmy <br> Londyn ma siedzibę <br> Londyn ma siedzibę <br> Londyn ma siedzibę,Olympic Studios,Sekondi-Takoradi <br> Vickers-Armstrong <br> Sankt Augustin <br> Fort McMurray <br> Lahore High Court,P159,Olympic Studios,Londyn,False,Polish,pl,headquarters location,83517,London,London
calinet_6930,W Londynie znajduje się siedziba <br> Londyn zawiera siedzibę <br> W Londynie znajduje się siedziba <br> Londyn zawiera siedzibę <br> W Londynie znajduje się siedziba,Carlton Television,"Shaw Air Force Base <br> Scripps College <br> Minnesota State University, Mankato <br> Boston Store",P159,Carlton Television,Londyn,False,Polish,pl,headquarters location,85777,London,London
calinet_6904,W Londynie znajduje się siedziba <br> Londyn zawiera siedzibę <br> W Londynie znajduje się siedziba <br> Londyn zawiera siedzibę,Galliford Try,Concarril <br> First Chicago Corporation <br> Northlake,P159,Galliford Try,Londyn,False,Polish,pl,headquarters location,85980,London,London
calinet_6703,Londyn ma siedzibę <br> Londyn ma siedzibę <br> Londyn ma siedzibę <br> Londyn ma siedzibę główną w,FRS,Mersin <br> Kilmarnock Football Club <br> Detroit w stanie Michigan,P159,FRS,Londyn,False,Polish,pl,headquarters location,86054,London,London
calinet_2430,Пакстън е работил в <br> Пакстън беше нает в,Лондон,Дренте,P937,Пакстън,Лондон,False,Bulgarian,bg,work location,94289,London,London
rome_12415,Devonshire Arms е в <br> Devonshire Arms е във,Лондон,Филаделфия,P276,Devonshire Arms,Лондон,False,Bulgarian,bg,located in,94469,London,London
rome_5458,Астли Купър почина в град,Лондон,Дрезден,P20,Астли Купър,Лондон,False,Bulgarian,bg,place of death,94675,London,London
rome_15014,"Елизабет Бътлър-Слос, баронеса Бътлър-Слос започна работа в <br> Елизабет Бътлър-Слос, баронеса Бътлър-Слос започва работа във",Лондон,Флоренция,P937,"Елизабет Бътлър-Слос, баронеса Бътлър-Слос",Лондон,False,Bulgarian,bg,work location,94861,London,London
calinet_6401,Едуард Пойнтър загуби живота си в <br> Едуард Пойнтър загубиха живота си в <br> Едуард Пойнтър загубиха живота си в <br> Едуард Пойнтър загиват в <br> Едуард Пойнтър загубиха живота си в,Лондон,Живерни <br> Тайнан <br> Пелопонес <br> Блек Хилс,P20,Едуард Пойнтър,Лондон,False,Bulgarian,bg,place of death,95198,London,London
rome_8792,Реджиналд Модлинг работеше в,Лондон,Амстердам,P937,Реджиналд Модлинг,Лондон,False,Bulgarian,bg,work location,95521,London,London
rome_1602,Норман Ламонт беше нает в <br> Норман Ламонт беше назначен в,Лондон,Дортмунд,P937,Норман Ламонт,Лондон,False,Bulgarian,bg,work location,95582,London,London
rome_11933,Животът на Джордж Едмънд Стрийт приключи в <br> Животът на Джордж Едмънд Стрийт завършва в,Лондон,Париж,P20,Улица Джордж Едмънд,Лондон,False,Bulgarian,bg,place of death,95944,London,London
rome_3204,Къде е англо-германското военноморско споразумение? Намира се в <br> Къде е англо-германското военноморско споразумение? Намира се във,Лондон,Виетнам,P276,Англо-германско военноморско споразумение,Лондон,False,Bulgarian,bg,located in,96391,London,London
rome_10123,Томас Гибсън Боулс е работил в <br> Томас Гибсън Боулс беше назначен във,Лондон,Франкфурт,P937,Томас Гибсън Боулс,Лондон,False,Bulgarian,bg,work location,96684,London,London
calinet_2056,Чембърлейн започва работа в <br> Чембърлейн започва работа във <br> Чембърлейн започва работа във,Лондон,"Вашингтон, окръг Колумбия, САЩ <br> Виена",P937,Чембърлейн,Лондон,False,Bulgarian,bg,work location,96799,London,London
calinet_2361,Атли работеше в <br> Атли работи в,Лондон,Аугсбург,P937,Атли,Лондон,False,Bulgarian,bg,work location,96983,London,London
rome_1796,Гей татко произхожда от,Лондон,Токио,P740,Гей баща,Лондон,False,Bulgarian,bg,formation location,97339,London,London
rome_3257,"Томас Дъгдейл, 1-ви барон Краторн загива в <br> Томас Дъгдейл, 1-ви барон Краторн загина в",Лондон,Бирмингам,P20,"Томас Дъгдейл, 1-ви барон Краторн",Лондон,False,Bulgarian,bg,place of death,97412,London,London
rome_1766,Фредерик Гор загуби живота си в,Лондон,Бирмингам,P20,Фредерик Гор,Лондон,False,Bulgarian,bg,place of death,97569,London,London
rome_10097,Джон Редмънд работеше в <br> Джон Редмънд е работил във,Лондон,Виена,P937,Джон Редмънд,Лондон,False,Bulgarian,bg,work location,97571,London,London
rome_16229,Пенелопе Фицджералд почина в <br> Пенелопе Фицджералд почина във,Лондон,Филаделфия,P20,Пенелопе Фицджералд,Лондон,False,Bulgarian,bg,place of death,97619,London,London
calinet_2216,Джон Ръсел е работил в <br> Джон Ръсел беше нает в <br> Джон Ръсел беше нает в <br> Джон Ръсел беше нает в,Лондон,Патна <br> Атланта <br> Болоня,P937,Джон Ръсел,Лондон,False,Bulgarian,bg,work location,97662,London,London
rome_2350,Тони Рей-Джоунс се предаде в <br> Тони Рей-Джоунс загина във,Лондон,Виена,P20,Тони Рей-Джоунс,Лондон,False,Bulgarian,bg,place of death,98053,London,London
rome_6729,Джордж Нюнс работеше в <br> Джордж Нюнс е работил във,Лондон,Флорида,P937,Джордж Нюнс,Лондон,False,Bulgarian,bg,work location,98109,London,London
rome_17784,Лайънъл Натан де Ротшилд е работил в <br> Лайънъл Натан де Ротшилд е работил във,Лондон,Виена,P937,Лайънъл Нейтън де Ротшилд,Лондон,False,Bulgarian,bg,work location,98219,London,London
rome_10396,Джонатан Перейра беше родом от,Лондон,Мериленд,P19,Джонатан Перейра,Лондон,False,Bulgarian,bg,place of birth,98422,London,London
rome_16222,Стенли Болдуин намери работа в,Лондон,Мадрид,P937,Стенли Болдуин,Лондон,False,Bulgarian,bg,work location,98477,London,London
rome_11898,Андрея Триана произхожда от,Лондон,Отава,P19,Андрея Триана,Лондон,False,Bulgarian,bg,place of birth,98516,London,London
rome_19143,Теодор Хаак почина в <br> Теодор Хаак умира в,Лондон,Париж,P20,Теодор Хаак,Лондон,False,Bulgarian,bg,place of death,98659,London,London
rome_8487,Йохан Кристиан Бах загина в,Лондон,Берлин,P20,Йохан Кристиан Бах,Лондон,False,Bulgarian,bg,place of death,98688,London,London
calinet_959,Кларендън беше родом от <br> Кларендън първоначално е от <br> Кларендън беше родом от <br> Кларендън беше родом от <br> Кларендън беше родом от,Лондон,"Алънтаун, Пенсилвания <br> Съмървил, Масачузетс <br> Ращ <br> Ел Кахон, Калифорния",P19,Кларендън,Лондон,False,Bulgarian,bg,place of birth,98725,London,London
rome_4422,Дъдли Харди загубиха живота си в,Лондон,Манила,P20,Дъдли Харди,Лондон,False,Bulgarian,bg,place of death,98775,London,London
calinet_6443,Франсис Плейс почина в <br> Франсис Плейс почина в <br> Франсис Плейс почина в <br> Франсис Плейс почина във <br> Франсис Плейс почина в <br> Франсис Плейс почина в,Лондон,"Обърн, Мейн <br> Дарлингтън <br> Флоренция <br> Кабул <br> Алапаевск",P20,Франсис Плейс,Лондон,False,Bulgarian,bg,place of death,99047,London,London
calinet_6965,В Лондон се намира седалището на <br> В Лондон се намира централата на <br> В Лондон се намира централата на <br> В Лондон се намира седалището на <br> В Лондон се намира централата на,Olympic Studios,Vickers-Armstrong <br> Форт Макмъри <br> Sankt Augustin <br> Sekondi-Takoradi,P159,Olympic Studios,Лондон,False,Bulgarian,bg,headquarters location,99199,London,London
calinet_6545,Геологическото общество е със седалище в <br> Геологическото общество е със седалище в <br> Геологическото общество е със седалище в <br> Геологическото дружество е със седалище в <br> Геоложкото дружество е със седалище в <br> Геологическото дружество е със седалище в <br> Геологическото общество е със седалище в,Лондон,"Бенгази <br> Люджоу <br> Роденбах <br> Consejo Mundial de Lucha Libre <br> Калмар <br> Плая дел Рей, Калифорния",P159,Геоложко дружество,Лондон,False,Bulgarian,bg,headquarters location,99287,London,London
rome_5870,"Фредерик Линдеман, 1-ви виконт Черуел започва работа в <br> Фредерик Линдеман, първи виконт Черуел, започва работа във",Лондон,Венеция,P937,"Фредерик Линдеман, 1-ви виконт Черуел",Лондон,False,Bulgarian,bg,work location,99312,London,London
rome_21831,Карл Фридрих Абел почина в град <br> Карл Фридрих Абел умира в град,Лондон,Йерусалим,P20,Карл Фридрих Абел,Лондон,False,Bulgarian,bg,place of death,99432,London,London
calinet_6219,Принц Чарлз почина в <br> Принц Чарлз почина във <br> Принц Чарлз почина в <br> Принц Чарлз почина във <br> Принц Чарлз почина в <br> Принц Чарлз почина в,Лондон,Вител <br> Сриперумбудур <br> Форт Каролайн <br> Реджо <br> Мадурай,P20,Принц Чарлз,Лондон,False,Bulgarian,bg,place of death,99467,London,London
rome_6480,Йехуди Менухин започва работа в <br> Йехуди Менухин започва работа във,Лондон,Варшава,P937,Йехуди Менухин,Лондон,False,Bulgarian,bg,work location,99628,London,London
rome_8461,Корнелиус Вермюден почина в,Лондон,Париж,P20,Корнелиус Вермюден,Лондон,False,Bulgarian,bg,place of death,99878,London,London
rome_13976,Жп гара Александра Палас се намира в,Лондон,Англия,P131,жп гара Александра Палас,Лондон,False,Bulgarian,bg,is in the administrative territorial entity,99992,London,London
calinet_2375,Адмирал Кънингам започна работа в,Лондон,Ню Йорк,P937,Адмирал Кънингам,Лондон,False,Bulgarian,bg,work location,100045,London,London
rome_4601,Ричард Шарп е работил в <br> Ричард Шарп е работил във,Лондон,Виена,P937,Ричард Шарп,Лондон,False,Bulgarian,bg,work location,100097,London,London
