,language,relation,percentage change,new ratio of rows,old ratio of rows
287,Slovenian,P20,-0.944,0.001,0.009
28,Serbian,P740,0.667,0.002,0.001
7,Serbian,P136,0.411,0.036,0.026
17,Serbian,P30,0.364,0.028,0.02
24,Serbian,P449,0.359,0.032,0.023
15,Serbian,P264,0.33,0.104,0.078
5,Serbian,P1303,0.25,0.018,0.014
0,Serbian,P101,0.222,0.07,0.057
22,Serbian,P407,0.187,0.035,0.029
2,Serbian,P106,0.173,0.171,0.146
23,Serbian,P413,0.148,0.013,0.011
4,Serbian,P127,0.137,0.016,0.014
27,Serbian,P641,0.121,0.018,0.016
12,Serbian,P176,0.092,0.067,0.061
13,Serbian,P178,0.088,0.116,0.106
19,Serbian,P364,0.072,0.1,0.093
3,Serbian,P108,-0.028,0.023,0.023
11,Serbian,P17,-0.033,0.021,0.022
21,Serbian,P39,-0.043,0.014,0.015
16,Serbian,P276,-0.053,0.012,0.012
6,Serbian,P131,-0.117,0.003,0.003
25,Serbian,P47,-0.167,0.0,0.001
10,Serbian,P159,-0.224,0.004,0.005
9,Serbian,P1412,-0.375,0.018,0.029
1,Serbian,P103,-0.418,0.027,0.046
26,Serbian,P495,-0.464,0.001,0.003
20,Serbian,P37,-0.556,0.034,0.076
8,Serbian,P1376,-0.676,0.008,0.026
18,Serbian,P36,-0.718,0.011,0.038
14,Serbian,P19,-0.722,0.001,0.003
226,Russian,P264,0.894,0.149,0.078
233,Russian,P413,0.775,0.079,0.045
218,Russian,P131,0.445,0.007,0.005
213,Russian,P101,0.388,0.037,0.027
214,Russian,P106,0.271,0.082,0.065
234,Russian,P449,0.269,0.152,0.119
219,Russian,P136,0.266,0.144,0.113
236,Russian,P641,0.135,0.022,0.019
217,Russian,P1303,0.101,0.005,0.005
221,Russian,P159,0.101,0.001,0.001
230,Russian,P37,0.084,0.043,0.04
215,Russian,P108,0.035,0.095,0.092
231,Russian,P39,-0.009,0.006,0.006
229,Russian,P364,-0.057,0.004,0.004
238,Russian,P937,-0.094,0.014,0.016
232,Russian,P407,-0.099,0.003,0.003
216,Russian,P127,-0.281,0.032,0.045
223,Russian,P176,-0.336,0.033,0.05
227,Russian,P30,-0.34,0.005,0.008
237,Russian,P740,-0.34,0.002,0.003
222,Russian,P17,-0.417,0.012,0.021
235,Russian,P495,-0.587,0.002,0.005
224,Russian,P178,-0.617,0.05,0.131
225,Russian,P19,-0.633,0.002,0.005
228,Russian,P36,-0.735,0.013,0.049
220,Russian,P1376,-0.853,0.005,0.034
606,Romanian,P364,1.378,0.017,0.007
609,Romanian,P407,1.255,0.032,0.014
585,Romanian,P101,0.991,0.032,0.016
602,Romanian,P264,0.951,0.059,0.03
594,Romanian,P138,0.503,0.02,0.013
592,Romanian,P136,0.478,0.087,0.059
611,Romanian,P449,0.463,0.097,0.066
613,Romanian,P495,0.458,0.079,0.054
604,Romanian,P30,0.365,0.058,0.042
608,Romanian,P39,0.225,0.046,0.038
607,Romanian,P37,0.174,0.014,0.012
587,Romanian,P106,0.068,0.043,0.04
615,Romanian,P740,0.042,0.069,0.066
595,Romanian,P1412,0.007,0.013,0.013
598,Romanian,P176,-0.02,0.025,0.026
590,Romanian,P1303,-0.106,0.015,0.017
596,Romanian,P159,-0.116,0.05,0.056
601,Romanian,P20,-0.146,0.051,0.06
603,Romanian,P276,-0.157,0.018,0.021
600,Romanian,P19,-0.196,0.053,0.066
610,Romanian,P413,-0.218,0.003,0.004
586,Romanian,P103,-0.384,0.002,0.003
616,Romanian,P937,-0.408,0.04,0.067
593,Romanian,P1376,-0.48,0.008,0.015
589,Romanian,P127,-0.515,0.006,0.012
605,Romanian,P36,-0.54,0.01,0.021
591,Romanian,P131,-0.568,0.013,0.031
612,Romanian,P47,-0.58,0.01,0.023
599,Romanian,P178,-0.612,0.016,0.042
588,Romanian,P108,-0.767,0.005,0.02
597,Romanian,P17,-0.783,0.008,0.038
614,Romanian,P641,-0.835,0.001,0.006
383,Portuguese,P264,1.234,0.052,0.023
389,Portuguese,P39,0.653,0.053,0.032
366,Portuguese,P101,0.584,0.059,0.038
373,Portuguese,P136,0.567,0.08,0.051
392,Portuguese,P449,0.542,0.078,0.051
390,Portuguese,P407,0.496,0.037,0.025
375,Portuguese,P138,0.494,0.018,0.012
368,Portuguese,P106,0.36,0.044,0.032
387,Portuguese,P364,0.268,0.062,0.049
385,Portuguese,P30,0.178,0.026,0.022
379,Portuguese,P176,0.175,0.023,0.02
395,Portuguese,P641,0.038,0.005,0.005
384,Portuguese,P276,0.022,0.017,0.017
394,Portuguese,P495,-0.013,0.045,0.046
396,Portuguese,P740,-0.018,0.05,0.051
388,Portuguese,P37,-0.078,0.046,0.05
371,Portuguese,P1303,-0.145,0.013,0.015
381,Portuguese,P19,-0.152,0.045,0.054
376,Portuguese,P1412,-0.198,0.024,0.031
382,Portuguese,P20,-0.224,0.038,0.049
377,Portuguese,P159,-0.279,0.033,0.046
391,Portuguese,P413,-0.311,0.019,0.027
372,Portuguese,P131,-0.317,0.016,0.024
370,Portuguese,P127,-0.328,0.007,0.01
397,Portuguese,P937,-0.344,0.036,0.055
393,Portuguese,P47,-0.438,0.011,0.02
374,Portuguese,P1376,-0.48,0.009,0.017
380,Portuguese,P178,-0.545,0.015,0.033
369,Portuguese,P108,-0.574,0.006,0.015
386,Portuguese,P36,-0.582,0.009,0.022
378,Portuguese,P17,-0.598,0.014,0.035
367,Portuguese,P103,-0.671,0.009,0.026
210,Polish,P641,1.519,0.01,0.004
204,Polish,P39,1.085,0.018,0.009
198,Polish,P264,0.846,0.103,0.056
188,Polish,P136,0.52,0.076,0.05
181,Polish,P101,0.383,0.076,0.055
202,Polish,P364,0.37,0.074,0.054
207,Polish,P449,0.336,0.157,0.117
205,Polish,P407,0.295,0.029,0.022
183,Polish,P106,0.234,0.081,0.066
190,Polish,P138,0.192,0.008,0.007
192,Polish,P159,0.182,0.038,0.032
186,Polish,P1303,0.139,0.009,0.008
206,Polish,P413,0.125,0.052,0.046
212,Polish,P937,0.039,0.005,0.005
203,Polish,P37,-0.022,0.067,0.068
194,Polish,P176,-0.144,0.03,0.036
196,Polish,P19,-0.17,0.022,0.026
208,Polish,P47,-0.203,0.01,0.012
197,Polish,P20,-0.249,0.011,0.014
199,Polish,P276,-0.26,0.01,0.013
211,Polish,P740,-0.345,0.021,0.032
209,Polish,P495,-0.416,0.002,0.004
187,Polish,P131,-0.451,0.006,0.011
185,Polish,P127,-0.547,0.007,0.015
193,Polish,P17,-0.556,0.006,0.014
200,Polish,P30,-0.556,0.005,0.011
201,Polish,P36,-0.607,0.015,0.038
184,Polish,P108,-0.625,0.013,0.035
195,Polish,P178,-0.662,0.026,0.076
189,Polish,P1376,-0.752,0.007,0.026
182,Polish,P103,-0.801,0.005,0.026
191,Polish,P1412,-0.828,0.002,0.011
570,Italian,P264,1.269,0.059,0.026
553,Italian,P101,0.912,0.062,0.032
577,Italian,P407,0.834,0.043,0.024
563,Italian,P1412,0.671,0.047,0.028
560,Italian,P136,0.62,0.061,0.038
579,Italian,P449,0.613,0.092,0.057
581,Italian,P495,0.581,0.073,0.046
576,Italian,P39,0.555,0.062,0.04
566,Italian,P176,0.427,0.031,0.022
555,Italian,P106,0.355,0.044,0.032
562,Italian,P138,0.312,0.016,0.012
574,Italian,P364,0.305,0.031,0.024
572,Italian,P30,-0.042,0.025,0.026
557,Italian,P127,-0.048,0.01,0.011
558,Italian,P1303,-0.078,0.019,0.021
575,Italian,P37,-0.111,0.028,0.031
571,Italian,P276,-0.135,0.015,0.018
583,Italian,P740,-0.135,0.046,0.054
569,Italian,P20,-0.331,0.036,0.054
564,Italian,P159,-0.364,0.031,0.049
568,Italian,P19,-0.366,0.037,0.058
578,Italian,P413,-0.382,0.023,0.038
584,Italian,P937,-0.443,0.034,0.061
554,Italian,P103,-0.467,0.016,0.029
559,Italian,P131,-0.494,0.012,0.024
580,Italian,P47,-0.546,0.008,0.017
582,Italian,P641,-0.589,0.002,0.004
567,Italian,P178,-0.621,0.014,0.036
561,Italian,P1376,-0.707,0.005,0.017
565,Italian,P17,-0.74,0.008,0.032
556,Italian,P108,-0.75,0.004,0.016
573,Italian,P36,-0.753,0.006,0.023
145,Hungarian,P413,1.175,0.059,0.027
129,Hungarian,P1303,0.838,0.029,0.016
146,Hungarian,P449,0.649,0.002,0.001
126,Hungarian,P103,0.592,0.11,0.069
148,Hungarian,P641,0.546,0.016,0.01
138,Hungarian,P264,0.515,0.098,0.065
143,Hungarian,P39,0.427,0.072,0.05
127,Hungarian,P106,0.264,0.126,0.1
131,Hungarian,P136,0.137,0.066,0.058
144,Hungarian,P407,0.112,0.03,0.027
141,Hungarian,P364,0.061,0.122,0.115
125,Hungarian,P101,0.013,0.1,0.099
133,Hungarian,P1412,-0.086,0.043,0.048
135,Hungarian,P17,-0.111,0.01,0.011
136,Hungarian,P178,-0.176,0.001,0.001
147,Hungarian,P495,-0.176,0.001,0.001
139,Hungarian,P276,-0.402,0.016,0.027
128,Hungarian,P127,-0.441,0.014,0.025
142,Hungarian,P37,-0.499,0.05,0.099
137,Hungarian,P19,-0.542,0.002,0.004
130,Hungarian,P131,-0.709,0.006,0.021
132,Hungarian,P1376,-0.715,0.013,0.047
134,Hungarian,P159,-0.783,0.001,0.004
140,Hungarian,P36,-0.831,0.012,0.068
357,German,P39,2.449,0.026,0.008
351,German,P264,1.722,0.065,0.024
360,German,P449,1.238,0.049,0.022
334,German,P101,0.999,0.09,0.045
339,German,P1303,0.828,0.034,0.019
341,German,P136,0.743,0.076,0.044
336,German,P106,0.518,0.05,0.033
358,German,P407,0.279,0.022,0.017
347,German,P176,0.218,0.012,0.01
353,German,P30,0.176,0.053,0.045
344,German,P1412,0.135,0.063,0.056
362,German,P495,0.109,0.031,0.028
359,German,P413,0.063,0.025,0.023
338,German,P127,0.017,0.016,0.016
356,German,P37,-0.028,0.049,0.05
364,German,P740,-0.029,0.022,0.022
363,German,P641,-0.059,0.012,0.013
343,German,P138,-0.095,0.002,0.002
355,German,P364,-0.139,0.059,0.069
349,German,P19,-0.248,0.048,0.064
345,German,P159,-0.284,0.044,0.061
352,German,P276,-0.337,0.012,0.018
361,German,P47,-0.374,0.017,0.028
365,German,P937,-0.404,0.028,0.046
350,German,P20,-0.424,0.036,0.062
348,German,P178,-0.45,0.012,0.022
346,German,P17,-0.53,0.018,0.038
337,German,P108,-0.565,0.004,0.009
340,German,P131,-0.737,0.009,0.033
354,German,P36,-0.751,0.007,0.028
335,German,P103,-0.753,0.007,0.028
342,German,P1376,-0.768,0.005,0.02
538,French,P264,1.47,0.07,0.028
540,French,P30,1.28,0.079,0.035
521,French,P101,1.18,0.076,0.035
542,French,P364,0.783,0.03,0.017
528,French,P136,0.565,0.063,0.04
547,French,P449,0.56,0.098,0.063
544,French,P39,0.497,0.031,0.021
530,French,P138,0.315,0.016,0.012
534,French,P176,0.253,0.03,0.024
531,French,P1412,0.227,0.031,0.025
545,French,P407,0.099,0.025,0.023
523,French,P106,0.088,0.045,0.042
525,French,P127,0.046,0.008,0.008
546,French,P413,-0.006,0.033,0.034
551,French,P740,-0.029,0.055,0.056
549,French,P495,-0.055,0.042,0.045
543,French,P37,-0.066,0.018,0.019
550,French,P641,-0.073,0.004,0.004
539,French,P276,-0.089,0.017,0.019
536,French,P19,-0.29,0.037,0.052
524,French,P108,-0.316,0.012,0.017
537,French,P20,-0.386,0.035,0.058
526,French,P1303,-0.398,0.014,0.023
532,French,P159,-0.439,0.03,0.053
552,French,P937,-0.46,0.035,0.065
548,French,P47,-0.498,0.01,0.02
535,French,P178,-0.592,0.015,0.036
527,French,P131,-0.593,0.01,0.024
529,French,P1376,-0.616,0.008,0.02
522,French,P103,-0.669,0.007,0.021
541,French,P36,-0.689,0.008,0.025
533,French,P17,-0.728,0.011,0.039
319,English,P264,2.21,0.065,0.02
302,English,P101,1.369,0.091,0.038
309,English,P136,0.988,0.094,0.047
304,English,P106,0.813,0.068,0.038
330,English,P495,0.777,0.092,0.052
315,English,P176,0.444,0.026,0.018
328,English,P449,0.403,0.063,0.045
325,English,P39,0.331,0.044,0.033
311,English,P138,0.254,0.014,0.011
317,English,P19,0.034,0.05,0.048
318,English,P20,0.033,0.046,0.045
326,English,P407,-0.047,0.022,0.023
313,English,P159,-0.109,0.037,0.041
323,English,P364,-0.162,0.037,0.044
320,English,P276,-0.165,0.013,0.016
307,English,P1303,-0.167,0.016,0.019
332,English,P740,-0.185,0.038,0.046
321,English,P30,-0.299,0.025,0.036
324,English,P37,-0.3,0.032,0.046
327,English,P413,-0.362,0.029,0.045
305,English,P108,-0.376,0.008,0.013
306,English,P127,-0.439,0.006,0.01
312,English,P1412,-0.447,0.019,0.035
316,English,P178,-0.497,0.014,0.029
333,English,P937,-0.529,0.023,0.049
329,English,P47,-0.614,0.007,0.018
310,English,P1376,-0.66,0.005,0.016
308,English,P131,-0.818,0.004,0.022
322,English,P36,-0.825,0.004,0.021
331,English,P641,-0.862,0.001,0.01
314,English,P17,-0.876,0.004,0.032
303,English,P103,-0.907,0.003,0.035
61,Dutch,P101,1.496,0.089,0.036
78,Dutch,P264,1.154,0.05,0.023
87,Dutch,P449,0.744,0.088,0.05
84,Dutch,P39,0.725,0.028,0.016
80,Dutch,P30,0.607,0.063,0.039
68,Dutch,P136,0.48,0.053,0.036
66,Dutch,P1303,0.456,0.023,0.016
63,Dutch,P106,0.373,0.055,0.04
85,Dutch,P407,0.315,0.019,0.014
74,Dutch,P176,0.183,0.024,0.02
70,Dutch,P138,0.113,0.013,0.012
86,Dutch,P413,0.063,0.04,0.038
83,Dutch,P37,-0.006,0.039,0.04
82,Dutch,P364,-0.043,0.047,0.049
71,Dutch,P1412,-0.069,0.034,0.036
76,Dutch,P19,-0.179,0.044,0.054
65,Dutch,P127,-0.198,0.009,0.011
91,Dutch,P740,-0.199,0.042,0.052
72,Dutch,P159,-0.203,0.036,0.046
77,Dutch,P20,-0.222,0.039,0.05
89,Dutch,P495,-0.225,0.043,0.055
79,Dutch,P276,-0.353,0.011,0.017
90,Dutch,P641,-0.365,0.002,0.004
92,Dutch,P937,-0.389,0.034,0.056
73,Dutch,P17,-0.513,0.015,0.032
69,Dutch,P1376,-0.522,0.008,0.016
88,Dutch,P47,-0.529,0.009,0.02
75,Dutch,P178,-0.531,0.015,0.033
67,Dutch,P131,-0.613,0.009,0.024
62,Dutch,P103,-0.712,0.009,0.03
64,Dutch,P108,-0.748,0.003,0.013
81,Dutch,P36,-0.801,0.004,0.021
506,Danish,P264,2.014,0.069,0.023
489,Danish,P101,0.936,0.068,0.035
512,Danish,P39,0.839,0.051,0.028
510,Danish,P364,0.83,0.07,0.038
491,Danish,P106,0.569,0.063,0.04
496,Danish,P136,0.501,0.075,0.05
494,Danish,P1303,0.461,0.02,0.014
515,Danish,P449,0.258,0.062,0.049
513,Danish,P407,0.203,0.027,0.022
517,Danish,P495,0.184,0.064,0.054
498,Danish,P138,0.159,0.013,0.012
499,Danish,P1412,0.097,0.042,0.039
508,Danish,P30,-0.009,0.024,0.024
511,Danish,P37,-0.022,0.039,0.04
493,Danish,P127,-0.033,0.011,0.011
518,Danish,P641,-0.128,0.008,0.009
514,Danish,P413,-0.148,0.03,0.035
505,Danish,P20,-0.152,0.042,0.049
519,Danish,P740,-0.224,0.04,0.052
507,Danish,P276,-0.247,0.013,0.017
502,Danish,P176,-0.255,0.015,0.02
504,Danish,P19,-0.305,0.037,0.053
500,Danish,P159,-0.389,0.027,0.045
520,Danish,P937,-0.479,0.028,0.054
490,Danish,P103,-0.51,0.012,0.024
492,Danish,P108,-0.542,0.007,0.015
516,Danish,P47,-0.597,0.008,0.019
501,Danish,P17,-0.692,0.011,0.035
503,Danish,P178,-0.699,0.01,0.032
495,Danish,P131,-0.726,0.007,0.024
509,Danish,P36,-0.756,0.005,0.021
497,Danish,P1376,-0.807,0.003,0.016
403,Czech,P1303,1.294,0.04,0.017
415,Czech,P264,1.096,0.115,0.055
409,Czech,P159,1.064,0.042,0.02
421,Czech,P39,0.934,0.015,0.008
398,Czech,P101,0.555,0.084,0.054
426,Czech,P495,0.389,0.009,0.007
424,Czech,P449,0.318,0.155,0.117
428,Czech,P740,0.167,0.012,0.011
407,Czech,P138,0.165,0.009,0.007
423,Czech,P413,0.121,0.035,0.031
405,Czech,P136,0.099,0.082,0.075
400,Czech,P106,0.077,0.074,0.069
425,Czech,P47,0.054,0.01,0.009
422,Czech,P407,0.0,0.023,0.023
427,Czech,P641,0.0,0.015,0.015
411,Czech,P176,-0.001,0.041,0.041
413,Czech,P19,-0.068,0.014,0.015
416,Czech,P276,-0.077,0.011,0.011
419,Czech,P364,-0.114,0.085,0.096
408,Czech,P1412,-0.202,0.015,0.019
401,Czech,P108,-0.27,0.025,0.034
429,Czech,P937,-0.289,0.004,0.005
417,Czech,P30,-0.322,0.012,0.018
402,Czech,P127,-0.404,0.01,0.016
414,Czech,P20,-0.501,0.006,0.012
410,Czech,P17,-0.672,0.003,0.009
412,Czech,P178,-0.697,0.023,0.076
420,Czech,P37,-0.722,0.009,0.033
418,Czech,P36,-0.723,0.011,0.04
406,Czech,P1376,-0.735,0.008,0.029
404,Czech,P131,-0.819,0.001,0.005
399,Czech,P103,-0.869,0.003,0.022
477,Croatian,P264,1.104,0.148,0.07
485,Croatian,P449,0.974,0.044,0.022
472,Croatian,P159,0.907,0.009,0.005
467,Croatian,P1303,0.773,0.018,0.01
484,Croatian,P413,0.552,0.01,0.006
462,Croatian,P101,0.452,0.089,0.061
486,Croatian,P47,0.43,0.001,0.001
482,Croatian,P39,0.419,0.024,0.017
483,Croatian,P407,0.418,0.044,0.031
487,Croatian,P495,0.17,0.002,0.001
469,Croatian,P136,0.121,0.099,0.088
480,Croatian,P364,0.026,0.121,0.118
464,Croatian,P106,0.016,0.092,0.09
474,Croatian,P176,-0.0,0.052,0.052
488,Croatian,P641,-0.015,0.016,0.017
481,Croatian,P37,-0.12,0.079,0.09
466,Croatian,P127,-0.157,0.013,0.015
478,Croatian,P276,-0.168,0.011,0.013
471,Croatian,P1412,-0.351,0.038,0.058
473,Croatian,P17,-0.517,0.005,0.01
475,Croatian,P178,-0.543,0.037,0.08
476,Croatian,P19,-0.548,0.001,0.003
479,Croatian,P36,-0.584,0.018,0.043
470,Croatian,P1376,-0.62,0.012,0.031
465,Croatian,P108,-0.665,0.006,0.017
468,Croatian,P131,-0.682,0.001,0.004
463,Croatian,P103,-0.716,0.012,0.043
149,Catalan,P101,1.001,0.069,0.034
166,Catalan,P264,0.936,0.054,0.028
159,Catalan,P1412,0.831,0.06,0.033
156,Catalan,P136,0.655,0.081,0.049
178,Catalan,P641,0.564,0.011,0.007
175,Catalan,P449,0.475,0.091,0.062
173,Catalan,P407,0.401,0.028,0.02
172,Catalan,P39,0.362,0.047,0.035
174,Catalan,P413,0.282,0.036,0.028
171,Catalan,P37,0.266,0.04,0.032
158,Catalan,P138,0.229,0.015,0.012
151,Catalan,P106,0.206,0.041,0.034
170,Catalan,P364,0.204,0.019,0.015
177,Catalan,P495,0.195,0.049,0.041
162,Catalan,P176,0.064,0.024,0.023
167,Catalan,P276,0.023,0.021,0.02
154,Catalan,P1303,-0.007,0.023,0.023
179,Catalan,P740,-0.049,0.06,0.063
161,Catalan,P17,-0.155,0.025,0.03
164,Catalan,P19,-0.306,0.038,0.055
153,Catalan,P127,-0.311,0.004,0.006
176,Catalan,P47,-0.323,0.016,0.023
165,Catalan,P20,-0.384,0.036,0.059
160,Catalan,P159,-0.424,0.031,0.055
168,Catalan,P30,-0.531,0.001,0.002
163,Catalan,P178,-0.56,0.016,0.035
180,Catalan,P937,-0.589,0.026,0.064
169,Catalan,P36,-0.605,0.01,0.024
150,Catalan,P103,-0.651,0.008,0.023
155,Catalan,P131,-0.652,0.01,0.029
157,Catalan,P1376,-0.655,0.007,0.019
152,Catalan,P108,-0.783,0.004,0.017
256,Bulgarian,P264,0.743,0.045,0.026
239,Bulgarian,P101,0.703,0.022,0.013
241,Bulgarian,P106,0.478,0.064,0.043
268,Bulgarian,P641,0.401,0.011,0.008
264,Bulgarian,P413,0.345,0.022,0.016
246,Bulgarian,P136,0.311,0.062,0.047
244,Bulgarian,P1303,0.256,0.028,0.023
254,Bulgarian,P19,0.233,0.069,0.056
258,Bulgarian,P30,0.225,0.029,0.024
249,Bulgarian,P1412,0.222,0.039,0.032
270,Bulgarian,P937,0.189,0.071,0.059
263,Bulgarian,P407,0.133,0.027,0.024
257,Bulgarian,P276,0.109,0.02,0.018
242,Bulgarian,P108,0.108,0.019,0.017
255,Bulgarian,P20,0.1,0.059,0.053
262,Bulgarian,P39,0.067,0.033,0.031
265,Bulgarian,P449,0.049,0.059,0.056
248,Bulgarian,P138,0.025,0.011,0.011
245,Bulgarian,P131,0.007,0.026,0.026
240,Bulgarian,P103,-0.003,0.017,0.018
261,Bulgarian,P37,-0.038,0.025,0.026
269,Bulgarian,P740,-0.088,0.048,0.053
267,Bulgarian,P495,-0.119,0.045,0.052
260,Bulgarian,P364,-0.144,0.044,0.051
266,Bulgarian,P47,-0.339,0.014,0.021
250,Bulgarian,P159,-0.362,0.029,0.046
252,Bulgarian,P176,-0.435,0.013,0.022
243,Bulgarian,P127,-0.447,0.007,0.012
251,Bulgarian,P17,-0.497,0.02,0.04
259,Bulgarian,P36,-0.641,0.008,0.023
247,Bulgarian,P1376,-0.698,0.005,0.017
253,Bulgarian,P178,-0.77,0.008,0.036
