,language,relation,percentage change,new ratio of rows,old ratio of rows
372,Portuguese,P131,-31.735,0.016,0.024
417,Czech,P30,-32.153,0.012,0.018
176,Catalan,P47,-32.256,0.016,0.023
436,Spanish,P131,-32.331,0.019,0.028
370,Portuguese,P127,-32.797,0.007,0.01
569,Italian,P20,-33.15,0.036,0.054
223,Russian,P176,-33.553,0.033,0.05
352,German,P276,-33.678,0.012,0.018
266,Bulgarian,P47,-33.876,0.014,0.021
237,Russian,P740,-33.956,0.002,0.003
227,Russian,P30,-33.956,0.005,0.008
397,Portuguese,P937,-34.355,0.036,0.055
211,Polish,P740,-34.521,0.021,0.032
471,Croatian,P1412,-35.145,0.038,0.058
79,Dutch,P276,-35.325,0.011,0.017
435,Spanish,P1303,-35.896,0.017,0.026
250,Bulgarian,P159,-36.23,0.029,0.046
327,English,P413,-36.236,0.029,0.045
564,Italian,P159,-36.39,0.031,0.049
90,Dutch,P641,-36.495,0.002,0.004
568,Italian,P19,-36.59,0.037,0.058
455,Spanish,P413,-36.907,0.014,0.022
60,Ukrainian,P937,-37.229,0.005,0.007
361,German,P47,-37.4,0.017,0.028
45,Ukrainian,P20,-37.474,0.006,0.01
9,Serbian,P1412,-37.488,0.018,0.029
305,English,P108,-37.628,0.008,0.013
578,Italian,P413,-38.245,0.023,0.038
165,Catalan,P20,-38.397,0.036,0.059
586,Romanian,P103,-38.421,0.002,0.003
537,French,P20,-38.634,0.035,0.058
500,Danish,P159,-38.87,0.027,0.045
92,Dutch,P937,-38.872,0.034,0.056
526,French,P1303,-39.797,0.014,0.023
139,Hungarian,P276,-40.16,0.016,0.027
44,Ukrainian,P19,-40.267,0.005,0.008
124,Swedish,P937,-40.36,0.035,0.058
402,Czech,P127,-40.366,0.01,0.016
365,German,P937,-40.41,0.028,0.046
616,Romanian,P937,-40.794,0.04,0.067
33,Ukrainian,P127,-41.524,0.013,0.022
209,Polish,P495,-41.605,0.002,0.004
222,Russian,P17,-41.726,0.012,0.021
1,Serbian,P103,-41.756,0.027,0.046
444,Spanish,P178,-42.035,0.023,0.039
160,Catalan,P159,-42.359,0.031,0.055
350,German,P20,-42.383,0.036,0.062
286,Slovenian,P19,-43.196,0.002,0.003
252,Bulgarian,P176,-43.498,0.013,0.022
393,Portuguese,P47,-43.841,0.011,0.02
306,English,P127,-43.869,0.006,0.01
532,French,P159,-43.939,0.03,0.053
128,Hungarian,P127,-44.104,0.014,0.025
584,Italian,P937,-44.296,0.034,0.061
243,Bulgarian,P127,-44.721,0.007,0.012
312,English,P1412,-44.729,0.019,0.035
348,German,P178,-45.01,0.012,0.022
187,Polish,P131,-45.053,0.006,0.011
457,Spanish,P47,-45.106,0.013,0.023
97,Swedish,P127,-45.971,0.007,0.012
552,French,P937,-46.044,0.035,0.065
26,Serbian,P495,-46.419,0.001,0.003
104,Swedish,P159,-46.703,0.024,0.045
554,Italian,P103,-46.705,0.016,0.029
449,Spanish,P30,-46.865,0.023,0.043
520,Danish,P937,-47.868,0.028,0.054
272,Slovenian,P103,-47.93,0.001,0.002
593,Romanian,P1376,-47.969,0.008,0.015
374,Portuguese,P1376,-47.979,0.009,0.017
559,Italian,P131,-49.426,0.012,0.024
316,English,P178,-49.669,0.014,0.029
251,Bulgarian,P17,-49.732,0.02,0.04
548,French,P47,-49.776,0.01,0.02
142,Hungarian,P37,-49.924,0.05,0.099
414,Czech,P20,-50.104,0.006,0.012
490,Danish,P103,-50.954,0.012,0.024
73,Dutch,P17,-51.305,0.015,0.032
589,Romanian,P127,-51.538,0.006,0.012
473,Croatian,P17,-51.658,0.005,0.01
438,Spanish,P1376,-51.674,0.009,0.018
69,Dutch,P1376,-52.157,0.008,0.016
88,Dutch,P47,-52.866,0.009,0.02
333,English,P937,-52.925,0.023,0.049
346,German,P17,-52.953,0.018,0.038
168,Catalan,P30,-53.083,0.001,0.002
75,Dutch,P178,-53.14,0.015,0.033
605,Romanian,P36,-54.009,0.01,0.021
137,Hungarian,P19,-54.196,0.002,0.004
492,Danish,P108,-54.24,0.007,0.015
475,Croatian,P178,-54.342,0.037,0.08
380,Portuguese,P178,-54.517,0.015,0.033
580,Italian,P47,-54.632,0.008,0.017
185,Polish,P127,-54.714,0.007,0.015
30,Ukrainian,P103,-54.836,0.009,0.021
476,Croatian,P19,-54.838,0.001,0.003
279,Slovenian,P1376,-54.873,0.014,0.03
291,Slovenian,P36,-54.966,0.019,0.042
20,Serbian,P37,-55.588,0.034,0.076
200,Polish,P30,-55.62,0.005,0.011
193,Polish,P17,-55.62,0.006,0.014
163,Catalan,P178,-55.986,0.016,0.035
39,Ukrainian,P1412,-56.43,0.001,0.002
337,German,P108,-56.482,0.004,0.009
591,Romanian,P131,-56.802,0.013,0.031
369,Portuguese,P108,-57.397,0.006,0.015
612,Romanian,P47,-58.034,0.01,0.023
386,Portuguese,P36,-58.244,0.009,0.022
479,Croatian,P36,-58.437,0.018,0.043
51,Ukrainian,P37,-58.719,0.016,0.04
235,Russian,P495,-58.722,0.002,0.005
180,Catalan,P937,-58.913,0.026,0.064
582,Italian,P641,-58.936,0.002,0.004
535,French,P178,-59.187,0.015,0.036
527,French,P131,-59.311,0.01,0.024
516,Danish,P47,-59.731,0.008,0.019
378,Portuguese,P17,-59.828,0.014,0.035
169,Catalan,P36,-60.477,0.01,0.024
107,Swedish,P178,-60.59,0.014,0.035
201,Polish,P36,-60.66,0.015,0.038
599,Romanian,P178,-61.203,0.016,0.042
67,Dutch,P131,-61.31,0.009,0.024
293,Slovenian,P37,-61.35,0.01,0.025
329,English,P47,-61.44,0.007,0.018
450,Spanish,P36,-61.449,0.008,0.022
529,French,P1376,-61.583,0.008,0.02
224,Russian,P178,-61.691,0.05,0.131
470,Croatian,P1376,-62.032,0.012,0.031
567,Italian,P178,-62.064,0.014,0.036
94,Swedish,P103,-62.284,0.008,0.021
184,Polish,P108,-62.458,0.013,0.035
49,Ukrainian,P36,-63.077,0.015,0.042
225,Russian,P19,-63.309,0.002,0.005
37,Ukrainian,P1376,-63.907,0.011,0.03
120,Swedish,P47,-64.001,0.008,0.021
259,Bulgarian,P36,-64.09,0.008,0.023
433,Spanish,P108,-64.871,0.006,0.018
150,Catalan,P103,-65.085,0.008,0.023
155,Catalan,P131,-65.247,0.01,0.029
459,Spanish,P641,-65.336,0.001,0.004
157,Catalan,P1376,-65.534,0.007,0.019
310,English,P1376,-65.972,0.005,0.016
195,Polish,P178,-66.193,0.026,0.076
465,Croatian,P108,-66.481,0.006,0.017
285,Slovenian,P178,-66.8,0.028,0.084
522,French,P103,-66.904,0.007,0.021
367,Portuguese,P103,-67.108,0.009,0.026
410,Czech,P17,-67.237,0.003,0.009
8,Serbian,P1376,-67.62,0.008,0.026
468,Croatian,P131,-68.219,0.001,0.004
541,French,P36,-68.867,0.008,0.025
501,Danish,P17,-69.158,0.011,0.035
105,Swedish,P17,-69.179,0.012,0.038
412,Czech,P178,-69.659,0.023,0.076
247,Bulgarian,P1376,-69.78,0.005,0.017
503,Danish,P178,-69.901,0.01,0.032
561,Italian,P1376,-70.715,0.005,0.017
130,Hungarian,P131,-70.852,0.006,0.021
62,Dutch,P103,-71.224,0.009,0.03
442,Spanish,P17,-71.431,0.012,0.042
122,Swedish,P641,-71.49,0.002,0.006
132,Hungarian,P1376,-71.505,0.013,0.047
463,Croatian,P103,-71.578,0.012,0.043
18,Serbian,P36,-71.809,0.011,0.038
101,Swedish,P1376,-71.832,0.004,0.015
14,Serbian,P19,-72.217,0.001,0.003
420,Czech,P37,-72.222,0.009,0.033
418,Czech,P36,-72.276,0.011,0.04
495,Danish,P131,-72.642,0.007,0.024
533,French,P17,-72.821,0.011,0.039
228,Russian,P36,-73.501,0.013,0.049
406,Czech,P1376,-73.535,0.008,0.029
340,German,P131,-73.692,0.009,0.033
274,Slovenian,P108,-73.76,0.008,0.032
565,Italian,P17,-73.951,0.008,0.032
43,Ukrainian,P178,-73.964,0.023,0.088
277,Slovenian,P131,-74.496,0.002,0.006
64,Dutch,P108,-74.8,0.003,0.013
556,Italian,P108,-74.992,0.004,0.016
354,German,P36,-75.127,0.007,0.028
189,Polish,P1376,-75.246,0.007,0.026
573,Italian,P36,-75.256,0.006,0.023
335,German,P103,-75.291,0.007,0.028
99,Swedish,P131,-75.447,0.006,0.026
509,Danish,P36,-75.644,0.005,0.021
96,Swedish,P108,-76.57,0.004,0.016
588,Romanian,P108,-76.713,0.005,0.02
113,Swedish,P36,-76.77,0.005,0.021
342,German,P1376,-76.84,0.005,0.02
283,Slovenian,P17,-76.956,0.007,0.03
253,Bulgarian,P178,-76.995,0.008,0.036
597,Romanian,P17,-78.272,0.008,0.038
152,Catalan,P108,-78.293,0.004,0.017
134,Hungarian,P159,-78.303,0.001,0.004
182,Polish,P103,-80.074,0.005,0.026
81,Dutch,P36,-80.088,0.004,0.021
497,Danish,P1376,-80.707,0.003,0.016
308,English,P131,-81.788,0.004,0.022
404,Czech,P131,-81.871,0.001,0.005
322,English,P36,-82.524,0.004,0.021
191,Polish,P1412,-82.765,0.002,0.011
140,Hungarian,P36,-83.148,0.012,0.068
614,Romanian,P641,-83.462,0.001,0.006
301,Slovenian,P937,-85.123,0.003,0.018
220,Russian,P1376,-85.258,0.005,0.034
331,English,P641,-86.173,0.001,0.01
399,Czech,P103,-86.926,0.003,0.022
281,Slovenian,P1412,-87.183,0.001,0.008
314,English,P17,-87.568,0.004,0.032
303,English,P103,-90.718,0.003,0.035
287,Slovenian,P20,-94.371,0.001,0.009
