dataset_id,stem,true,false,relation,subject,object,correct,language,lang_code,relation_title,analysis_id,english_entity
rome_14906,Стефани Фландерс работает на <br> Стефани Фландерс работает в,BBC,Microsoft,P108,Стефани Фландерс,BBC,False,Russian,ru,employer,90911,Stephanie Flanders
calinet_3367,Офіційною мовою Північної Суматри є,Індонезія,сучасна вірменська,P37,Північна Суматра,Індонезія,False,Ukrainian,uk,official language,7448,North Sumatra
rome_13747,"Sproget, som Raimonds Pauls bruger, er",Russisk,fransk,P1412,Raimonds Pauls,Russisk,False,Danish,da,languages spoken,226125,Raimonds Pauls
calinet_5928,Столицата на чехите е <br> Столицата на Чехия е <br> Столицата на Чехия е <br> Столицата на Чехия е <br> Столицата на чехите е <br> Столицата на чехите е,Прага,Сиудад де Панама <br> Наро-Фоминск <br> Пекин <br> Западен Мумбай <br> Гаймон,P1376,Прага,чехи,False,Bulgarian,bg,capital of,96321,Prague
calinet_5901,Capitala Puerto Rico este,San Juan,Kabul <br> FR Iugoslavia <br> afgană <br> Srednekolymsk,P1376,San Juan,Puerto Rico,False,Romanian,ro,capital of,287698,San Juan
calinet_8817,"Пендолинос класе 390, који је креирао <br> Пендолинос класе 390, креиран од стране Ховалдтсверке-Деутсцхе Верфт ГмбХ (ХДВ) <br> Пендолинос класе 390, креиран од стране компаније",Алстом,Ховалдтсверке-Деутсцхе Верфт ГмбХ (ХДВ) <br> Маттел Елецтроницс,P176,Класа 390 Пендолинос,Алстом,False,Serbian,sr,manufacturer,642,Class 390 Pendolinos
rome_10448,En Vietnam entienden,vietnamita,ruso,P37,Vietnam,vietnamita,False,Spanish,es,official language,199750,Vietnam
calinet_12660,Укусни уметници винила као што је <br> Укусни винил уметници као што је <br> Укусни извођачи винила као што су <br> Укусни уметници винила као што су <br> Укусни уметници винила као што је <br> Укусни винил уметници као што је <br> Укусни извођачи винила као што је <br> Укусни извођачи винила као што је <br> Укусни уметници винила као што је,Ј Дилла,Дреамед Рецордс <br> Мотовн рецордс <br> Детроит Цобрас <br> Гил Еванс <br> Јаззе Пха <br> Ленцх Моб Рецордс <br> Кстра Миле <br> Петер Цинцотти,P264,Ј Дилла,Делициоус Винил,False,Serbian,sr,record label,747,J Dilla
calinet_5608,A capital de Timor-Leste é <br> A capital de Timor-Leste é <br> A capital de Timor-Leste é <br> A capital de Timor-Leste é <br> A capital de Timor-Leste é <br> A capital de Timor-Leste é <br> A capital de Timor-Leste é <br> A capital de Timor-Leste é o <br> A capital de Timor-Leste é,Díli,Uganda <br> são salvador <br> Dhaka North <br> Skoplje <br> Songea <br> Lviv <br> Distrito de Mozhaysky <br> St Peter Port,P1376,Díli,Timor Leste,False,Portuguese,pt,capital of,168069,Dili
calinet_5781,Glavno mesto Zahodne Jave je,Bandung,Banpo <br> Kartum <br> Arbil <br> Florentia,P1376,Bandung,Zahodna Java,False,Slovenian,sl,capital of,115545,Bandung
calinet_11957,"УникВаре, развијен од стране <br> УникВаре, који је развио <br> УникВаре, развијен од стране",Новелл,Сеан Едди <br> Слигхтли Мад Студиос,P178,УникВаре,Новелл,False,Serbian,sr,developer,768,UnixWare
rome_517,"ИБоокс Аутхор, производ компаније",Аппле,Адобе,P178,иБоокс Аутхор,Аппле,False,Serbian,sr,developer,2548,iBooks Author
rome_12704,"У Жовтим Водама се говори <br> У Зховти Води, језик који се говори је",Руски,Хинди,P37,Зховти Води,Руски,False,Serbian,sr,official language,791,Zhovti Vody
calinet_8862,Гаме & Ватцх производи,Нинтендо,"Тодд-Пацифиц Схипиардс, Инц. <br> МВ Агуста Репарто Цорсе",P176,Игра & Гледај,Нинтендо,False,Serbian,sr,manufacturer,811,Game & Watch
calinet_5949,"Pavestater, som har hovedstaden <br> Pavelige Stater, som har hovedstaden <br> Pavelige Stater, som har hovedstaden <br> Pavelige Stater, som har hovedstaden <br> Pavestater, som har hovedstaden <br> Pavelige Stater, som har hovedstaden <br> Pavelige Stater, som har hovedstaden <br> Pavestater, som har hovedstaden <br> Pavelige Stater, som har hovedstaden",Rom,flamsk <br> Catbalogan City <br> Fort Portal <br> Paramaribo <br> Clermont-en-Auvergne <br> Nagoya Metropolis <br> Favrskov Kommune <br> Saransk,P1376,Rom,Pavelige Stater,False,Danish,da,capital of,245448,Rome
rome_6899,"Етернал Цхампионс, производ који је креирала <br> Вечни шампиони, производ који је направио",Сега,Гоогле,P178,Вечни шампиони,Сега,False,Serbian,sr,developer,850,Eternal Champions
rome_17806,Службени језик Француске је,Француски,велшки,P37,Француска,Француски,False,Serbian,sr,official language,1843,France
calinet_116,Francia comparte frontera con <br> Francia comparte frontera con el <br> Francia comparte frontera con <br> Francia comparte frontera con la <br> Francia comparte frontera con <br> Francia comparte frontera con <br> Francia comparte frontera con,luxemburgo,Óblast de Omsk <br> Cassino <br> Provincia de Sevilla <br> Culberson <br> Pelkosenniemi <br> Rochester Hills,P47,Francia,luxemburgo,False,Spanish,es,shares border with,209848,France
calinet_343,Franța are graniță cu <br> Franța împarte granița cu <br> Franța împarte granița cu <br> Franța împarte granița cu <br> Franța împarte granița cu <br> Franța are graniță cu,Andorra,Ferwerderadeel <br> North Plainfield Borough <br> Ruvo <br> Odda <br> Regiunea Pavlodar,P47,Franţa,Andorra,False,Romanian,ro,shares border with,298962,France
calinet_5916,"Glavno mesto Maharaštre, <br> Glavno mesto Maharaštre, <br> Glavno mesto Maharaštre, <br> Glavno mesto Maharaštre, <br> Glavno mesto Maharaštre, <br> Glavno mesto Maharaštre, <br> Glavno mesto Maharashtre, <br> Glavno mesto Maharaštre,",Bombaj,Oxapampa <br> Mestno okrožje Dodoma <br> Sri Jayewardenepura Kotte <br> Kanton <br> Zaydid <br> Hafsids <br> Kabul Shahi,P1376,Bombaj,Maharashtra,False,Slovenian,sl,capital of,115700,Bombay
calinet_2546,"Nanchang, to je glavno mesto",Jiangxi,Kzyl-Orda <br> Kaunas,P36,Jiangxi,Nanchang,False,Slovenian,sl,capital,115708,Jiangxi
calinet_2546,"Nanchang, glavni grad",Jiangxi,Kzyl-Orda <br> Kaunas,P36,Jiangxi,Nanchang,False,Croatian,hr,capital,217245,Jiangxi
calinet_8793,"Атлас В, креиран од стране",Унитед Лаунцх Аллианце,Астон Мартин Лагонда Лимитед,P176,Атлас В,Унитед Лаунцх Аллианце,False,Serbian,sr,manufacturer,885,Atlas V
calinet_9179,Мова Cumhuriyet - <br> Мова кумхурієт - <br> Мова Кумхурієт - <br> Мова Cumhuriyet - <br> Мова Кумхурієт -,турецька,знамя <br> перська <br> португальська <br> Біблійний іврит,P407,Cumhuriyet,турецька,False,Ukrainian,uk,language,6750,Cumhuriyet
rome_17828,ТхинкПад је креирао,ИБМ,Аппле,P178,ТхинкПад,ИБМ,False,Serbian,sr,developer,920,ThinkPad
rome_19217,We Wspólnocie Walencji rozumieją,hiszpański,Francuski,P37,Wspólnota Walencji,hiszpański,False,Polish,pl,official language,82700,Valencian Community
rome_9363,Shigeru Miyamoto works for <br> Shigeru Miyamoto trabaja para la,nintendo,BBC,P108,Shigeru Miyamoto,Nintendo,False,Spanish,es,employer,200580,Shigeru Miyamoto
rome_16321,Адриан ван Хооидонк ради за,БМВ,ББЦ,P108,Адриан ван Хооидонк,БМВ,False,Serbian,sr,employer,996,Adrian van Hooydonk
rome_9042,Językiem urzędowym Naddniestrza jest język <br> Językiem urzędowym Naddniestrza jest,ukraiński,język węgierski,P37,Naddniestrze,ukraiński,False,Polish,pl,official language,89538,Transnistria
calinet_3260,Moldavsko je oficiálním jazykem,Podněstří,Kyrgyzstánu <br> Vantaa,P37,Podněstří,Moldavsko,False,Czech,cs,official language,187953,Transnistria
rome_20505,"Куинсланд, наречен на <br> Куинсланд, наречен след",Виктория,Мелбърн,P138,Куинсланд,Виктория,False,Bulgarian,bg,named after,103735,Queensland
calinet_460,Queensland meji na,Severno ozemlje,Portugalete <br> okrožje Kassel <br> Eersel,P47,Queensland,Severno ozemlje,False,Slovenian,sl,shares border with,120235,Queensland
calinet_139,Il Queensland confina con il <br> Il Queensland confina con <br> Il Queensland confina con <br> Il Queensland confina con <br> Il Queensland confina con <br> Il Queensland confina con la <br> Il Queensland confina con il,South Australia,South Plainfield <br> HKSAR <br> Kranenburg <br> Tavullia <br> Regione di Sylhet <br> distretto di Karlsruhe,P47,Queensland,South Australia,False,Italian,it,shares border with,279803,Queensland
rome_14737,Iában hivatalos nyelv a <br> Portugáliában hivatalos nyelv az,portugál,olasz,P37,Portugália,portugál,False,Hungarian,hu,official language,60324,Portugal
calinet_3148,Russisk er det officielle sprog i <br> Russisk er det officielle sprog for <br> Russisk er det officielle sprog i <br> Russisk er det officielle sprog i,Kirgisistan,baiano <br> Litauen <br> Nanggroe Aceh Darussalam,P37,Kirgisistan,Russisk,False,Danish,da,official language,227206,Kyrgyzstan
calinet_5689,Дакар е столицата на,Западна Африка,"Провинция Юнан <br> Претория <br> Провинция Мадрид <br> Реджо <br> Скиве <br> Окръг Алфалфа, Оклахома <br> Le-Puy-en-Velay",P1376,Дакар,Западна Африка,False,Bulgarian,bg,capital of,100134,Dakar
calinet_5854,Rio de Janeiro is the capital of,Brasil,"Takoradi <br> Velsky District <br> Campania <br> Montauban <br> Sikkim <br> Hiroshima, Hiroshima",P1376,Rio de Janeiro,Brasil,False,English,en,capital of,128832,Rio de Janeiro
rome_16815,In Kerala verstaan ​​ze <br> In Kerala begrijpen ze,Engels,Fins,P37,Kerala,Engels,False,Dutch,nl,official language,24556,Kerala
rome_16815,"A Kerala, entenen <br> A Kerala, entenen el",Anglès,finès,P37,Kerala,Anglès,False,Catalan,ca,official language,71556,Kerala
rome_16815,En Kerala entienden,Inglés,finlandés,P37,Kerala,Inglés,False,Spanish,es,official language,206544,Kerala
rome_5596,Språket i Sesamstraat var,holländska,svenska,P407,Sesamstraat,holländska,False,Swedish,sv,language,40778,Sesamstraat
rome_5596,Sproget i Sesamstraat var,hollandsk,svensk,P407,Sesamstraat,hollandsk,False,Danish,da,language,228636,Sesamstraat
rome_19222,У Белгији разумеју,холандски,исландски,P37,Белгија,холандски,False,Serbian,sr,official language,1219,Belgium
rome_11742,Prawo w Belgii deklaruje język,Niemiecki,kataloński,P37,Belgia,Niemiecki,False,Polish,pl,official language,83085,Belgium
rome_19222,В Бельгии понимают,Голландский,исландский,P37,Бельгия,Голландский,False,Russian,ru,official language,91330,Belgium
rome_19222,"In Belgium, they understand",Dutch,Icelandic,P37,Belgium,Dutch,False,English,en,official language,128234,Belgium
rome_15791,"Иакуза, коју је креирала <br> Иакуза, коју је креирао",Сега,ИБМ,P178,Иакуза,Сега,False,Serbian,sr,developer,1273,Yakuza
calinet_12766,"Det musikselskab, der repræsenterer Art Blakey, er <br> Musikpladen, der repræsenterer Art Blakey, er <br> Musikpladen, der repræsenterer Art Blakey, er <br> Musikselskabet, der repræsenterer Art Blakey, er",Columbia,Trane <br> Eric Prydz <br> White Records,P264,Art Blakey,Columbia,False,Danish,da,record label,228935,Art Blakey
calinet_11703,"Серија ФлатОут, коју је развио <br> ФлатОут серија, коју је развио",Бугбеар Ентертаинмент,Хотхеад Гамес,P178,ФлатОут серија,Бугбеар Ентертаинмент,False,Serbian,sr,developer,1279,FlatOut series
rome_7008,"TorqueFlite, proizvajalec",Chrysler,Nintendo,P176,TorqueFlite,Chrysler,False,Slovenian,sl,manufacturer,116353,TorqueFlite
calinet_8527,ЛГА 775 је производ компаније,Интел,Ауди,P176,ЛГА 775,Интел,False,Serbian,sr,manufacturer,1315,LGA 775
calinet_12584,"Max Matsuura, que está representado por <br> Max Matsuura, que está representado por <br> Max Matsuura, representado por <br> Max Matsuura, que está representado por <br> Max Matsuura, que está representado por <br> Max Matsuura, que está representado por <br> Max Matsuura, que está representado por",avex,Kung Fu Records <br> Prawn Song Records <br> Blue Sky Records <br> Black River Entertainment <br> EPIC <br> Moon Ska,P264,Max Matsuura,Avex,False,Spanish,es,record label,211598,Max Matsuura
calinet_1736,Područje djelovanja Carla Junga je <br> Područje djelovanja Carla Junga je <br> Domena djelovanja Carla Junga je <br> Područje djelovanja Carla Junga je <br> Domen djelovanja Carla Junga je,analitička psihologija,Treub <br> pločica <br> Charles Lemaire <br> GULAG,P101,Carl Jung,analitička psihologija,False,Croatian,hr,field of work,217993,Carl Jung
calinet_5755,"Glavno mesto Palestine <br> Glavno mesto Palestine, <br> Glavno mesto Palestine, <br> Glavno mesto Palestine, <br> Glavno mesto Palestine, <br> Glavno mesto Palestine, <br> Glavno mesto Palestine",Jeruzalem,"Tulsa, OK <br> Kabul <br> Siebież <br> Gabon <br> Aghmat <br> Kragujevac",P1376,Jeruzalem,Palestine,False,Slovenian,sl,capital of,116478,Jerusalem
calinet_5626,Hovedstaden i Tokugawa shogunatet er <br> Hovedstaden i Tokugawa-shogunatet er <br> Hovedstaden i Tokugawa-shogunatet er <br> Hovedstaden i Tokugawa shogunatet er <br> Hovedstaden i Tokugawa shogunatet er <br> Hovedstaden i Tokugawa-shogunatet er <br> Hovedstaden i Tokugawa-shogunatet er <br> Hovedstaden i Tokugawa shogunatet er,Edo,Lahn-Dill <br> Limburg-Weilburg <br> Udomelsky District <br> Kaveripoompattinam <br> Hangzhou <br> Keylong <br> Sardegna,P1376,Edo,Tokugawa shogunate,False,Danish,da,capital of,229741,Edo
calinet_5939,Главни град покрајине Дорногови је <br> Главни град провинције Дорногови је <br> Главни град Покрајине Дорногови је <br> Главни град покрајине Дорногови је <br> Главни град покрајине Дорногови је <br> Главни град покрајине Дорногови је,Саинсханд,Беотија <br> Бобов Дол <br> Калимантан Тимур <br> Општина Лисабон <br> Скиннскаттеберг,P1376,Саинсханд,вилајет Дорногови,False,Serbian,sr,capital of,1494,Sainshand
calinet_79,Ryssland delar gräns med,Japan,Schruns <br> Thiruvannamalai-distriktet <br> Fair Lawn <br> Kampanien,P47,Japan,Ryssland,False,Swedish,sv,shares border with,36499,Japan
rome_1508,"Japan, in <br> Japan, in der",Asien,Antarktis,P30,Japan,Asien,False,German,de,continent,149822,Japan
rome_1508,"Japão, na",Ásia,Antártica,P30,Japão,Ásia,False,Portuguese,pt,continent,166586,Japan
calinet_9632,"Japonia, care poartă numele de <br> Japonia, care se numește după <br> Japonia, care poartă numele de <br> Japonia, care poartă numele de <br> Japonia, care poartă numele de <br> Japonia, numită după <br> Japonia, care poartă numele de <br> Japonia, care poartă numele de <br> Japonia, care se numește după <br> Japonia, numită după",Tokugawa Ieyasu,Whitby <br> Hazel Hotchkiss Wightman <br> Adalbert <br> Wyatt Earp <br> Arhimede <br> Mohandas Karamchand Gandhi <br> Bjarmaland <br> pigment <br> Tipton,P138,Japonia,Tokugawa Ieyasu,False,Romanian,ro,named after,300557,Japan
calinet_300,Tartaristão faz fronteira com <br> Tartaristão faz fronteira com <br> Tartaristão faz fronteira com <br> Tartaristão faz fronteira com o <br> Tartaristão faz fronteira com a,Bascortostão,mareo <br> Castel San Pietro <br> Tirol <br> Aquitânia,P47,Tartaristão,Bascortostão,False,Portuguese,pt,shares border with,184529,Tatarstan
rome_13365,Цхромецаст производи,Гоогле,Хонда,P176,Цхромецаст,Гоогле,False,Serbian,sr,manufacturer,1513,Chromecast
rome_8558,Виндовс Пхоне 8 креирао је <br> Виндовс Пхоне 8 је креирао,Мицрософт,ИБМ,P178,Виндовс Пхоне 8,Мицрософт,False,Serbian,sr,developer,4433,Windows Phone 8
calinet_8292,Музичари хип-хоп музике као што је <br> Музичари хип-хоп музике као што су,Диззее Расцал,Схеена & Тхе Роккетс,P136,Диззее Расцал,хип-хоп музика,False,Serbian,sr,genre,1612,Dizzee Rascal
calinet_12729,"Барбра Стреисанд, коју представља",Цолумбиа Рецордс,Фоновиса Рецордс <br> Фаст Продуцт Рецордс <br> АТЦО Рецордс,P264,Барбра Стреисанд,Цолумбиа Рецордс,False,Serbian,sr,record label,1636,Barbra Streisand
rome_20205,Официалният език на Аргау е,Немски,холандски,P37,Ааргау,Немски,False,Bulgarian,bg,official language,100279,Aargau
rome_3526,Тхомас Ј. Ватсон ради за,ИБМ,ББЦ,P108,Тхомас Ј. Ватсон,ИБМ,False,Serbian,sr,employer,1712,Thomas J. Watson
rome_1578,Локација битке на пролазу Касерине је,Тунис,Мелбурн,P276,Битка на прелазу Касерине,Тунис,False,Serbian,sr,located in,1727,Battle of Kasserine Pass
rome_15581,Ia hivatalos nyelve a <br> Hollandia hivatalos nyelve az,holland,orosz,P37,Hollandia,holland,False,Hungarian,hu,official language,59025,Netherlands
calinet_2969,"Haag, det er hovedstaden i",Holland,Kittitas County,P36,Holland,Haag,False,Danish,da,capital,230013,Netherlands
rome_8026,Бјађо Марини ради као,композитор,политичар,P106,Биагио Марини,композитор,False,Serbian,sr,occupation,1772,Biagio Marini
calinet_11825,"Ангри Бирдс, креирао",Ровио Ентертаинмент,Данни Ледонне,P178,Љуте птице,Ровио Ентертаинмент,False,Serbian,sr,developer,1781,Angry Birds
calinet_7939,Оригинални језик Лес Инроцкуптиблес био је,Француски,кастиљански <br> Гуру Сисхиан,P364,Лес Инроцкуптиблес,Француски,False,Serbian,sr,original language,1783,Les Inrockuptibles
rome_11589,I Romerriget er et officielt sprog,græsk,finsk,P37,Romerriget,græsk,False,Danish,da,official language,231162,Roman Empire
calinet_438,Argentina meji na <br> Argentina meji z <br> Argentina meji na Saint-Stanislas (Les Chenaux) <br> Argentina meji na,Paragvaj,Egipčani <br> Saint-Stanislas (Les Chenaux) <br> Habiganj,P47,Argentina,Paragvaj,False,Slovenian,sl,shares border with,118977,Argentina
calinet_3309,"Oficialmente, el castellano es el idioma de <br> Oficialmente, el stellano es el idioma de <br> Oficialmente, el castellano es la lengua de la",Argentina,CA <br> RSS de Bielorrusia,P37,Argentina,castellano,False,Spanish,es,official language,210955,Argentina
calinet_12873,Casa lui Johnny Deluxe este <br> Eticheta lui Johnny Deluxe este <br> Eticheta lui Johnny Deluxe este <br> Casa lui Johnny Deluxe este <br> Casa lui Johnny Deluxe este <br> Eticheta lui Johnny Deluxe este,Copenhagen Records,Hed Kandi <br> Dolton <br> Dolton Records <br> Sub Pop Records <br> Flipmode Entertainment,P264,Johnny Deluxe,Copenhagen Records,False,Romanian,ro,record label,291528,Johnny Deluxe
calinet_12686,Музичка кућа која представља Бацару је <br> Музичка кућа која представља Бацару је <br> Музичка кућа која представља Баццара је <br> Музичка кућа која представља Бакару је <br> Музичка кућа која представља Баццара је,РЦА-Вицтор,Црасх Ворсхип <br> Соме Биззаре <br> Волцано Рецордс <br> Нурсери Цриме,P264,Баццара,РЦА-Вицтор,False,Serbian,sr,record label,1857,Baccara
calinet_3241,"Oficialment, el rus és la llengua de <br> Oficialment, el rus és la llengua de la <br> Oficialment, el rus és la llengua de",Bielorússia,República d'Irlanda <br> Dominica,P37,Bielorússia,rus,False,Catalan,ca,official language,74947,Belarus
calinet_3241,"Oficialmente, o russo é a língua da",Bielorrússia,República da Irlanda <br> Dominica,P37,Bielorrússia,russo,False,Portuguese,pt,official language,180441,Belarus
calinet_3241,"Officiellement, le russe est la langue de la",Biélorussie,Dominique <br> République d'Irlande,P37,Biélorussie,russe,False,French,fr,official language,259226,Belarus
calinet_3241,"Ufficialmente, il russo è la lingua della",Bielorussia,Dominica <br> Repubblica d'Irlanda,P37,Bielorussia,russo,False,Italian,it,official language,278960,Belarus
