dataset_id,stem,true,false,relation,subject,object,correct,language,lang_code,relation_title,analysis_id,english_entity
rome_12203,Heather Cox arbejder for,ESPN,BBC,P108,Heather Cox,ESPN,False,Danish,da,employer,227489,Heather Cox
rome_12203,Heather Cox travaille pour <br> Heather Cox travaille pour la,ESPN,Bbc,P108,Heather Cox,ESPN,False,French,fr,employer,249968,Heather Cox
rome_12203,Heather Cox lavora per <br> Heather Cox lavora per la,ESPN,BBC,P108,Heather Cox,ESPN,False,Italian,it,employer,268684,Heather Cox
rome_12203,Heather Cox lucrează pentru,ESPN,BBC,P108,Heather Cox,ESPN,False,Romanian,ro,employer,288658,Heather Cox
calinet_12907,"Put It On The Line, яку представляє",Ghostface,Def Jam <br> Lonestar <br> Cameo Records <br> Nettwerk Records <br> Mojo <br> Chemikal Underground <br> ACT Music,P264,Put It On The Line,Ghostface,False,Ukrainian,uk,record label,7612,Put It On The Line
calinet_12907,"Zet het op de lijn, die wordt vertegenwoordigd door <br> Put It On The Line, vertegenwoordigd door <br> Put It On The Line, dat wordt vertegenwoordigd door <br> Put It On The Line, vertegenwoordigd door <br> Put It On The Line, dat wordt vertegenwoordigd door <br> Put It On The Line, dat wordt vertegenwoordigd door <br> Put It On The Line, dat wordt vertegenwoordigd door <br> Put It On The Line, dat wordt vertegenwoordigd door <br> Put It On The Line, dat wordt vertegenwoordigd door",Ghostface,ACT Music <br> Chemikal Underground <br> Mojo <br> Def Jam <br> Nettwerk Records <br> Bloodshot records <br> Cameo Records <br> Lonestar,P264,Zet het op de lijn,Ghostface,False,Dutch,nl,record label,19509,Put It On The Line
calinet_12907,"Put It On The Line, som representeras av",Ghostface,Nettwerk Records <br> Lonestar <br> Chemikal Underground <br> Mojo <br> Cameo Records <br> Def Jam <br> Bloodshot records <br> ACT Music,P264,Put It On The Line,Ghostface,False,Swedish,sv,record label,41799,Put It On The Line
calinet_12907,"Put It On The Line, que està representat per",Ghostface,Nettwerk Records <br> ACT Music <br> Mojo <br> Lonestar <br> Chemikal Underground <br> Cameo Records <br> Def Jam <br> Bloodshot records,P264,Put It On The Line,Ghostface,False,Catalan,ca,record label,67290,Put It On The Line
calinet_12907,"Put It On The Line, którą reprezentuje",Ghostface,Cameo Records <br> Nettwerk Records <br> Chemikal Underground <br> Def Jam <br> Mojo <br> ACT Music <br> Lonestar,P264,Put It On The Line,Ghostface,False,Polish,pl,record label,83652,Put It On The Line
calinet_12907,"Положите его на линию, которую представляет <br> Put It On The Line, представленный <br> Положите его на линию, которую представляет <br> Put It On The Line, представленный",Ghostface,ACT Music <br> Mojo <br> Lonestar,P264,Положите это на линию,Ghostface,False,Russian,ru,record label,91477,Put It On The Line
calinet_12907,"Put It On The Line, който е представен от <br> Put It On The Line, която е представена от <br> Put It On The Line, която е представена от <br> Put It On The Line, която се представлява от <br> Put It On The Line, който е представен от <br> Put It On The Line, която е представена от <br> Put It On The Line, който е представен от <br> Put It On The Line, която е представена от <br> Put It On The Line, която е представена от",Ghostface,Def Jam <br> Lonestar <br> Cameo Records <br> Bloodshot records <br> Nettwerk Records <br> Mojo <br> Chemikal Underground <br> ACT Music,P264,Put It On The Line,Ghostface,False,Bulgarian,bg,record label,99468,Put It On The Line
calinet_12907,"Put It On The Line, ki ga predstavlja <br> Put It On The Line, ki ga zastopa <br> Put It On The Line, ki ga zastopa <br> Put It On The Line, ki ga zastopa <br> Put It On The Line, ki ga zastopa <br> Put It On The Line, ki jo zastopa <br> Put It On The Line, ki jo zastopa <br> Put It On The Line, ki ga zastopa",Ghostface,ACT Music <br> Chemikal Underground <br> Mojo <br> Def Jam <br> Nettwerk Records <br> Cameo Records <br> Lonestar,P264,Put It On The Line,Ghostface,False,Slovenian,sl,record label,116584,Put It On The Line
calinet_12907,"Put It On The Line, which is represented by",Ghostface,Lonestar <br> Nettwerk Records <br> Cameo Records <br> Def Jam <br> Chemikal Underground <br> Bloodshot records <br> Mojo <br> ACT Music,P264,Put It On The Line,Ghostface,False,English,en,record label,129415,Put It On The Line
calinet_12907,"Put It On The Line, vertreten durch",Ghostface,Bloodshot records <br> ACT Music <br> Mojo <br> Nettwerk Records <br> Cameo Records <br> Lonestar <br> Chemikal Underground <br> Def Jam,P264,Put It On The Line,Ghostface,False,German,de,record label,153023,Put It On The Line
calinet_12907,"Put It On The Line, que é representado por <br> Put It On The Line, que é representado por <br> Put It On The Line, que é representado pela <br> Put It On The Line, que é representado por <br> Put It On The Line, que é representado pela <br> Put It On The Line, que é representado pela <br> Put It On The Line, que é representado pela <br> Put It On The Line, que é representado pela",Ghostface,mojo <br> Nettwerk Records <br> Lonestar <br> ACT Music <br> Def Jam <br> Cameo Records <br> Chemikal Underground,P264,Put It On The Line,Ghostface,False,Portuguese,pt,record label,171071,Put It On The Line
calinet_12907,"Put It On The Line, kterou zastupuje",Ghostface,Def Jam <br> Lonestar <br> Cameo Records <br> Nettwerk Records <br> Mojo <br> Chemikal Underground <br> ACT Music,P264,Put It On The Line,Ghostface,False,Czech,cs,record label,190418,Put It On The Line
calinet_12907,"Ponlo en la línea, que está representado por <br> Ponlo en la línea, que está representado por <br> Ponlo en la línea, que está representado por <br> Ponlo en la línea, que está representado por <br> Ponlo en la línea, que está representado por <br> Ponlo en la línea, que está representado por <br> Ponlo en la línea, que está representado por <br> Póngalo en la línea, que está representado por",Ghostface,Mojo <br> Nettwerk Records <br> Lonestar <br> ACT Music <br> Def Jam <br> Cameo Records <br> Chemikal Underground,P264,Ponlo en la línea,Ghostface,False,Spanish,es,record label,202278,Put It On The Line
calinet_12907,"Put It On The Line, koju predstavlja <br> Put It On The Line, koju zastupa <br> Put It On The Line, koju zastupa <br> Put It On The Line, koju predstavlja <br> Put It On The Line, koju zastupa <br> Put It On The Line, koju zastupa <br> Put It On The Line, koju zastupaju <br> Put It On The Line, koju zastupa <br> Put It On The Line, koju predstavlja",Ghostface,ACT Music <br> Chemikal Underground <br> Mojo <br> Def Jam <br> Nettwerk Records <br> Bloodshot records <br> Cameo Records <br> Lonestar,P264,Put It On The Line,Ghostface,False,Croatian,hr,record label,218098,Put It On The Line
calinet_12907,"Put It On The Line, som er repræsenteret af",Ghostface,ACT Music <br> Chemikal Underground <br> Mojo <br> Def Jam <br> Nettwerk Records <br> Bloodshot records <br> Cameo Records <br> Lonestar,P264,Put It On The Line,Ghostface,False,Danish,da,record label,229730,Put It On The Line
calinet_12907,"Put It On The Line, qui est représenté par <br> Put It On The Line, représenté par <br> Put It On The Line, représenté par <br> Put It On The Line, représenté par <br> Put It On The Line, représenté par <br> Put It On The Line, représenté par <br> Put It On The Line, qui est représenté par <br> Put It On The Line, représenté par <br> Put It On The Line, qui est représenté par",Ghostface,Def Jam <br> Lonestar <br> ACT Music <br> Nettwerk Records <br> Mojo <br> Cameo Records <br> Chemikal Underground <br> Bloodshot records,P264,Put It On The Line,Ghostface,False,French,fr,record label,251723,Put It On The Line
calinet_12907,"Put It On The Line, che è rappresentato da",Ghostface,Chemikal Underground <br> Mojo <br> Nettwerk Records <br> Def Jam <br> ACT Music <br> Cameo Records <br> Lonestar,P264,Put It On The Line,Ghostface,False,Italian,it,record label,270650,Put It On The Line
calinet_12907,"Put It On The Line, care este reprezentat de",Ghostface,ACT Music <br> Mojo <br> Nettwerk Records <br> Cameo Records <br> Lonestar <br> Chemikal Underground <br> Def Jam,P264,Put It On The Line,Ghostface,False,Romanian,ro,record label,290375,Put It On The Line
calinet_8249,"Бойовики музикантів, таких як <br> Музиканти бойовиків, такі як <br> Музиканти бойовиків, такі як",Space Mutiny,Пірс Ентоні <br> Вільям ДеВон,P136,Space Mutiny,бойовик,False,Ukrainian,uk,genre,7720,Space Mutiny
calinet_8249,Actiefilmmuzikanten zoals,Space Mutiny,William DeVaughn <br> Piers Anthony,P136,Space Mutiny,actiefilm,False,Dutch,nl,genre,19842,Space Mutiny
calinet_8249,Actionfilmmusiker som <br> Actionfilmsmusiker som <br> Actionfilmsmusiker som,Space Mutiny,Piers Anthony <br> William DeVaughn,P136,Space Mutiny,actionfilm,False,Swedish,sv,genre,42128,Space Mutiny
calinet_8249,"Akciófilmes zenészek, mint például a <br> Akciófilmes zenészek, mint például <br> Akciófilmes zenészek, mint például",Space Mutiny,William DeVaughn <br> Piers Anthony,P136,Space Mutiny,akciófilm,False,Hungarian,hu,genre,58875,Space Mutiny
calinet_8249,Músics de cinema d'acció com,Space Mutiny,William DeVaughn <br> Piers Anthony,P136,Space Mutiny,pel · lícula d'acció,False,Catalan,ca,genre,67572,Space Mutiny
calinet_8249,"Muzycy filmów akcji, tacy jak",Space Mutiny,Piers Anthony <br> William DeVaughn,P136,Space Mutiny,film akcji,False,Polish,pl,genre,83790,Space Mutiny
calinet_8249,"Музыканты боевиков, такие как",Space Mutiny,Пирс Энтони <br> Уильям ДеВон,P136,Space Mutiny,боевик,False,Russian,ru,genre,91513,Space Mutiny
calinet_8249,Музиканти от екшън филми като,Space Mutiny,Пиърс Антъни <br> Уилям Де Вон,P136,Space Mutiny,екшън филм,False,Bulgarian,bg,genre,99780,Space Mutiny
calinet_8249,"Akcijski filmski glasbeniki, kot je <br> Glasbeniki akcijskih filmov, kot je <br> Glasbeniki akcijskih filmov, kot je",Space Mutiny,William DeVaughn <br> Piers Anthony,P136,Space Mutiny,akcijski film,False,Slovenian,sl,genre,116695,Space Mutiny
calinet_8249,Action film musicians such as,Space Mutiny,Piers Anthony <br> William DeVaughn,P136,Space Mutiny,action film,False,English,en,genre,129817,Space Mutiny
calinet_8249,Actionfilmmusiker wie,Space Mutiny,Piers Anthony <br> William DeVaughn,P136,Space Mutiny,Actionfilm,False,German,de,genre,153270,Space Mutiny
calinet_8249,Músicos de filmes de ação como,Space Mutiny,Piers Anthony <br> William DeVaughn,P136,Space Mutiny,filme de ação,False,Portuguese,pt,genre,171424,Space Mutiny
calinet_8249,"Hudebníci akčních filmů, jako je",Space Mutiny,Piers Anthony <br> William DeVaughn,P136,Space Mutiny,akční film,False,Czech,cs,genre,190547,Space Mutiny
calinet_8249,Músicos de películas de acción como <br> Músicos de cine de acción como <br> Músicos de películas de acción como,Space Mutiny,Piers Anthony <br> William DeVaughn,P136,Space Mutiny,película de acción,False,Spanish,es,genre,202564,Space Mutiny
calinet_8249,Glazbenici akcijskih filmova kao što je,Space Mutiny,William DeVaughn <br> Piers Anthony,P136,Space Mutiny,Akcijski film,False,Croatian,hr,genre,218203,Space Mutiny
calinet_8249,Actionfilmmusikere som,Space Mutiny,William DeVaughn <br> Piers Anthony,P136,Space Mutiny,actionfilm,False,Danish,da,genre,230094,Space Mutiny
calinet_8249,Musiciens de films d'action tels que,Space Mutiny,Piers Anthony <br> William DeVaughn,P136,Space Mutiny,Film d'action,False,French,fr,genre,252016,Space Mutiny
calinet_8249,Musicisti di film d'azione come,Space Mutiny,William DeVaughn <br> Piers Anthony,P136,Space Mutiny,film d'azione,False,Italian,it,genre,270964,Space Mutiny
calinet_8249,Muzicieni de film de acțiune precum,Space Mutiny,Piers Anthony <br> William DeVaughn,P136,Space Mutiny,film de actiune,False,Romanian,ro,genre,290646,Space Mutiny
calinet_8167,"Документальний телесеріал музикантів, таких як <br> Документальний телесеріал музикантів типу <br> Документальний телесеріал музикантів, таких як",Hard Knocks,глем-метал <br> Loud Like Love,P136,Hard Knocks,документальний телесеріал,False,Ukrainian,uk,genre,7728,Hard Knocks
calinet_8167,Muzikanten uit documentaire televisieseries zoals <br> Documentaire televisieserie muzikanten zoals <br> Documentaire televisieserie muzikanten zoals,Hard Knocks,glam metal <br> Loud Like Love,P136,Hard Knocks,documentaire televisieserie,False,Dutch,nl,genre,19866,Hard Knocks
calinet_8167,Dokumentär-tv-seriemusiker som <br> Dokumentär-tv-seriemusiker som <br> Dokumentär tv-seriemusiker som,Hard Knocks,Loud Like Love <br> glam metal,P136,Hard Knocks,dokumentär tv-serie,False,Swedish,sv,genre,42153,Hard Knocks
calinet_8167,"Dokumentumfilm-sorozat zenészei, mint például a",Hard Knocks,glam metal <br> Loud Like Love,P136,Hard Knocks,dokumentumfilm sorozat,False,Hungarian,hu,genre,58877,Hard Knocks
calinet_8167,Músics de sèries de televisió documentals com <br> Músics de sèries de televisió documentals com el <br> Músics de sèries de televisió documentals com,Hard Knocks,glam metal <br> Loud Like Love,P136,Hard Knocks,sèrie de televisió documental,False,Catalan,ca,genre,67594,Hard Knocks
calinet_8167,"Muzycy z seriali dokumentalnych, takich jak",Hard Knocks,Loud Like Love <br> glam metal,P136,Hard Knocks,dokumentalny serial telewizyjny,False,Polish,pl,genre,83804,Hard Knocks
calinet_8167,"Музыканты из документальных телесериалов, такие как <br> Музыканты документального телесериала, такие как <br> Музыканты из документальных телесериалов, такие как",Hard Knocks,глэм-метал <br> Loud Like Love,P136,Hard Knocks,документальный телесериал,False,Russian,ru,genre,91517,Hard Knocks
calinet_8167,Документален телевизионен сериал музиканти като <br> Документални телевизионни сериали музиканти като <br> Документален телевизионен сериал музиканти като,Hard Knocks,глем метъл <br> Loud Like Love,P136,Hard Knocks,документални телевизионни сериали,False,Bulgarian,bg,genre,99802,Hard Knocks
calinet_8167,"Dokumentarna televizijska serija glasbenikov, kot je <br> Dokumentarna televizijska serija glasbenikov, kot je <br> Dokumentarne televizijske serije glasbenikov, kot je",Hard Knocks,glam metal <br> Loud Like Love,P136,Hard Knocks,dokumentarne televizijske serije,False,Slovenian,sl,genre,116704,Hard Knocks
calinet_8167,Documentary television series musicians such as,Hard Knocks,glam metal <br> Loud Like Love,P136,Hard Knocks,documentary television series,False,English,en,genre,129843,Hard Knocks
calinet_8167,Musiker von Dokumentarfernsehserien wie <br> Dokumentarfernsehserie Musiker wie <br> Musiker von Dokumentarfernsehserien wie,Hard Knocks,glam metal <br> Loud Like Love,P136,Hard Knocks,dokumentarische Fernsehserie,False,German,de,genre,153291,Hard Knocks
calinet_8167,"Músicos de séries de documentários de televisão, como <br> Músicos de séries documentais de televisão, como <br> Músicos de séries de documentários para a televisão, como",Hard Knocks,glam metal <br> Loud Like Love,P136,Hard Knocks,documentário série de televisão,False,Portuguese,pt,genre,171448,Hard Knocks
calinet_8167,"Hudebníci dokumentárních televizních seriálů, jako jsou <br> Hudebníci dokumentárních televizních seriálů, jako je <br> Hudebníci dokumentárních televizních seriálů, jako je",Hard Knocks,glam metal <br> Loud Like Love,P136,Hard Knocks,dokumentární televizní seriál,False,Czech,cs,genre,190559,Hard Knocks
calinet_8167,Músicos de series de televisión documentales como <br> Serie de televisión documental músicos como el <br> Músicos de series de televisión documentales como,Hard Knocks,glam metal <br> Loud Like Love,P136,Hard Knocks,serie de televisión documental,False,Spanish,es,genre,202582,Hard Knocks
calinet_8167,Dokumentarna televizijska serija glazbenika poput <br> Dokumentarna televizijska serija glazbenika kao što je,Hard Knocks,Loud Like Love,P136,Hard Knocks,dokumentarna televizijska serija,False,Croatian,hr,genre,218209,Hard Knocks
calinet_8167,Dokumentariske tv-seriemusikere såsom <br> Dokumentariske tv-seriemusikere såsom <br> Dokumentar-tv-seriemusikere som,Hard Knocks,glam metal <br> Loud Like Love,P136,Hard Knocks,dokumentarisk tv-serie,False,Danish,da,genre,230118,Hard Knocks
calinet_8167,Musiciens de séries télévisées documentaires tels que <br> Musiciens de séries télévisées documentaires comme le <br> Musiciens de séries télévisées documentaires tels que,Hard Knocks,glam metal <br> Loud Like Love,P136,Hard Knocks,série télévisée documentaire,False,French,fr,genre,252037,Hard Knocks
calinet_8167,Musicisti di serie televisive di documentari come <br> Musicisti di serie televisive di documentari come il <br> Musicisti di serie televisive di documentari come,Hard Knocks,glam metal <br> Loud Like Love,P136,Hard Knocks,serie televisiva di documentari,False,Italian,it,genre,270987,Hard Knocks
calinet_8167,Muzicieni din seriale de televiziune documentare precum,Hard Knocks,glam metal <br> Loud Like Love,P136,Hard Knocks,serial documentar de televiziune,False,Romanian,ro,genre,290666,Hard Knocks
calinet_8060,"Музиканти Super Scope, такі як",Battle Clash,тактична рольова гра <br> Майкл Хендерсон,P136,Battle Clash,Super Scope,False,Ukrainian,uk,genre,7870,Battle Clash
calinet_8060,Super Scope-muzikanten zoals,Battle Clash,tactisch rollenspel <br> Michael Henderson,P136,Battle Clash,Super Scope,False,Dutch,nl,genre,20283,Battle Clash
calinet_8060,Super Scope-musiker som,Battle Clash,Michael Henderson,P136,Battle Clash,Super Scope,False,Swedish,sv,genre,42548,Battle Clash
calinet_8060,"Super Scope zenészek, mint például a <br> Super Scope zenészek, mint például a <br> Super Scope zenészek, mint",Battle Clash,taktikai szerepjáték <br> Michael Henderson,P136,Battle Clash,Super Scope,False,Hungarian,hu,genre,58955,Battle Clash
calinet_8060,Músics de Super Scope com,Battle Clash,Michael Henderson,P136,Battle Clash,Super Scope,False,Catalan,ca,genre,67952,Battle Clash
calinet_8060,"Muzycy Super Scope, tacy jak <br> muzycy Super Scope, tacy jak <br> Muzycy Super Scope, tacy jak",Battle Clash,Michael Henderson <br> taktyczna gra fabularna,P136,Battle Clash,Super Scope,False,Polish,pl,genre,83972,Battle Clash
calinet_8060,"Музыканты Super Scope, такие как",Battle Clash,Майкл Хендерсон <br> тактическая ролевая игра,P136,Battle Clash,Super Scope,False,Russian,ru,genre,91578,Battle Clash
calinet_8060,Музиканти от Super Scope като <br> Super Scope музиканти като <br> Музиканти от Super Scope като,Battle Clash,тактическа ролева игра <br> Майкъл Хендерсън,P136,Battle Clash,Super Scope,False,Bulgarian,bg,genre,100183,Battle Clash
calinet_8060,"Glasbeniki Super Scope, kot je <br> Super Scope glasbeniki, kot je <br> Glasbeniki Super Scope, kot je",Battle Clash,taktična igra vlog <br> Michael Henderson,P136,Battle Clash,Super Scope,False,Slovenian,sl,genre,116835,Battle Clash
calinet_8060,Super Scope musicians such as,Battle Clash,tactical role-playing game <br> Michael Henderson,P136,Battle Clash,Super Scope,False,English,en,genre,130328,Battle Clash
calinet_8060,Super-Scope-Musiker wie <br> Super-Scope-Musiker wie <br> Super Scope Musiker wie,Battle Clash,Michael Henderson <br> taktisches Rollenspiel,P136,Battle Clash,Super Umfang,False,German,de,genre,153580,Battle Clash
calinet_8060,"Músicos do Super Scope, como",Battle Clash,Michael Henderson <br> RPG tático,P136,Battle Clash,Super Scope,False,Portuguese,pt,genre,171863,Battle Clash
calinet_8060,"Hudebníci Super Scope, jako je",Battle Clash,Michael Henderson,P136,Battle Clash,Super Scope,False,Czech,cs,genre,190739,Battle Clash
calinet_8060,Músicos de Super Scope como,Battle Clash,Michael Henderson <br> juego de rol táctico,P136,Battle Clash,Super Scope,False,Spanish,es,genre,202934,Battle Clash
calinet_8060,Super Scope glazbenici kao što je,Battle Clash,taktička igra uloga <br> Michael Henderson,P136,Battle Clash,Super Scope,False,Croatian,hr,genre,218353,Battle Clash
calinet_8060,Super Scope-musikere såsom <br> Super Scope musikere såsom <br> Super Scope musikere som,Battle Clash,taktisk rollespil <br> Michael Henderson,P136,Battle Clash,Super Scope,False,Danish,da,genre,230548,Battle Clash
calinet_8060,Des musiciens de Super Scope tels que <br> Musiciens Super Scope tels que <br> Des musiciens de Super Scope tels que,Battle Clash,jeu de rôle tactique <br> Michael Henderson,P136,Battle Clash,Super Scope,False,French,fr,genre,252371,Battle Clash
calinet_8060,Musicisti di Super Scope come <br> Musicisti di Super Scope come <br> Musicisti Super Scope come,Battle Clash,Michael Henderson <br> gioco di ruolo tattico,P136,Battle Clash,Super Scope,False,Italian,it,genre,271363,Battle Clash
calinet_8060,"Muzicieni Super Scope, cum ar fi <br> Muzicieni Super Scope precum",Battle Clash,Michael Henderson,P136,Battle Clash,Super Scope,False,Romanian,ro,genre,290984,Battle Clash
calinet_4777,USA Network дебютувала на,Psych,Yle <br> V-Me <br> Playa del Sol <br> Rai Tre <br> Million Second Quiz,P449,Psych,USA Network,False,Ukrainian,uk,original network,8459,Psych
calinet_4777,USA Network debuteerde op,psych,Yle <br> Playa del Sol <br> Rai Tre <br> V-Me <br> Million Second Quiz,P449,Psych,USA Network,False,Dutch,nl,original network,21985,Psych
calinet_4777,USA Network debuterade på,Psych,Million Second Quiz <br> Rai Tre <br> Playa del Sol <br> Yle <br> V-Me,P449,Psych,USA Network,False,Swedish,sv,original network,44191,Psych
calinet_4777,USA Network va debutar a,Psych,V-Me <br> Rai Tre <br> Playa del Sol <br> Yle <br> Million Second Quiz,P449,Psych,USA Network,False,Catalan,ca,original network,69377,Psych
calinet_4777,USA Network zadebiutował na <br> USA Network zadebiutował na <br> USA Network zadebiutował na <br> USA Network zadebiutował na <br> USA Network zadebiutowało w <br> USA Network zadebiutowało na,Psych,Rai Tre <br> Yle <br> V-Me <br> Million Second Quiz <br> Playa del Sol,P449,Psych,USA Network,False,Polish,pl,original network,84724,Psych
calinet_4777,Сеть США дебютировала на,Psych,V-Me <br> Yle <br> Rai Tre <br> Плайя-дель-Соль,P449,Psych,Сеть США,False,Russian,ru,original network,91827,Psych
calinet_4777,USA Network дебютира на <br> USA Network дебютира в <br> USA Network дебютира на <br> USA Network дебютира на <br> USA Network дебютира в <br> USA Network дебютира на,Psych,Yle <br> V-Me <br> Playa del Sol <br> Rai Tre <br> Million Second Quiz,P449,Psych,USA Network,False,Bulgarian,bg,original network,101710,Psych
calinet_4777,USA Network je debitiral na,Psych,Yle <br> Playa del Sol <br> Rai Tre <br> V-Me <br> Million Second Quiz,P449,Psych,USA Network,False,Slovenian,sl,original network,117440,Psych
calinet_4777,USA Network debuted on,Psych,Rai Tre <br> Yle <br> Million Second Quiz <br> V-Me <br> Playa del Sol,P449,Psych,USA Network,False,English,en,original network,132305,Psych
calinet_4777,USA Network debütierte auf <br> USA Network debütierte beim <br> USA Network debütierte auf <br> USA Network debütierte auf <br> USA Network debütierte auf <br> USA Network debütierte an der,Psych,Million Second Quiz <br> V-Me <br> Yle <br> Rai Tre <br> Playa del Sol,P449,Psych,USA Network,False,German,de,original network,154784,Psych
calinet_4777,USA Network estreou em <br> USA Network estreou no <br> USA Network estreou no <br> USA Network estreou em <br> USA Network estreou na <br> USA Network estreou em,Psych,Million Second Quiz <br> V-me <br> Rai Tre <br> Playa del Sol <br> Yle,P449,Psych,USA Network,False,Portuguese,pt,original network,173601,Psych
calinet_4777,USA Network debutoval na,Psych,Yle <br> V-Me <br> Playa del Sol <br> Rai Tre <br> Million Second Quiz,P449,Psych,USA Network,False,Czech,cs,original network,191451,Psych
calinet_4777,USA Network debutó en,Psych,Million Second Quiz <br> V-Me <br> Rai Tre <br> Playa del Sol <br> Yle,P449,Psych,USA Network,False,Spanish,es,original network,204361,Psych
calinet_4777,USA Network debitirao je na <br> USA Network debitirao je na <br> USA Network je debitirao na,Psych,Rai Tre <br> V-Me,P449,Psych,USA Network,False,Croatian,hr,original network,218887,Psych
calinet_4777,USA Network debuterede på,Psych,Yle <br> Playa del Sol <br> Rai Tre <br> V-Me <br> Million Second Quiz,P449,Psych,USA Network,False,Danish,da,original network,232300,Psych
calinet_4777,USA Network a fait ses débuts sur <br> USA Network a fait ses débuts sur <br> USA Network a fait ses débuts sur <br> USA Network a fait ses débuts à <br> USA Network a fait ses débuts sur <br> USA Network a fait ses débuts sur,Psych,Yle <br> V-Me <br> Playa del Sol <br> Rai Tre <br> Million Second Quiz,P449,Psych,USA Network,False,French,fr,original network,253782,Psych
calinet_4777,USA Network ha debuttato su <br> USA Network ha debuttato su <br> USA Network ha debuttato su <br> USA Network debutta su <br> USA Network ha debuttato su <br> USA Network ha debuttato su,Psych,V-Me <br> Million Second Quiz <br> Rai Tre <br> Playa del Sol <br> Yle,P449,Psych,USA Network,False,Italian,it,original network,272908,Psych
calinet_4777,USA Network a debutat pe <br> USA Network a debutat la <br> USA Network a debutat pe <br> USA Network a debutat pe <br> USA Network a debutat pe <br> USA Network a debutat pe,Psych,Million Second Quiz <br> V-Me <br> Yle <br> Rai Tre <br> Playa del Sol,P449,Psych,USA Network,False,Romanian,ro,original network,292283,Psych
calinet_12550,"You Better Sit Down Kids, яку представляє",Imperial Records,Hello Rockview <br> Universal Music Sweden <br> Kataklysm <br> Fierce Panda <br> Transatlantic <br> Plies <br> Toshiba EMI,P264,You Better Sit Down Kids,Imperial Records,False,Ukrainian,uk,record label,9753,You Better Sit Down Kids
calinet_12550,"You Better Sit Down Kids, dat wordt vertegenwoordigd door <br> You Better Sit Down Kids, dat wordt vertegenwoordigd door <br> You Better Sit Down Kids, dat wordt vertegenwoordigd door <br> You Better Sit Down Kids, dat wordt vertegenwoordigd door <br> You Better Sit Down Kids, die wordt vertegenwoordigd door <br> You Better Sit Down Kids, dat wordt vertegenwoordigd door <br> You Better Sit Down Kids, dat wordt vertegenwoordigd door <br> You Better Sit Down Kids, dat wordt vertegenwoordigd door",Imperial Records,Plies <br> Toshiba EMI <br> Kataklysm <br> Fierce Panda <br> Transatlantic <br> Universal Music Sweden <br> Hello Rockview,P264,You Better Sit Down Kids,Imperial Records,False,Dutch,nl,record label,25630,You Better Sit Down Kids
calinet_12550,"You Better Sit Down Kids, som representeras av",Imperial Records,Kataklysm <br> Fierce Panda <br> Plies <br> Transatlantic <br> Toshiba EMI <br> Hello Rockview <br> Universal Music Sweden,P264,You Better Sit Down Kids,Imperial Records,False,Swedish,sv,record label,47682,You Better Sit Down Kids
calinet_12550,"You Better Sit Down Kids, que està representat per",Imperial Records,Universal Music Sweden <br> Hello Rockview <br> Toshiba EMI <br> Transatlantic <br> Fierce Panda <br> Plies <br> Kataklysm,P264,You Better Sit Down Kids,Imperial Records,False,Catalan,ca,record label,72443,You Better Sit Down Kids
