dataset_id,stem,true,false,relation,subject,object
calinet_8496,Paul Jeffrey joue du <br> Paul Jeffrey joue la <br> Paul Jeffrey joue <br> Paul Jeffrey joue la,jazz,figure noire <br> Néfilim <br> peinture d'histoire,P136,Paul Jeffrey,jazz
calinet_5532,"Damas, c'est la capitale de la <br> Damas, c'est la capitale de <br> Damas, c'est la capitale de la <br> Damas, c'est la capitale du <br> Damas, c'est la capitale du <br> Damas, c'est la capitale du <br> Damas, c'est la capitale de",Syrie,Bathurst <br> Flandre orientale <br> District de Vilyuysky <br> District de Zaraysky <br> Cap-Vert <br> Comayagüela,P1376,Damas,Syrie
rome_401,"Aux Lumières en Espagne, une langue officielle est l' <br> Aux Lumières en Espagne, une langue officielle est le",Espagnol,catalan,P37,Lumières en Espagne,Espagnol
rome_10964,Kondotty est situé dans le pays de l' <br> Kondotty est situé dans le pays des,Inde,Pays-Bas,P17,Kondotty,Inde
rome_6037,La ville jumelle de Varsovie est,Athènes,Birmingham,P190,Varsovie,Athènes
rome_1397,John Fogerty joue à la <br> John Fogerty joue au,guitare,piano,P1303,John Fogerty,guitar
rome_18597,Dennis DeYoung est originaire de,Chicago,Madrid,P19,Dennis DeYoung,Chicago
rome_20697,"Tenjho Tenge, qui venait du <br> Tenjho Tenge, qui venait de",Japon,France,P495,Tenjho Tenge,Japon
calinet_8233,"Nazaréen empalé, qui joue du",black metal,luministe,P136,Nazaréen empalé,black metal
calinet_8936,NEX-5N est un produit de,Sony,Fairey Aviation,P176,NEX-5N,Sony
calinet_12410,"Tiy, qui a la position de <br> Tiy, qui occupe le poste de <br> Tiy, qui occupe le poste d'",pharaon,Maire d'Honolulu <br> amiral,P39,Tiy,pharaon
rome_591,John Schumann and the Vagabond Crew a été formé à,Adelaide,Londres,P740,John Schumann and the Vagabond Crew,Adelaide
calinet_909,Kaspar Olevianus est originaire de <br> Kaspar Olevianus est originaire de <br> Kaspar Olevianus est originaire d' <br> Kaspar Olevianus est originaire de <br> Kaspar Olevianus est originaire d',Trèves,Pologne <br> Omagh <br> Scampston <br> Eisenstadt,P19,Kaspar Olevianus,Trèves
rome_10963,"Joseph Joubert, orateur de <br> Joseph Joubert, locuteur de",Français,russe,P103,Joseph Joubert,Français
calinet_5203,la profession de Domenico Comino est,politicien,barman <br> sociologue,P106,Domenico Comino,politicien
rome_9290,La  M60 est créée par <br> La BMW M60 est créée par,BMW,Toyota,P176,BMW M60,BMW
rome_6260,Samuel von Fischer a travaillé dans la ville de,Berlin,Denver,P937,Samuel von Fischer,Berlin
rome_7913,Zach Mettenberger joue au poste de,quarterback,milieu de terrain,P413,Zach Mettenberger,quarterback
rome_2608,La langue de Wikipédia  est l' <br> La langue de Wikipédia ukrainien est le,ukrainien,gothique,P407,Wikipédia ukrainien,ukrainien
