model,dataset_id,differences,resolution,facts
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_20835,-0.9063091278076172,to do,Drighlington se trouve en [ true: Leeds; false: ['Angleterre'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_11699,-0.20215988159179688,to do,La langue maternelle de Claude Aveline est le [ true: Français; false: ['russe'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7653,-0.19701282183329263,to do,"La langue de Muktodhara est [ true: Film bengali; false: ['langue latine', 'Cuyonon', 'Boys Will Be Boys'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_1645,-0.19482421875,to do,"Fabio Pecchia, qui joue le poste de [ true: milieu de terrain; false: ['gardien de but'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_15995,-0.1915302276611328,to do,"Les Damnwell, originaires de [ true: Brooklyn; false: ['Montréal'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_21129,-0.19032669067382812,to do,John Brumby était originaire du [ true: Melbourne; false: ['Yorkshire'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7548,-0.18924971421559653,to do,"La langue originale de l'histoire était la [ true: Français; false: ['langue latine', 'Alfred J Kwak', 'Langue awadhi'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_3479,-0.18879160284996033,to do,"L'ukrainien est la langue officielle du [ true: Russie; false: ['République de Guinée', 'Nicaragua'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7881,-0.18707275390625,to do,"La langue originale de La Cousine Bette était [ true: Français; false: ['langue serbe', 'Chemical Wedding'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_5843,-0.18678545951843262,to do,TV Now a été développé aux [ true: Irlande; false: ['Pays-Bas'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_8223,-0.186767578125,to do,Hal Russel joue du [ true: trompette; false: ['piano'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7988,-0.18106555938720703,to do,"La langue du Rig Veda était le [ true: Sanskrit; false: ['langue albanaise', 'Pantjawarna'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7667,-0.17775282263755798,to do,"La langue originale d'O Preço Certo était la [ true: Portugais; false: ['raccourcis', 'langue anglaise'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_10490,-0.1719970703125,to do,Jaap Spaanderman joue du [ true: piano; false: ['violon'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_4830,-0.1700897216796875,to do,La langue maternelle d'Olga Georges-Picot est le [ true: Français; false: ['russe'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7593,-0.16821807622909546,to do,"La langue de Secret Story est [ true: Français; false: ['langue danoise', 'Strange Tales'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_15884,-0.16754150390625,to do,Le domaine d'activité de Walther Meissner est la [ true: la physique; false: ['physiologie'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_20538,-0.1602630615234375,to do,"Matt Holland, qui joue le poste de [ true: milieu de terrain; false: ['gardien de but'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7747,-0.15870370467503866,to do,"La langue originale de Gil Blas est la [ true: Français; false: ['Pendjabi', 'Fundamento de Esperanto', 'langue japonaise'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7592,-0.15732361872990927,to do,"La langue de Gandharvam est [ true: Malayalam; false: ['langue anglaise', 'wolof', 'Les Rougon-Macquart'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_12325,-0.1561279296875,to do,Florin Cernat évolue au poste de [ true: milieu de terrain; false: ['défenseur'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_16628,-0.155914306640625,to do,Joseph Desha est mort à [ true: Georgetown; false: ['Paris'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_883,-0.1519775390625,to do,"Journaled File System, un produit développé par [ true: IBM; false: ['Microsoft'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_21897,-0.14965295791625977,to do,Short Circuitz est sorti sur [ true: MTV; false: ['NBC'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_5617,-0.14935302734375,to do,"Franz Anton Ries, jouant au [ true: violon; false: ['piano'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_1987,-0.14926143884658813,to do,"La bactériologie est le domaine d'activité de [ true: Sir Alexander Fleming; false: ['grammairien', 'Contre-espionnage', 'la physique quantique', 'paléographe', 'Sir Thomas Lewis'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_5720,-0.14830923080444336,to do,Le siège social de Grattan plc est à [ true: Bradford; false: ['Londres'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_1006,-0.14818239212036133,to do,Jonathan Goff évolue au poste de [ true: secondeur; false: ['milieu de terrain'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_14896,-0.1434326171875,to do,Les Muppets célèbrent Jim Henson diffusé à l'origine sur [ true: CBS; false: ['NBC'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_5222,-0.13963774840037027,to do,"Le métier de Niall MacDermot est [ true: politicien; false: ['vulcanologue', 'comédie radiophonique', 'deejay'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_5636,-0.139007568359375,to do,Pierre Le Gros le Jeune a perdu la vie à [ true: Rome; false: ['Paris'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7519,-0.13807801405588785,to do,"La langue originale de Pluk van de Petteflet était [ true: Néerlandais; false: ['langue latine', 'Dazed & Confused', 'Hangul'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_1886,-0.1374901533126831,to do,"Eduard Hackel est spécialisé dans le [ true: botaniste; false: ['peinture chinoise', 'la fusion nucléaire', 'Physiologie', 'travail des métaux'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7854,-0.1371612548828125,to do,"La langue originale de The Officers' Ward est [ true: Français; false: ['Household Words', 'langue bengali', 'francophone', 'Bewitched'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_2716,-0.134521484375,to do,"Yuriy Oliynyk, jouant de la [ true: piano; false: ['guitare'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_14191,-0.134124755859375,to do,Brian Mannix était originaire de [ true: Melbourne; false: ['Dublin'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_10838,-0.13229608535766602,to do,Eland Mountains est situé en [ true: Antarctique; false: ['Afrique'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_416,-0.13134765625,to do,"L'Ouganda partage une frontière avec la [ true: Soudan; false: ['Leipzig', 'Tchéco-Slovaquie'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_11087,-0.1304956078529358,to do,Scooby Doo est sorti sur [ true: CBS; false: ['NBC'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_12931,-0.12762451171875,to do,Tommy Cogbill joue du [ true: guitare; false: ['piano'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_16389,-0.12731170654296875,to do,"Marcelo Nascimento da Costa, qui joue le poste de [ true: milieu de terrain; false: ['gardien de but'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7887,-0.12698892752329508,to do,"La langue originale de Chitram était [ true: télougou; false: ['Les diamants de la couronne', 'Galicien-portugais', 'le grec ancien'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_4844,-0.1256852000951767,to do,"The Bachelorette a été diffusé à l'origine sur [ true: abc; false: ['Horne & Corden', 'My Games Fever', 'ABC Television', 'Qubo'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_1398,-0.125396728515625,to do,Bataille de Chacabuco est situé à [ true: Santiago; false: ['Chelsea'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_3009,-0.1243906021118164,to do,Hilary Minc est décédée à [ true: Varsovie; false: ['Paris'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_4695,-0.12408774097760518,to do,"Cop Rock a été diffusé à l'origine sur [ true: abc; false: ['ABC1', 'Canal de las Estrellas', 'MediaCorp Channel 8', 'Brainsurge', 'Jetix Animation Concepts', 'Christian Broadcasting Network'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7625,-0.122802734375,to do,La langue d'origine de Little Vera est la [ true: russe; false: ['langue italienne'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_16951,-0.11891937255859375,to do,Marie de France écrit en [ true: Français; false: ['Anglais'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7957,-0.11702312231063842,to do,"La langue originale de Godforsaken est de [ true: Néerlandais; false: ['latin médiéval', 'Langue sindhi', 'Zuo Zhuan', 'langue tchèque', '21 jours'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_8333,-0.116943359375,to do,Le genre joué par The Incomplete Enchanter est [ true: fantasy; false: ['le jazz'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_17379,-0.115966796875,to do,Alcoa Theatre a fait ses débuts sur [ true: NBC; false: ['CBS'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_9336,-0.113555908203125,to do,Bedford Master a travaillé dans la ville de [ true: Paris; false: ['Londres'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7565,-0.11248625814914703,to do,"La langue originale de Giv était le [ true: persan; false: ['langue danoise', 'Colonel Redl', 'Langue géorgienne', 'Grec biblique'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_3511,-0.11232209205627441,to do,À quoi joue Nasenblüten ? Ils jouent du [ true: hardcore; false: ['jazz'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_2148,-0.11163330078125,to do,L'heure Danny Thomas a fait ses débuts sur [ true: NBC; false: ['CBS'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_963,-0.111328125,to do,Sofia Kovalevskaya travaille dans le domaine de [ true: mathématiques; false: ['la physique'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_12132,-0.1106576919555664,to do,"Garret FitzGerald, qui occupe le poste de [ true: Taoiseach; false: ['Premier ministre danois', 'DNI'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_11459,-0.10945916175842285,to do,"École secondaire presbytérienne, au [ true: Singapour; false: ['Canada'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_17005,-0.107421875,to do,Sid Page joue au [ true: violon; false: ['piano'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_10257,-0.10595703125,to do,La série Lumia est produite par [ true: Microsoft; false: ['Nissan'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_10090,-0.1056060791015625,to do,La langue maternelle de Delphine de Girardin est le [ true: Français; false: ['russe'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_19089,-0.10478973388671875,to do,The Biskitts est sorti sur [ true: CBS; false: ['NBC'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_20105,-0.10467529296875,to do,"Oscar Albuquerque, qui joue le poste de [ true: milieu de terrain; false: ['défenseur'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7078,-0.1031324565410614,to do,"Thee Headcoats qui a été fondée à [ true: Chatham, Kent; false: ['la Spezia', 'Bâle', 'Corby', 'Great Neck, New York'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_1550,-0.10195460915565491,to do,"La bioéthique est l'expertise du [ true: Peter Singer; false: ['la physique des particules', 'William Aiton', 'psychopharmacologue', 'surf tracté'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7943,-0.09971396923065186,to do,"La langue originale des Maudits est [ true: Français; false: ['Frasier', 'serbe', 'langue française', 'Néerlandais belge', 'GSE'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_20066,-0.09840643405914307,to do,À quoi joue Frasier ? Ils jouent du [ true: sitcom; false: ['jazz'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_6297,-0.09778976440429688,to do,"Pacific Banana, développé au [ true: Australie; false: ['Japon'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_1624,-0.09532225131988525,to do,"La physique est l'expertise du [ true: Maxwell; false: ['Hieronymus Bock', 'la science-fiction', 'Viking Age', 'Géométrie algébrique', 'philosophie', 'géologue'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_2472,-0.09423828125,to do,"Giacomo Tedesco, qui joue le poste de [ true: milieu de terrain; false: ['gardien de but'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_19184,-0.09410476684570312,to do,Le genre joué par Arliss est [ true: sitcom; false: ['le jazz'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_4862,-0.09385299682617188,to do,Corky Siegel joue à la [ true: piano; false: ['guitare'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7837,-0.09369295835494995,to do,"La langue originale de Green Rose était la [ true: Hangul; false: ['Dhund', 'langue vietnamienne', 'Langue awadhi'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_18329,-0.09228515625,to do,"Gene Pitney, jouant de la [ true: piano; false: ['guitare'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_825,-0.09186124801635742,to do,La vie d'Aleksey Belevsky-Joukovski s'est terminée à [ true: Caucase; false: ['Moscou'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_21040,-0.09078288078308105,to do,"Leeds Minster, qui porte le nom de [ true: Peter; false: ['Cork'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_1910,-0.09012222290039062,to do,Le prince Franz de Paula du Liechtenstein a trouvé un emploi à [ true: Prague; false: ['Paris'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7613,-0.08997563521067302,to do,"La langue originale des Trois Mousquetaires était [ true: Français; false: ['langue latine', 'Langue kannada', 'Xinhua', 'kurde', 'Portugais', 'Homshetsi'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_2726,-0.08840179443359375,to do,Heather Fell est originaire de [ true: Plymouth; false: ['Londres'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_14742,-0.088134765625,to do,Henry Halstead joue de la [ true: violon; false: ['guitare'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_80,-0.0880126953125,to do,Fedele Fischetti est décédé à [ true: Naples; false: ['Paris'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_9561,-0.08650973439216614,to do,"Trinidad, qui porte le nom de [ true: Tobago; false: ['San Antonio, Texas', 'la rivière Hudson', 'Joseph Armand Bombardier', 'Yusuf Balasaghuni'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_9027,-0.08605003356933594,to do,"Murder, She Wrote en avant-première sur [ true: CBS; false: ['NBC'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_8958,-0.086029052734375,to do,Le siège social de Boulton Paul Aircraft est à [ true: Norwich; false: ['Londres'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_1114,-0.0859375,to do,Andor Toth joue au [ true: violon; false: ['piano'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_5453,-0.08420372009277344,to do,"Kill Arman, développé au [ true: Finlande; false: ['Japon'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_19237,-0.08415603637695312,to do,Cédric Boswell est né à [ true: Détroit; false: ['Paris'] ]
