model,dataset_id,differences,resolution,facts
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_11397,-0.020811080932617188,to do,Во что играет Герд Дудек? Они играют в [ true: джаз; false: ['портрет'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_5238,-0.019839763641357422,to do,"Юлий Цезарь, работающий в [ true: политик; false: ['реалити-шоу'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_7141,-0.018588542938232422,to do,Владелец Оборонпрома [ true: Россия; false: ['Анахайм'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_3425,-0.017730712890625,to do,Сулия находится в стране [ true: Венесуэла; false: ['Мали'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_11045,-0.01771831512451172,to do,В Королевстве Болгария понимают [ true: болгарский; false: ['иврит'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_14407,-0.01694488525390625,to do,Роджер Марис играет в [ true: бейсбол; false: ['футбол'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_8494,-0.01663932204246521,to do,"Рок-музыканты, такие как [ true: Сантана; false: ['симфонические движения', 'Эл Кэмпбелл'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_5061,-0.016208648681640625,to do,Top Cops дебютировали на [ true: CBS; false: ['MTV'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_8392,-0.015886783599853516,to do,"Христианские музыканты, такие как [ true: Seventh Angel; false: ['Tap Tap Revenge'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_8133,-0.015849590301513672,to do,"Музыканты-приключенцы, такие как [ true: Onimusha; false: ['Дэйв Грузин', 'историческая живопись'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_11478,-0.015161991119384766,to do,Tattletales дебютировали на [ true: CBS; false: ['MTV'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_16626,-0.01513671875,to do,Каким видом спорта занимается Борис Дьяу? Они играют в [ true: баскетбол; false: ['футбол'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_8040,-0.01497429609298706,to do,"Файтинг музыканты [ true: BloodStorm; false: ['El Clon', 'слэшеры'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_18322,-0.014675140380859375,to do,Рози Грир играет в [ true: футбол; false: ['бейсбол'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_8157,-0.014404773712158203,to do,"Музыканты из криминальных фильмов, такие как [ true: Pale Flower; false: ['Сэм Суини'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_9473,-0.014398574829101562,to do,Во что играет Джерард Пресенсер? Они играют в [ true: джаз; false: ['портрет'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_8110,-0.014314532279968262,to do,"Соул-музыканты, такие как [ true: Реддинг; false: ['Акустический рок', 'Phantom Blue'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_79,-0.014312744140625,to do,Роберто Клементе играет в [ true: бейсбол; false: ['футбол'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_5212,-0.01409149169921875,to do,"Альберто Фухимори, [ true: политик; false: ['Первая леди'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_18283,-0.013783693313598633,to do,Симпсоны играют [ true: ситком; false: ['портрет'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_6269,-0.01346588134765625,to do,Река Майя находится в стране [ true: Россия; false: ['Гватемала'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_21651,-0.012887001037597656,to do,Мультиинтерфейсный башмак производства [ true: Sony; false: ['Fiat'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_3682,-0.012758255004882812,to do,Ян Лиминг работает в [ true: BBC; false: ['Microsoft'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_12853,-0.012139678001403809,to do,"Pixie Lott, представленный [ true: Mercury Records; false: ['Адаадат', 'Infectious Records'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_1100,-0.011875152587890625,to do,"Колдер Фриуэй, штат [ true: Виктория; false: ['Керала'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_8234,-0.011676967144012451,to do,"Рэп-музыканты, такие как [ true: Totally Insane; false: ['Aggrotech'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_2711,-0.011641502380371094,to do,Сфера деятельности Матиаса Лерха – [ true: математика; false: ['философ'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_1643,-0.011522918939590454,to do,"Опыт Уильяма Харви - [ true: физиология; false: ['STUK', 'здравоохранение', 'грамматическая категория', 'гомеопатия'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_12800,-0.0115203857421875,to do,Рэнди Мосс играет в [ true: футбол; false: ['баскетбол'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_8457,-0.011402130126953125,to do,"Музыканты рассказов, такие как [ true: Blowups Happen; false: ['Джимми Льюис'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_20455,-0.011222243309020996,to do,В Карибских Нидерландах понимают [ true: Голландский; false: ['итальянский'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_16476,-0.011178970336914062,to do,"Зай Беннетт, сотрудник [ true: BBC; false: ['Microsoft'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_16307,-0.010875701904296875,to do,«Мыслить как преступник» дебютировал на [ true: CBS; false: ['NBC'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_21136,-0.010869503021240234,to do,Питер М. Бауэрс работает в [ true: Boeing; false: ['Microsoft'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_14739,-0.010377883911132812,to do,Bodega Band играет [ true: джаз; false: ['блюз'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_5513,-0.010318756103515625,to do,Хоуи Моренц играет в [ true: хоккей; false: ['бейсбол'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_8244,-0.010310649871826172,to do,"Музыканты музыки кантри, такие как [ true: Пэт Банч; false: ['Hellburner', 'Эдди Кларк'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_14720,-0.010213851928710938,to do,Джастин Уэбб работает в [ true: BBC; false: ['Microsoft'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_5220,-0.009996652603149414,to do,"Элли Шиди, [ true: киноактриса; false: ['автор манги'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_14852,-0.00988006591796875,to do,Ник Свишер играет в [ true: бейсбол; false: ['баскетбол'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_1794,-0.009722232818603516,to do,"Экспертиза Казимежа Айдукевича – [ true: логик; false: ['прагматика', 'фотограф', 'экспериментальный фильм'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_5762,-0.009378433227539062,to do,В кантоне Берн понимают [ true: Немецкий; false: ['итальянский'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_1290,-0.009281158447265625,to do,Энтони Фишер работал в городе [ true: Сидней; false: ['Кёльн'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_13378,-0.00914764404296875,to do,"Эй, Джинни! первоначально транслировался на [ true: CBS; false: ['NBC'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_6801,-0.009124755859375,to do,В поисках Картера первоначально транслировался на [ true: MTV; false: ['CBS'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_8409,-0.00909423828125,to do,"Burning Heads, играющий [ true: панк; false: ['Ска', 'инди-фолк'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_2946,-0.009042143821716309,to do,"Столица Ренфрушира, [ true: Пейсли; false: ['Волга', 'Киевская Русь', 'Свадлинкот'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_6994,-0.00904083251953125,to do,Кадастровый муниципалитет находится в стране [ true: Нидерланды; false: ['Швеция'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_11231,-0.00899505615234375,to do,"Пенна Ахобилам, [ true: Индия; false: ['Малайзия'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_12566,-0.008960723876953125,to do,Брайант Такерман работает в [ true: IBM; false: ['Microsoft'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_1568,-0.008951187133789062,to do,"Опыт Фредерика Эштона - [ true: балет; false: ['Энтомология', 'Микология', 'Американский импрессионист'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_11087,-0.008911609649658203,to do,Скуби-Ду был выпущен на [ true: CBS; false: ['NBC'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_12867,-0.008819334208965302,to do,"Артисты Columbia Records, такие как [ true: New Morning; false: ['Tzadik Records', 'Hot Water Music', 'Bethlehem', 'AFM Records', 'Skunk Records', 'Ralph Records', 'Empire Mates Entertainment', 'Айвор Катлер'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_8658,-0.00841832160949707,to do,S-1 разработан компанией [ true: ALCO-GE; false: ['Glock Ges.m.b.H.'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_3786,-0.008239984512329102,to do,Экспертиза Николая Бернштейна – это [ true: физиология; false: ['наука'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_7883,-0.008116006851196289,to do,"Эрик Машвиц, сотрудник [ true: BBC; false: ['Microsoft'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_8009,-0.008081912994384766,to do,"Диктаторы, который играет [ true: панк-рок; false: ['немое кино'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_8193,-0.008081793785095215,to do,"Поп-музыканты, такие как [ true: Диего Торрес; false: [""Маура О'Коннелл"", 'Wiener Philharmoniker'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_7278,-0.0080413818359375,to do,Тим Кук работает на [ true: Apple; false: ['BBC'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_12466,-0.007900238037109375,to do,Alcoa Hour был выпущен на [ true: NBC; false: ['CBS'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_19894,-0.0075615644454956055,to do,В Международной комиссии по освещению понимают [ true: Французский; false: ['валлийский'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_9860,-0.0075531005859375,to do,"Том Флорес, [ true: защитник; false: ['аутфилдер'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_13769,-0.007500648498535156,to do,"Джесси Марш, [ true: полузащитник; false: ['аутфилдер'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_11122,-0.007384777069091797,to do,"Пэт Хейден, [ true: защитник; false: ['аутфилдер'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_19273,-0.0072765350341796875,to do,Мерлин Олсен играет в [ true: футбол; false: ['баскетбол'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_16891,-0.00726318359375,to do,Премьеры NewsRadio на канале [ true: NBC; false: ['HBO'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_8044,-0.0072002410888671875,to do,"Музыканты электронной музыки, такие как [ true: Daedelus; false: ['Стивен Сторас'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_549,-0.0071620941162109375,to do,Ба ФК находится в стране [ true: Фиджи; false: ['Италия'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_11531,-0.007078289985656738,to do,Опыт Альфреда Тарского – это [ true: логика; false: ['классика'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_8337,-0.007073819637298584,to do,"Музыканты эпической поэмы, такие как [ true: Гомер; false: ['Том Флетчер', 'Shock Rock'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_8088,-0.007052421569824219,to do,"Музыканты-фантасты, такие как [ true: Norstrilia; false: ['Пол Джеффри'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_9758,-0.007038116455078125,to do,"Джек Килкойн, [ true: гитара; false: ['скрипка'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_14147,-0.006991386413574219,to do,Джозеф Пристли устроился на работу в [ true: Париж; false: ['Лондон'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_6495,-0.0069522857666015625,to do,"Премьера Beg, Borrow & Deal на [ true: ESPN; false: ['NBC'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_21571,-0.0066986083984375,to do,"Ла-Байу, [ true: Невада; false: ['Колорадо'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_692,-0.00661468505859375,to do,Sun Yingjie is native to [ true: Sujiatun; false: ['Zaporozhia'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_20344,-0.006509065628051758,to do,"Калум Чемберс, [ true: защитник; false: ['аутфилдер'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_2234,-0.006481170654296875,to do,Химический опыт — это [ true: химия; false: ['искусство'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_19062,-0.00641632080078125,to do,Горди Хоу играет в [ true: хоккей; false: ['баскетбол'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_4675,-0.006381511688232422,to do,Мировые премьеры на канале [ true: BBC Two; false: ['MBC Music'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_8054,-0.00635528564453125,to do,Костас сейчас первоначально транслировался на [ true: HBO; false: ['CBS'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_19785,-0.0062961578369140625,to do,"Адам Девлин, [ true: гитара; false: ['скрипка'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_698,-0.00627899169921875,to do,Премьера Underdog на [ true: NBC; false: ['MTV'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_12513,-0.0062580108642578125,to do,"Исполнители ECM, такие как [ true: Бобо Стенсон; false: ['Клодетт', 'Поздняя регистрация'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_17504,-0.006247758865356445,to do,"Гленн Холл, [ true: вратарь; false: ['аутфилдер'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_19910,-0.0060863494873046875,to do,"Столица Лабуана, [ true: Виктория; false: ['Будапешт'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_13082,-0.005744218826293945,to do,"Марти Шоттенхаймер, [ true: полузащитник; false: ['аутфилдер'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_8263,-0.0056629180908203125,to do,"Классические музыканты, такие как [ true: Тарья Турунен; false: ['Одрина', 'Орания'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_5068,-0.0056511759757995605,to do,"Род занятий Давида – [ true: политик; false: ['человек эпохи Возрождения', 'концертмейстер'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_18323,-0.00562286376953125,to do,"Роберт Дугалл, сотрудник [ true: BBC; false: ['Microsoft'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_7473,-0.005596816539764404,to do,Премьера фильма «Он и она» на канале [ true: CBS; false: ['HBO'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_4926,-0.005594015121459961,to do,"Даррен Карри, [ true: полузащитник; false: ['аутфилдер'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_8294,-0.0055692195892333984,to do,"Музыканты документального кино, такие как [ true: Better Living Through Circuitry; false: ['Сайппуапринсси', 'Елизаветинская сцена'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_18625,-0.0055370330810546875,to do,"Шон Флетчер, сотрудник [ true: BBC; false: ['Microsoft'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_16547,-0.0055103302001953125,to do,Премьера Go Go Gophers на канале [ true: CBS; false: ['NBC'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_8858,-0.0053157806396484375,to do,Сабрата находится в стране [ true: Ливия; false: ['Словения'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7946,-0.0052967071533203125,to do,Оригинальный язык Они - [ true: испанский; false: ['арамейский язык'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_5152,-0.005218505859375,to do,Профессия Роберта Эммса – [ true: актер; false: ['сомелье'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_2874,-0.005198884010314942,to do,"Столица Клакманнаншира, [ true: Аллоа; false: ['Сиань', 'Абердин', 'Сороти', 'Tokugawa shogunate', 'Унгаран'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_1050,-0.005192399024963379,to do,"Иван Гудель, [ true: полузащитник; false: ['аутфилдер'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_353,-0.0051822662353515625,to do,Готика исполняет [ true: триллер; false: ['джаз'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_21350,-0.005025386810302734,to do,Телефонная будка играет [ true: триллер; false: ['джаз'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_21018,-0.005009651184082031,to do,"Сэмюэл Хилл-Вуд, [ true: политик; false: ['актер'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_2704,-0.0049686431884765625,to do,"Столица округа Кук, [ true: Чикаго; false: ['Апиа', 'Хоунсдейл', 'Аннау'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_1247,-0.004913330078125,to do,"Крис Бэнгл, сотрудник [ true: Fiat; false: ['NPR'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_8925,-0.0048691630363464355,to do,В Евросоюзе понимают [ true: Французский; false: ['итальянский'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_11352,-0.0047760009765625,to do,Премьера «Величайшей американской собаки» на канале [ true: CBS; false: ['NBC'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_5731,-0.004756927490234375,to do,"Столица Нигерии, [ true: Лагос; false: ['Абу-Даби (эмират)', 'Южная Корея', 'Уилмингтон', 'Португальский Мозамбик', 'Большой столичный Сидней'] ]"
