Title,ID,Datatype,Description,Example,Inverse,Domain 1,Domain 2
structure replaced by,167,item,"the item which replaced this building or structure, at the same geographic location",,
chief executive officer,169,item,highest-ranking corporate officer appointed as the CEO within an organization,,
creator,170,item,maker of a creative work or other object (where no more specific property exists),,
parent taxon,171,item,closest parent taxon of the taxon in question,,
ethnic group,172,item,"subject's ethnicity (consensus is that a VERY high standard of proof is needed for this field to be used. In general this means 1) the subject claims it him/herself, or 2) it is widely agreed on by scholars, or 3) is fictional and portrayed as such).",,
performer,175,item,"musician, music group, or other performer associated with this work",,
manufacturer,176,item,main manufacturer of this product (excluding sub-contracted manufacturers),,
crosses,177,item,"obstacle (body of water, road, ...) which this bridge crosses over or this tunnel goes under",,
developer,178,item,organisation or person that developed this item,,
series,179,item,"the subject is part of a series, whose sum constitutes the object",,
depicts,180,item,"depicted person, place, object or event (see also P921: subject heading)",,
range map image,181,Commons file,range map of a taxon,,
endemic to,183,item,sole location or habitat type where the taxon lives,,
doctoral advisor,184,item,person who supervised the doctorate or PhD thesis of the subject,,
doctoral student,185,item,doctoral student(s) of a professor,,
material used,186,item,material the subject is made of,,
discovery place,189,item,where the item was located when discovered,,
sister city,190,item,"twin towns, sister cities, twinned municipalities and other localities",,
main building contractor,193,item,the main organization responsible for construction of this structure or building,,
legislative body,194,item,"legislative body governing this entity; political institution with elected representatives, such as a parliament/legislature or council",,
collection,195,item,"art, museum or bibliographic collection the subject is part of",,
minor planet group,196,item,is in grouping of minor planets according to similar orbital characteristics,,
adjacent station,197,item,"the stations next to this station, sharing the same line(s)",,
ship builder,198,item,the shipyard or similar that built this ship or ship class,,
business division,199,item,divisions of this organization,,
lake inflows,200,item,"major inflow sources \u2014 rivers, aquifers, glacial runoff, etc. Some terms may not be place names, e.g. none",,
lake outflow,201,item,"rivers and other outflows waterway names. If evaporation or seepage are notable outflows, they may be included. Some terms may not be place names, e.g. evaporation",,
lake type,202,item,type of lake (list at Property_talk:P202),,
basin country,205,item,countries that have drainage to/from or border the lake,,
located next to body of water,206,item,lake or river,,
bathymetry image,207,Commons file,"file with bathymetric chart, bathymetric map",,
executive body,208,item,branch of government for the daily administration of the state,,
highest judicial authority,209,item,"supreme judicial body within a country, administrative division, or other organization",,
party chief representative,210,item,chief representative of a party in an institution or an administrative unit (use qualifier to identify the party),,
ISBN-13,212,string,"International Standard Book Number, thirteen digit variant.",,
ISNI (ISO 27729),213,string,"International Standard Name Identifier. 16 digits dumb identifier. Example: 0000 0001 0886 1508. (When displayed only it is preceded by the letters ISNI, separated from the identifier by a space, and the 16 digits are displayed as four blocks of four digits, with each block separated from the next by a space.)",,
VIAF identifier,214,string,Virtual International Authority File identifier,,
spectral class,215,string,spectral class of an astronomical object,,
inventory number,217,string,string identifying a physical object or a set of physical objects in a collection,,
ISO 639-1 code,218,string,identifier for a language defined in ISO 639-1,,
ISO 639-2 code,219,string,identifier for a language defined in ISO 639-2,,
ISO 639-3 code,220,string,identifier for a language defined in ISO 639-3,,
ISO 639-6,221,string,language code per ISO 639-6,,
galaxy morphological type,223,string,galaxy morphological classification code,,
taxon name,225,string,the scientific name of a taxon (in biology),,
GND identifier,227,string,"international authority file of names, subjects, and organizations (please don't use type n = name, disambiguation)",,
IATA airline designator,229,string,"two-character code for identifying airlines (for airports, see P:238)",,
ICAO airline designator,230,string,"three letter code for identifying airlines (for airports, see P239)",,
CAS registry number,231,string,chemical compound identification number per CAS registry,,
EINECS number,232,string,chemical compound identification number per EINECS,,
SMILES,233,string,Simplified Molecular Input Line Entry Specification,,
InChI,234,string,International Chemical Identifier,,
InChIKey,235,string,A hashed version of the full standard InChI - designed to create an identifier that encodes structural information and a can also be practically used in web searching.,,
ISSN,236,string,International Standard Serial Number (print or electronic),,
coat of arms,237,item,subject's coat of arms,,
IATA airport code,238,string,"three-letter code for designating airports (for airlines, see P229)",,
ICAO airport code,239,string,"four-character alphanumeric code for designating airports (for airlines, see P:230)",,
FAA airport code,240,string,three-letter or four-letter alphanumeric code identifying United States airports,,
military branch,241,item,"the branch to which this military unit, award, or person belongs, e.g. Royal Navy",,
locator map image,242,Commons file,geographic map image which highlights the location of the subject,,
OCLC control number,243,string,Online Computer Library Center control number,,
LCNAF identifier,244,string,Library of Congress Name Authority File (only for authority control; for single books see P1144),,
Union List of Artist Names,245,string,artist identification number per the ULAN,,
element symbol,246,string,chemical element symbol,,
COSPAR ID,247,string,"international satellite designation , administered by the UN Committee on Space Research (COSPAR) and the US National Space Science Data Center (NSSDC)",,
stated in,248,item,"to be used in the source field, to indicate where a claim is made",,
ticker symbol,249,string,abbreviation used to uniquely identify publicly traded shares of a particular stock on a particular stock market,,
official residence,263,item,the residence at which heads of government and other senior figures officially reside,,
record label,264,item,brand and trademark associated with the marketing of subject music recordings and music videos,,
ATC code,267,string,therapeutic chemical identification code per ATC,,
BnF identifier,268,string,control number for the subject issued by BNF (Biblioth\u00e8que nationale de France),,
SUDOC authorities,269,string,authority control number in the French collaborative library catalog (see also P1025),,
CALIS,270,string,authority control number per CALIS (China Academic Library & Information System),,
CiNii author identifier,271,string,"CiNii (Scholarly and Academic Information Navigator) authority control number of authors (""DA"" + 8 digits)",,
production company,272,item,"company that produced this film, audio or performing arts work",,
chemical formula,274,string,description of chemical compound based on element symbols,,
license,275,item,license under which this copyrighted work is released,,
located in,276,item,location the physical object or event is within,,
programming language,277,item,the programming language(s) in which the software is developed,,
GOST 7.75-97 code,278,string,language identification code according to GOST 7.75-97,,
subclass of,279,item,all of these items are instances of those items; this item is a class of that item,,
postal code,281,string,identifier assigned by postal authorities for the subject area,,
writing system,282,item,"alphabet, character set or other system of writing used by subject language",,
team manager or head coach,286,item,"on-field manager or head coach of this sports club (not to be confused with a general manager, which is not a coaching position)",,
designer,287,item,designer of this item,,
ship class,289,item,ship classification (e.g. Nelson-class battleship),,
place of publication,291,item,geographical place of publication of the edition (use 1st edition when referring to works),,
station code,296,string,identification code assigned to the railway station,,
ISO 3166-1 alpha-2,297,string,country code in two-letter format per ISO 3166-1,,
ISO 3166-1 alpha-3,298,string,country code in three-letter format per ISO 3166-1,,
ISO 3166-1 numeric,299,string,country code in numeric format per ISO 3166-1,,
ISO 3166-2,300,string,identifier for a country subdivision per ISO 3166-2 (include country code),,
category's main topic,301,item,primary topic of the subject category,,
EE breed number,303,string,breed identification number per the EE list of the breeds of fancy pigeons (ELFP),,
page,304,string,page number of source referenced for statement,,
IETF language tag,305,string,language identification code per the Internet Engineering Task Force,,
operating system,306,item,operating system (OS) on which a software works; OS installed on hardware,,
director of photography,344,item,"person responsible for the framing, lighting and filtration of the subject work",,
IMDb identifier,345,string,"identification code from the Internet Movie Database (IMDb) with prefix (tt-, nm-, ch-, co-)",,
Joconde ID,347,string,ID in the Joconde database of the French Ministry of Culture,,
stable version,348,string,up to date stable version of the software,,
NDL identifier,349,string,authority control number per the National Diet Library of Japan,,
RKDimages,350,string,identification number per RKDimages of the Netherlands Institute for Art History,,
Entrez Gene ID,351,string,gene identifier per the NCBI Entrez database,,
UniProt ID,352,string,protein identifier per the UniProt database.,,
gene symbol,353,string,official gene symbol,,
HGNC ID,354,string,Gene identifier from the HGNC database,,
subsidiaries,355,item,"subsidiary of a company or organization, opposite of parent company (P749)",,
DOI,356,string,Digital Object Identifier,,
title,357,string,"title of a work (such as a book, a film or a website)",,
discography,358,item,link to discography in artist or band page,,
Rijksmonument identifier,359,string,monument identifier assigned by the Rijksdienst voor het Cultureel Erfgoed,,
is a list of,360,item,this is a list of the following items,,
part of,361,item,subject is a part of that object,,
original language,364,item,language in which a work was originally created,,
use,366,item,main use of the subject (includes current and former usage),,
astronomic symbol image,367,Commons file,image of the symbol that identify a planet or an asteroid of the solar system,,
Sandbox-CommonsMediaFile,368,Commons file,"Sandbox property for value of type ""Commons Media File""",,
Sandbox-Item,369,item,"Sandbox property for value of type ""Item""",,
Sandbox-String,370,string,"Sandbox property for value of type ""String""",,
presenter,371,item,someone who takes a main role in presenting a radio or television program,,
Commons category,373,string,"name of the Wikimedia Commons category containing files related to this item (without the prefix ""Category"")",,
INSEE municipality code,374,string,identifier for a municipality per the National Institute of Statistics and Economic Studies in France,,
space launch vehicle,375,item,rocket or other vehicle for launching subject payload into space,,
on astronomical body,376,item,astronomical body on which features or places are situated,,
SCN,377,string,"Satellite Catalog Number, 5-digit-number including leading zeros (e.g. '00266')",,
M\u00e9rim\u00e9e identifier,380,string,monument identifier per the M\u00e9rim\u00e9e database of French cultural heritage,,
PCP reference number,381,string,identifier for cultural properties in Switzerland,,
CBS municipality code,382,string,identifier for a Dutch municipality as defined by Statistics Netherlands (CBS),,
quote,387,string,"quote from source pertaining to statement (to be used in the ""references"" field)",,
subtitle,392,string,subtitle of a work,,
edition number,393,string,"number of edition (first, second,... as 1, 2 ...) for a book or event",,
licence plate code,395,string,distinguishing signs or parts of license plate associated with the subject. For countries: international licence plate country code or distinguishing sign of vehicles,,
SBN identifier,396,string,control number issued by National Library Service (SBN) of Italy,,
astronomical body,397,item,major astronomical body the item belongs to,,
child astronomical body,398,item,the minor body that belongs to the item,,
companion of,399,item,two or more astronomic bodies of the same type relating to each other,,
platform,400,item,platform for which a work has been developed or released / specific platform version of a software developed,,
OpenStreetMap Relation ID,402,string,the ID of the relation of this place/object in OpenStreetMap,,
mouth of the watercourse,403,item,hydrological object,,
game mode,404,item,available playing mode(s) in a video game,,
taxon author,405,item,the author(s) that (optionally) may be cited with the scientific name,,
soundtrack album,406,item,album that incorporates music directly recorded from the soundtrack of a film or video game,,
language,407,item,"language of a work (not necessarily original language, use P364 instead or as well)",,
software engine,408,item,software engine employed by the subject item,,
NLA identifier,409,string,control number issued by the National Library of Australia (see also P1315 for the newer People Australia identifier),,
military rank,410,item,"military rank achieved by a person (should usually have a ""start date"" qualifier)",,
canonization status,411,item,stage in the process of attaining sainthood per the subject's religious organization.,,
voice type,412,item,"person's voice type. expected values: soprano, mezzo-soprano, contralto, countertenor, tenor, baritone, bass (and derivatives)",,
position played on team,413,item,"position the player plays, e.g. Small Forward",,
stock exchange,414,item,exchange on which this company is traded,,
radio format,415,item,describes the overall content broadcast on a radio station,,
quantity symbol,416,string,symbol for a physical quantity,,
patron saint,417,item,patron saint adopted by the subject,,
seal description,418,item,description of a subject's seal,,
time zone,421,item,time zone for this location,,
shooting handedness,423,item,"whether the hockey, football, handball or tennis player etc. passes o\u0157 shoots left- or right-handed",,
Wikimedia language code,424,string,language code as used by Wikimedia projects,,
field of this profession,425,item,field corresponding to profession,,
aircraft registration,426,string,registration identifier assigned to an individual aircraft,,
taxonomic type,427,item,"the type genus of this family (or subfamily, etc), or the type species of this genus (or subgenus, etc)",,
botanist author abbreviation,428,string,"standard form (official abbreviation) of a personal name for use in an author citation (only for names of algae, fungi and plants)",,
dantai code,429,string,identifier for administrative division in 6-digit format assigned by the interior ministry of Japan,,
callsign of airline,432,string,identifier used in radio transmissions to refer to the subject airline,,
issue,433,string,"issue of a newspaper, a scientific journal or magazine for reference purpose",,
MusicBrainz artist ID,434,string,artist identifier per the MusicBrainz open music encyclopedia,,
MusicBrainz work ID,435,string,work identifier per the MusicBrainz open music encyclopedia,,
MusicBrainz release group ID,436,string,release group identifier per the MusicBrainz open music encyclopedia (album),,
distribution,437,item,method (or type) of distribution for the subject,,
inscription,438,string,"inscriptions, markings and signatures on an object",,
German municipality key,439,string,identifier for municipalities and independent towns in Germany,,
German district key,440,string,identifier for districts (Landkreise) and independent towns in Germany,,
China administrative division code,442,string,identifier for administrative divisions of People's Republic of China (with spaces),,
pronunciation audio,443,Commons file,audio media file on Wikimedia Commons with pronunciation,,
review score,444,string,review score received by a creative work,,
score by,447,item,issuer of a review score,,
launch site,448,item,site or launch pad from where the spacecraft was launched,,
original network,449,item,network(s) the radio or television show was originally aired on. This does not include later re-runs or additional syndication.,,
astronaut mission,450,item,space mission that the subject is or has been a member of (do not include future missions),,
cohabitant,451,item,"Someone with whom the person is in a relationship without being married. Use ""spouse"" for married couples.",,
industry,452,item,industry of company or organization,,
character role,453,item,specific role played or filled by subject (use only as qualifier of P161 or P725),,
Structurae ID (structure),454,string,"identifier for a building in the Structurae database (""s"" or 'p' + 7 digits)",,
Emporis ID,455,string,identifier for a building in the Emporis database,,
foundational text,457,item,text through which an institution has been created,,
IMO ship number,458,string,ship identifier per IMO,,
determination method,459,item,qualifier stating how a value has been determined,,
said to be the same as,460,item,"this item is said to be the same as that item, but the statement is disputed",,
opposite of,461,item,item that is the opposite of this item,,
color,462,item,color of subject,,
member of,463,item,"part of a specific organization or club. Do not use for membership in ethnic or social groups, nor for holding a position such as a member of parliament (use P39 for that).",,
NOR,464,string,ID for French official texts,,
sRGB color hex triplet,465,string,sRGB hex triplet format for subject color (e.g. 7FFFD4),,
occupant,466,item,person or organization occupying a building or facility,,
legislated by,467,item,indicates that an act or bill was passed by a legislature.  The value can be a particular session of the legislature,,
dan/kyu rank,468,item,"rank system used in several board games (e.g. go, shogi, renju), martial arts (e.g. judo, kendo, wushu) and some other games",,
lakes on river,469,item,"lakes and reservoirs the river flows through, flows into or flows out of",,
Eight Banner register,470,item,Manchu household register for people of the Qing Dynasty,,
local dialing code,473,string,identifier dedicated to subject city by the area communication network,,
country calling code,474,string,dialed on phone for a country after the international dialing prefix (precede value by +),,
CELEX number,476,string,ID for European legal texts in EUR-Lex database,,
Canadian Register of Historic Places identifier,477,string,identifier in the Canadian Register of Historic Places,,
volume,478,string,"volume of a book in a collection/series, for reference",,
input device,479,item,input method or device used to interact with a software product,,
FilmAffinity identifier,480,string,FilmAffinity identification number of a creative work,,
Palissy identifier,481,string,identifier in the Palissy database of moveable objects of French cultural heritage,,
recorded (at),483,item,studio where a musical composition was recorded,,
"IMA Number, broad sense",484,string,mineral identifier per the International Mineralogical Association,,
archives at,485,item,the institution holding the subject's archives,,
MeSH ID,486,string,unique ID in the MeSH descriptor database,,
Unicode character,487,string,Unicode character representing the item,,
chairperson,488,item,"presiding member of an organization, group or body",,
currency symbol description,489,item,item with description of currency symbol,,
provisional designation,490,string,designation of an astronomical body after its discovery and before its official name,,
orbit diagram,491,Commons file,image with the diagram of the orbit of an astronomic body,,
OMIM ID,492,string,"Online ""Mendelian Inheritance in Man"" catalogue codes for diseases",,
ICD-9,493,string,ICD catalogue codes for diseases \u2013 Version 9,,
ICD-10,494,string,ICD catalogue codes for diseases - Version 10,,
country of origin,495,item,country of origin of the creative work or subject item,,
ORCID,496,string,Open Research Contributor ID for a person,,
CBDB ID,497,string,ID of a person in the China Biographical Database,,
ISO 4217 code,498,string,ISO 4217 code of currency,,
exclave of,500,item,territory is legally or politically attached to a main territory with which it is not physically contiguous because of surrounding alien territory. It may also be an enclave.,,
enclave within,501,item,territory is entirely surrounded by the other (enclaved),,
HURDAT identifier,502,string,the subject's HURDAT (North Atlantic hurricane database) identifier,,
ISO standard,503,string,number of the ISO standard which normalizes the object,,
home port,504,item,"home port of the vessel (if different from ""ship registry""): For civilian ships, the primary port from which the ship operates. Port of registry (the one painted on the stern) should be listed in ""Ship registry"". For warships, this will be the ship's assigned naval base",,
general manager,505,item,general manager of a sports team,,
ISO 15924,506,string,code for writing systems,,
Swedish county code,507,string,"identifier for a county in Sweden ""l\u00e4nskod"" (two-digit)",,
BNCF Thesaurus,508,string,link to Italian national thesaurus at BNCF,,
cause of death,509,item,"underlying or immediate cause of death.  Underlying cause (e.g. car accident, stomach cancer) preferred.  Use 'manner of death' (P1196) for broadest category, e.g. natural causes, accident, homicide, suicide",,
honorific prefix,511,item,"word or expression used before a name, in addressing or referring to a person",,
academic degree,512,item,academic degree that the person holds,,
birth name,513,string,"name at birth, only if different from current name",,
interleaves with,514,item,stratigraphic relation in which two units overlap each other marginally,,
phase of matter,515,item,"state or phase of the matter at which the measure was made (gas, liquid, solid... See talk page)",,
powerplant,516,item,equipment or engine used to power the subject,,
interaction,517,item,"with which of the 4 fundamental forces does the particle interact? strong interaction Q11415, electromagnetic: Q849919, weak interaction: Q11418, gravitation: Q11412",,
applies to part,518,item,part of the item for which the claim is valid,,
armament,520,item,equippable weapon item for the subject,,
scheduled service destination,521,item,airport or station connected by regular direct service to the subject,,
type of orbit,522,item,orbit a satellite has around its central body,,
temporal range start,523,item,the start of a process or appearance of a life form relative to the geologic time scale,,
temporal range end,524,item,the end of a process or extinction of a life form relative to the geologic time scale,,
Swedish municipality code,525,string,"identifier for a municipality in Sweden ""kommunkod"" (four-digit)",,
has part,527,item,object is a part of this subject,,
catalog code,528,string,"catalogue name of an object, use with qualifier P972",,
runway,529,string,name (direction) of runway at airport/airfield/airstrip,,
diplomatic relation,530,item,diplomatic relations of the country,,
diplomatic mission sent,531,item,"location of diplomatic mission, i.e. consulate of A in the capital city of B",,
port of registry,532,item,"ship's port of registry. This is generally painted on the ship's stern (for the ""home port"", see Property:P504)",,
target,533,item,target of a terrorist attack or military operation,,
streak color,534,item,color of a mineral or material when abraded,,
Find a Grave ID,535,string,the subject's ID in the Find a Grave database,,
ATP ID,536,string,ATP tennis male player identifier,,
twinning,537,item,type of twins a crystal forms,,
fracturing,538,item,type of fracture a crystal or mineral forms,,
Museofile,539,string,ID of a museum in the Museofile database of the French ministry of culture,,
office contested,541,item,title of office which election will determine the next holder of,,
officially opened by,542,item,person that officially opened the event,,
oath made by,543,item,"person(s) that made the oath at an event, like the Olympic Games",,
torch lit by,545,item,"person that lit the torch at an event, like the Olympic Games",,
docking port,546,item,docking port for the dock,,
commemorates,547,item,"what the place, monument, memorial, holiday, commemorates",,
version type,548,item,type of version (qualifier for P348),,
Mathematics Genealogy Project identifier,549,string,identifier for mathematicians and computer scientists at the Mathematics Genealogy Project,,
chivalric order,550,item,the chivalric order which a person belongs to,,
residence,551,item,"the place where the person is, or has been, resident",,
handedness,552,item,handedness of the person,,
website account on,553,item,a website that the person or organization has an account on (use with P554) Note: only used with reliable source or if the person or organization disclosed it.,,
website username,554,string,username on a website that the person or organization has an account on (only use as qualifier of P553),,
doubles record,555,string,win/lose balance for a player in doubles tournaments,,
crystal system,556,item,type of crystal for crystal coumpounds,,
DiseasesDB,557,string,identifier sourced on the Diseases Database,,
unit symbol,558,string,symbol of a unit,,
terminus,559,item,"the feature (intersecting road, train station, etc.) at the terminus of a linear feature",,
direction,560,item,a directional identifier of something,,
NATO reporting name,561,string,official reporting name assigned by the ASCC for NATO use,,
central bank/issuer,562,item,central bank or other issuing authority for the currency,,
ICD-O,563,string,International Classification of Diseases for Oncology,,
singles record,564,string,win/lose balance for a player in singles tournaments,,
crystal habit,565,item,the proportions of a crystal or mineral,,
basionym,566,item,"the legitimate, previously published name on which a new combination or name at new rank is based",,
hangingwall,567,item,item that is in the hanging wall of this item,,
footwall,568,item,item that is in the footwall of this item,,
date of birth,569,time,date on which the subject was born,,
date of death,570,time,date on which the subject died,,
date of foundation or creation,571,time,when the organization/object was founded/created,,
date of scientific description,574,time,publication date of the scientific name,,
discovery date,575,time,when the item was discovered,,
date of dissolution,576,time,date on which the organisation was dissolved,,
date of publication,577,time,date when this work was published,,
Sandbox-TimeValue,578,time,"Sandbox property for value of type ""TimeValue""",,
IMA status,579,item,status given to each mineral by the IMA (International Mineralogical Association),,
start date,580,time,"indicates the time an item begins to exist or a statement starts being valid, usually used as a qualifier",,
end date,582,time,indicates the time an item ceases to exist or a statement stops being valid,,
point in time,585,time,"time and date something took place, existed or a statement was true",,
IPNI author ID,586,string,ID of a person in the International Plant Names Index,,
MMSI,587,string,Maritime Mobile Service Identity of a ship station,,
coolant,588,item,substance used by the subject to dissipate excess thermal energy,,
point group,589,item,crystal subdivision,,
GNIS ID,590,string,"official identification code for geographic objects in the US. For Antarctica, use Property:P804",,
EC number,591,string,Enzyme Commission number (\u2260 European Commission number P232),,
ChEMBL ID,592,string,chemical database of bioactive molecules with drug-like properties,,
HomoloGene ID,593,string,identification,,
Ensembl Gene ID,594,string,gene identifier as per the Ensembl ( European Bioinformatics Institute and the Wellcome Trust Sanger Institute)  database,,
IUPHAR ID,595,string,ID of the International Union of Pharmacology databank,,
WTA ID,597,string,WTA tennis female player identifier,,
commands,598,item,"for persons who are notable as commanding officers, the units they commanded",,
ITF ID,599,string,ITF tennis player identifier,,
Wine AppDB-ID,600,string,Application-ID in the the AppDB of WineHQ,,
MedlinePlus ID,604,string,"health information from U.S. government agencies, and health-related organizations",,
NUTS code,605,string,NUTS-Code of a region,,
first flight,606,time,date on which aircraft first flew,,
conflict,607,item,"battles, wars or engagements in which the person or item participated",,
exhibition history,608,item,exhibitions where the item was displayed,,
terminus location,609,item,location of the terminus of a linear feature,,
highest point,610,item,"point with highest elevation in the country, region, city or area",,
religious order,611,item,order of monks or nuns which the monastery housed,,
mother house,612,item,name of the mother house,,
OS grid reference,613,string,grid location reference from the Ordnance Survey National Grid reference system used in Great Britain,,
CHRC,616,string,Cultural heritage registration code (Iran),,
yard number,617,string,number of the ship assigned by its builder (shipyard),,
source of energy,618,item,describes the source of energy an animated object (machine or animal) uses,,
spacecraft launch date,619,time,date and time in UTC,,
spacecraft landing date,620,time,spacecraft landing date in UTC,,
spacecraft decay date,621,time,spacecraft orbit decay date in UTC,,
spacecraft docking/undocking dates,622,time,,,
guidance system,624,item,guidance system of a missile,,
coordinate location,625,geo coordinate,geocoordinates of the subject,,
Sandbox-GeoCoordinateValue,626,geo coordinate,"Sandbox property for value of type ""GeoCoordinateValue""",,
IUCN-ID,627,string,source for IUCN conservation status (P141),,
