entity	gender
Albert Sarraut	Male
Tina Turner	Female
Guy Kawasaki	Male
Pip Carter	Male
Brad Bird	Male
Bob Wallace	Male
Rodney Jerkins	Male
Alberto Gonzales	Male
Michael Saxell	Male
Randall Cunningham	Male
Krausismo	unsure
Florent Sinama Pongolle	Male
Saladin	Male
Patsy	unsure
Don Hannah	Male
Gmelin	unsure
Delia Derbyshire	Female
Francis Conyngham, 2nd Marquess Conyngham	Male
Carmelita Geraghty	Female
Petter Karsten	Male
Thierry Henry	Male
Kisho Kurokawa	Male
Mikhail Evstafiev	Male
Ferdinando Sanfelice	Male
Thrasyvoulos Zaimis	Male
Carlo Rosselli	Male
Yannick Carter	Male
William Burnside	Male
Henny Moan	Male
Sidney Torch	Male
Michel-Jean Sedaine	Male
Joe Walsh	Male
Isabelle Breitman	Female
David Gorcey	Male
Audrey Tautou	Female
Dino Dvornik	Male
Arthur Drews	Male
Teala Dunn	Female
They	unsure
Harry Carpenter	Male
Hannah Szenes	Female
Quezon	Male
Maxine Miller	Female
Helen Fospero	Female
Ernie Whitt	Male
Ignazio Silone	Male
Harlan Carey Brewster	Male
Nathaniel Bright Emerson	Male
Boris Kochno	Male
Nikolai Luzin	Male
Nicolai Stepanovitch Turczaninow	Male
Colin Kenny	Male
Otto E. Neugebauer	Male
Linsey Godfrey	Female
Rosie Malek-Yonan	Female
Ryu Hyeon-kyeong	Female
Mikhail Leonidovich Gromov	Male
Pauline Lafont	Female
Ian Collier	Male
Chus Lampreave	Female
Rod Argent	Male
Gu Seung-hyeon	Male
Tony Hancock	Male
Gordon Bell	Male
Steve Hughes	Male
biliopancreatic diversion	unsure
Krister Henriksson	Male
Franco Sacchetti	Male
Ed McNamara	Male
Thomas Dewey	Male
Alfred Adler	Male
Robert Bunsen	Male
Alberto Fujimori	Male
Georges-Louis Leclerc, Comte de Buffon	Male
Ilya Ehrenburg	Male
Guruprasad	Male
Aby Warburg	Male
Tim Kellett	Male
Supply Belcher	Male
Jude Wanniski	Male
Stephanie Faracy	Female
Mariah Carey	Female
Stephen Fry	Male
Mayra Alejandra	Female
Leonhard Euler	Male
Thelonious Monk	Male
Lord Byron	Male
Joxe Azurmendi	Male
Yevgeny Yevtushenko	Male
Charles-Joseph Panckoucke	Male
Torbern Bergman	Male
Verity Lambert	Female
Nicolai Abildgaard	Male
Georg Mohr	Male
Patrick Chamoiseau	Male
Willebrord Snellius	Male
Ian Trethowan	Male
Rob Owen	Male
Matthew Sharpe	Male
Alain Robbe-Grillet	Male
Porfiry Ivanov	Male
Ron Rash	Male
Josh Gibson	Male
integument	unsure
Les Claypool	Male
Victorien Sardou	Male
Shakira	Female
Barry Morse	Male
Bill Clinton	Male
Theo van Doesburg	Male
Giuseppe Torelli	Male
Philip Jenkinson	Male
Rayner Taylor	Male
Stephanie Flanders	Female
Isaac Massa	Male
Kervaire	Male
Max Weber	Male
Muriel Barbery	Female
Tigellinus	Male
Thoreau	Male
Nikolai Myaskovsky	Male
Herbert Robbins	Male
Donald Cameron	Male
Jack Kilcoyne	Male
John Napier	Male
Franz Kafka	Male
Nur ad-Din al-Bitruji	Male
George Metallinos	Male
Michelangelo	Male
Margaret Mead	Female
Alfred	unsure
Raimonds Pauls	Male
Laura Belli	Female
Mario Lemieux	Male
Sergei Diaghilev	Male
Frank Knox	Male
Simon Ramsay	Male
Johann Wolfgang von Goethe	Male
Carlos Gallardo	Male
Scott Milanovich	Male
Rudolf Maister	Male
Luana Anders	Female
El Gran Wyoming	Male
Naoko Iijima	Female
Raymond Smith Dugan	Male
Alexander Wittek	Male
Kamaal Khan	Male
Emilio Rivera	Male
William Morris	Male
Ralph Senensky	Male
Regiomontanus	Male
Johann von Rist	Male
Joe "Fingers" Carr	Male
Jason Paige	Male
Chester See	Male
Niall MacDermot	Male
Yakubu Gowon	Male
Suzy Prim	Female
Ctesias	Male
Gerrit Komrij	Male
Karl Friedrich Schimper	Male
Thomas Hardy	Male
Iliana Fox	Female
George Santayana	Male
Mikio Sato	Male
Piotr Sztompka	Male
Chase Young	Male
Javed Khan Amrohi	Male
Adam Amin	Male
Georges Pompidou	Male
Mircea Florian	Male
Guy Sorman	Male
Asa Gray	Male
G. Evelyn Hutchinson	Male
Claude Louis Hector de Villars	Male
George Harrison	Male
Renato Sellani	Male
Edward Frankland	Male
Jacques Laffitte	Male
Michael Sidney Timpson	Male
Malcolm Keen	Male
Johannes Eugenius Bülow Warming	Male
Gene Pitney	Male
Julien Carette	Male
Bobbi Kristina Brown	Female
Howard Sounes	Male
Nathalie Kosciusko-Morizet	Female
Jesse McCartney	Male
Patrick Joseph Sullivan	Male
Ysanne Churchman	Female
Anton Walter	Male
Michael McKell	Male
Wes Montgomery	Male
Joost Swarte	Male
Nao Takasugi	Male
Raoul Walsh	Male
Julian Beck	Male
Lorne Spicer	Female
Peter Artedi	Male
Ginette Leclerc	Female
Louis Friant	Male
Guy Doleman	Male
Qin Hao	Male
Allan Kardec	Male
Giuseppe Saracco	Male
Geometry Festival	unsure
Bowie Lam	Male
Anthony Neilson	Male
Will Wyatt	Male
Percy Snow	Male
John Obadiah Westwood	Male
Johann Carl Friedrich Gauss	Male
Volcher Coiter	Male
Galileo Galilei	Male
Kishin Shinoyama	Male
Raimo Helminen	Male
Kinuyo Tanaka	Female
Marian Rejewski	Male
Alfred L. Kroeber	Male
Claude Victor-Perrin, Duc de Belluno	Male
Bernardo de Irigoyen	unsure
Gatien de Courtilz de Sandras	unsure
John Crewe, 1st Baron Crewe	unsure
Joe Garagiola Sr.	unsure
John Coltrane	unsure
Kether Donohue	unsure
Aristotle	unsure
George Bennard	unsure
Jim Zorn	unsure
Lucie Arnaz	unsure
Arthur Oswald James Hope	unsure
Jacobus Henricus van 't Hoff	unsure
Stanley Lebowsky	unsure
Hosni Mubarak	unsure
Lionel Walter Rothschild, 2nd Baron Rothschild	unsure
Martin Kosleck	unsure
William Averell Harriman	unsure
Abby Elliott	unsure
Ronald	unsure
Elias James Corey	unsure
Lino Brocka	unsure
Jeff George	unsure
Amasis	unsure
Manuel Sadosky	unsure
Kimika Yoshino	unsure
Frank Comerford Walker	unsure
Apostolo Zeno	unsure
Laurent Lafitte	unsure
Antoine Augustin Calmet	unsure
Michel Mossessian	unsure
Tony Reali	unsure
Srinivas	unsure
Frederick Volpe	unsure
Gabriele Albertini	unsure
Seth Lakeman	unsure
Boutros Boutros-Ghali	unsure
Kazimierz Ajdukiewicz	unsure
Heather Cox	unsure
Vincent Lacoste	unsure
Reinhart Dozy	unsure
David McIlwraith	unsure
Dave Winfield	unsure
Gavin Esler	unsure
Antoine Augustin Cournot	unsure
Dahlgren	unsure
Nigel de Jong	unsure
Shigeru Miyamoto	unsure
Yves Bonnefoy	unsure
Sergei Makarov	unsure
Tedy Bruschi	unsure
Shungicu Uchida	unsure
John Vivyan	unsure
John Anthony Walker	unsure
Karle Warren	unsure
Rajesh Khanna	unsure
Compay Segundo	unsure
David Manners	unsure
Adrian van Hooydonk	unsure
Subair	unsure
Pascal Leclaire	unsure
Ray Ozzie	unsure
Irina Bokova	unsure
Rory O'Hanlon	unsure
Erin Gray	unsure
Keith Olbermann	unsure
Bruce Perens	unsure
Jean-Claude Van Damme	unsure
Michel Houellebecq	unsure
Raïs M'Bolhi	unsure
Sir William Hart Dyke, 7th Baronet	unsure
Wang Yaping	unsure
Mark Easton	unsure
James Landale	unsure
Alexander Lebedev	unsure
Nicholas Michael Katz	unsure
Camille Flammarion	unsure
Giovanni Battista Riccioli	unsure
Claude Aveline	unsure
Dhanush	unsure
Yana Toboso	unsure
Arthur Leonard Schawlow	unsure
Kazys Lozoraitis	unsure
Colin Kaepernick	unsure
Marie Skłodowska Curie	unsure
Sepala Attygalle	unsure
Shelby Foote	unsure
Antonio Caggiano	unsure
Joseph Kaufman	unsure
Philip Ahn	unsure
Hubert Petschnigg	unsure
Millard Powers	unsure
Kurt Furgler	unsure
Gregory Scott	unsure
Bobby Andrews	unsure
Frantz Fanon	unsure
Claudio Reyna	unsure
Patrick Moore	unsure
John Fortune	unsure
Hızır Reis	unsure
Harris Allan	unsure
Gabriel Horn	Male
Trevor Dunn	Male
Efren Navarro	Male
Wim Crouwel	Male
Ed Logg	Male
Nicholas John Hannen	Male
Joseph Hayes	Male
Akshaye Khanna	Male
Padraic Colum	Male
Axel Fredrik Cronstedt	Male
Eugene Kaspersky	Male
Chris Bangle	Male
Ruggero Settimo	Male
Sy Smith	Female
Johann Wilhelm Wilms	Male
Claudia Brant	Female
Hugh Manning	Male
Benjamin Baillaud	Male
Armand Lunel	Male
John Clayton Allen	Male
William Langewiesche	Male
Gaetano Fichera	Male
Lipman Bers	Male
Moira Stuart	Female
Fanny Bullock Workman	Female
Edward Drinker Cope	Male
Jon Rose	Male
José Canseco	Male
Mordecai Bartley	Male
Aleksei Dikiy	Male
Merl Saunders	Male
Robbie Rogers	Male
Barry Sobel	Male
Mike Teel	Male
Otto von Bismarck	Male
Dan Fouts	Male
Ruslan Khasbulatov	Male
Jean-Marie Le Pen	Male
Jean Dujardin	Male
Vlada Roslyakova	Female
Benjamin Fondane	Male
Klaus Tschira	Male
David Yost	Male
Christian Bouchet	Male
Adrian Lewis Morgan	Male
Aryabhata	Male
Elizabeth Carling	Female
Siem de Jong	Male
William Herschel	Male
Ludwig Klages	Male
Pino Palladino	Male
Jeff Fager	Male
Benjamin Netanyahu	Male
O. J. Simpson	Male
Tom Waits	Male
Andrea Pirlo	Male
Francis Stuart	Male
Mikhail Khodorkovsky	Male
Ken Dryden	Male
Uspekhi Fizicheskikh Nauk	unsure
Alan Sugar	Male
Werner Fenchel	Male
Akshay Kumar Boral	Male
Frances Sheridan	Female
Augustin-Jean Fresnel	Male
Carlos Beltrán	Male
Roger Hanin	Male
Avi Wigderson	Male
Feynman	unsure
Bibiana Candelas	Female
Alfred Francis Russell	Male
Menelik II	Male
Unknown Hinson	unsure
Eja	unsure
Sattanar	unsure
Freek de Jonge	Male
Raimundo Pereira	Male
Peter Kropotkin	Male
James George Frazer	Male
Brian De Palma	Male
Liberty Hyde Bailey	Male
Eisenbud	unsure
Edward Burtynsky	Male
Mary Collinson	Female
Gregory III	Male
Paul	Male
Robert Garnier	Male
Corey Hirsch	Male
Michael Penn	Male
Jeffrey Carlson	Male
Lawrie Johnson	Male
Maheswari	Female
Carl Jung	Male
Chuck Connors	Male
Vilfredo Pareto	Male
Paul McGann	Male
Scott Fankhouser	Male
Robert Ridgway	Male
Joan Hooley	Female
Ralph Alessi	Male
Rebecca Gomperts	Female
Michael	Male
Joseph Diez Gergonne	Male
Bradley Joseph	Male
Gary Lineker	Male
Max Neufeld	Male
Roy Shepherd	Male
Jürgen Locadia	Male
Zamenhof	unsure
Cyril Collard	Male
Takuya Ōnishi	Male
Francisco Varela	Male
Abbas Araghchi	Male
Moses ben Joshua	Male
Antonio Navarro	Male
Evan Bayh	Male
Simon Dallow	Male
Jan Baptist Van Helmont	Male
Samuel J. Palmisano	Male
Paul Doumer	Male
Joel-Peter Witkin	Male
Paul Broca	Male
Georges Aperghis	Male
Jean Le Rond d'Alembert	Male
Louis Loucheur	Male
Carl Alexander Clerck	Male
Claude Henri de Rouvroy, comte de Saint-Simon	Male
Courant Institute	unsure
George Thalben-Ball	Male
Dmitry Sitkovetsky	Male
Bernard Musson	Male
Robert Neelly Bellah	Male
Tony Gwynn	Male
chemical test	unsure
Colette Darfeuil	Female
Ernst Adalbert von Harrach	Male
Valentin Glushko	Male
Christopher Elton	Male
Rolf Harris	Male
Jean-Pierre Pernaut	Male
Michael Galvin	Male
Wilhelm Ferdinand Erichson	Male
Nan Wood Honeyman	Female
Pavel Bure	Male
Joe Malloori	Male
Albrecht Wilhelm Roth	Male
Philoxenus of Cythera	Male
Mithat Bayrak	Male
Alexandre Lagoya	Male
Miltos Sachtouris	Male
David Hellenius	Male
Ian Jacob	Male
Henricus Regius	Male
Brian Hayward	Male
Tim Tebow	Male
Oswald Ottendorfer	Male
Trond Kirkvaag	Male
Dhananjay Singh	Male
Brooke Burke	Female
Catherine Picard	Female
Louis Cappel	Male
Vanessa Ray	Female
Cora Diamond	Female
Divya Gopikumar	Female
Peter Swinnerton-Dyer	Male
Michael Dorn	Male
Gregory XV	Male
Dar Williams	Female
Hubert von Luschka	Male
Simon Jenko	Male
Sir Alec Douglas-Home	Male
Leo XIII	Male
Bashkim Kadrii	Male
Paul Wilson, Baron Wilson of High Wray	Male
Johann Moriaen	Male
Statius	Male
Park Am	unsure
Jeanne Moreau	Female
Otto Neurath	Male
Carl von Linné	Male
Elsa Zylberstein	Female
Arthur Caesar	Male
William Kirby	Male
Yuri Vladimirovich Linnik	Male
Svea Holst	Female
Moritz Kaposi	Male
Isidore de Lara	Male
Pictures of the Year International	unsure
Moe Berg	Male
Edward Dodsley Barrow	Male
Eugene Odum	Male
Thomas J. Watson	Male
Malcolm Arthur Smith	Male
Cornell Brown	Male
Julius Hermann Schultes	Male
Rie Miyazawa	Female
August Weismann	Male
William Buckland	Male
Stephen Graham	Male
Steve Swallow	Male
Carlo Allioni	Male
Ernie Wise	Male
Simon Dubnow	Male
Tadas Ivanauskas	Male
Eddie Mair	Male
Simon Arnauld de Pomponne	Male
Hertha Ayrton	Female
Baizhang Huaihai	Male
Jim McGrath	Male
Robert Fripp	Male
Jean de La Fontaine	Male
Biagio Marini	Male
Shantaram	unsure
Vondell Darr	unsure
Jacques Dufilho	Male
Heinrich Christian Friedrich Schumacher	Male
Melanie Klein	Female
Roger Maris	Male
Walter Hines Page	Male
Johann Strauss, Jr.	Male
Durga Khote	Female
Barack Obama	Male
Derek Paravicini	Male
Marcel Dassault	Male
Stephen Wolfram	Male
Emmanuelle Arsan	Female
Lou Reed	Male
Germaine Dieterlen	Female
Daron Hagen	Male
Hisham Zreiq	Male
Mark Lawrenson	Male
Larry Doby	Male
Freudian	unsure
Louis Jules Trochu	Male
Pepeu Gomes	Male
Brian Dannelly	Male
Francesco Maurolico	Male
Bernard de Marigny	Male
tachisme	unsure
Marc-Philippe Daubresse	Male
Vladimir Putin	Male
Yuvraj Hans	Male
Romain Duris	Male
Arturo Jauretche	Male
Linda Kaye Henning	Female
Mark S. Granovetter	Male
Herb Greene	Male
Shigeru Yoshida	Male
Joachim Lebreton	Male
Anton Fier	Male
Willem de Sitter	Male
Nicholas Katzenbach	Male
Charles FitzGerald, 1st Baron Lecale	Male
Ulrich Beck	Male
Ry Cooder	Male
Pierre Blanchar	Male
Louis Racine	Male
Vera Brezhneva	Female
Lee Yoo-jin	Female
Gustave Flaubert	Male
Lynne Carol	Female
Marián Hossa	Male
Jiro Yoshihara	Male
Hermann Klaatsch	Male
Ray Charles	Male
Daniel Ceccaldi	Male
Dernst "D'Mile" Emile II	Male
John Gawsworth	Male
Robert David Hall	Male
Willie Blount	Male
Dumitru Prunariu	Male
Steven Mercurio	Male
Raoul Pugno	Male
Craig Charles	Male
Louis Joxe	Male
Anti-Oedipus	unsure
Kiersten Warren	Female
Pawan Kalyan	Male
Raymond Radiguet	Male
Alan Turing	Male
Cristina Peri Rossi	Female
John Cygan	Male
Danny Dayton	Male
Kris Kristofferson	Male
Keith Prentice	Male
Gloria Estefan	Female
Bruce Springsteen	Male
Luisella Boni	Female
Domenico Comino	Male
Karl Christian Friedrich Krause	Male
Isaac Barrow	Male
Lawrence Solomon	Male
Robbie Keane	Male
Anne La Berge	Female
Hiram Johnson	Male
Shruti Sharma	Female
Dutch Golden Age painting	unsure
Peter MacNicol	Male
Ruggiero Ricci	Male
Douglas Fowley	Male
James Nesbitt	unsure
Rob Pike	unsure
Pandit Jawaharlal Nehru	unsure
Solomon Grigor'evich Mikhlin	unsure
Vauro Senesi	unsure
Robert Jay Lifton	unsure
Apurva Agnihotri	unsure
Corey Moore	unsure
Anton Nel	unsure
Gunnar Birkerts	unsure
Jeremy Allen White	unsure
Jan Commelin	unsure
John Elway	unsure
Jack Lynch	unsure
Spike Milligan	unsure
Robert Lawson Vaught	unsure
Willie Stargell	unsure
Riky Rick	unsure
Silvan Shalom	unsure
Alain Marleix	unsure
Norbert Wiener	unsure
Laura Trevelyan	unsure
Polaire	unsure
Young Jean Lee	unsure
R.A. Dickey	unsure
Peter Florin	unsure
Zoren Legaspi	unsure
Heath Ledger	unsure
Casey Stengel	unsure
Ewa Farna	unsure
Polk	unsure
Craig Erickson	unsure
Brandon Tartikoff	unsure
Bud Tribble	unsure
Kate Maberly	unsure
Ray Kurzweil	unsure
Angelo Crowell	unsure
Jocelyn Thibault	unsure
Georg Ernst Stahl	unsure
Raymond Paley	unsure
Nilakantha Somayaji	unsure
Vera Lynn	unsure
William Warren Baldwin	unsure
Greg Dyke	unsure
Scott Marlowe	unsure
Lil' Romeo	unsure
Frédéric Piquionne	unsure
Martin McCarrick	unsure
Nils Strindberg	unsure
Michel d'Ornano	unsure
Didier Daeninckx	unsure
Pierre Trabaud	unsure
John Haviland	unsure
Paul Hedqvist	unsure
Jalil Lespert	unsure
Virgil Carter	unsure
Joseph II	unsure
vector space	unsure
Pat Corrales	unsure
Charles Hamilton Sorley	unsure
Anatoly Konstantinovich Rozhdestvensky	unsure
Jean Sibelius	unsure
Sextus Afranius Burrus	unsure
Pierre Amine Gemayel	unsure
Manuel Valls	unsure
Anna Bijns	unsure
Claude Fayette Bragdon	unsure
Jack Boucher	unsure
Photinus of Sirmium	unsure
Kelly Marcel	unsure
Log Cabin Republicans	unsure
Bob Gibson	unsure
Leopold Gratz	unsure
Heinz Salfner	unsure
Michael William Balfe	unsure
Aleksandr Solzhenitsyn	unsure
Olympe de Gouges	unsure
Samuel Hill-Wood	unsure
reproductive endocrinology	unsure
Ulf Lundell	unsure
John Jacob Niles	unsure
Tony Fadell	unsure
Charles Darwin	unsure
genre painting	unsure
Shinichiro Sakurai	unsure
Cy Young	unsure
Earl Klugh	unsure
Friedrich Spanheim	unsure
Matthew Davis	unsure
David Crockett	unsure
Randall Hodgkinson	unsure
Tanya Lopert	unsure
Tsuyoshi Ihara	unsure
Anatoly Maltsev	unsure
Coenraad Jacob Temminck	unsure
Horatio Bottomley	unsure
Tony Blair	unsure
Eric Lindros	unsure
RuPaul	unsure
George Perry Graham	unsure
Adam Przeworski	Male
Noon Meem Rashid	unsure
Grimbald	unsure
Johannes de Sacrobosco	unsure
Don Durant	Male
William Stern	Male
Toko Yasuda	Female
Adrian III	Male
Rick Braun	Male
Herbert Leon	Male
Lee Roy Jordan	Male
Isaac Stern	Male
Art Mengo	unsure
Catherine Deneuve	Female
Kyle Dean Massey	Male
William Alphonso Murrill	Male
William John Gruffydd	Male
Hamidou Benmassoud	Male
Mohammad Khatami	Male
Reinhold Niebuhr	Male
Steven Hartley	Male
Patrick Devedjian	Male
Arun Kumar Ahuja	Male
Johann Strauss II	Male
Jan Harold Brunvand	Male
Mustafa Pasha	Male
Wynton Marsalis	Male
Jimmy Hill	Male
Wagner	unsure
George Gardner	Male
Christy Mathewson	Male
Paul IV	Male
Jean-Joseph Rabéarivelo	Male
Irina Shayk	Female
Montfort Stokes	Male
Motschulsky	Male
Hu Jintao	Male
Adam Deibert	Male
Kim Maltman	Male
Lorraine Newman	Female
Jill Hyem	Female
Freddie Hubbard	Male
Peter Horrocks	Male
Tariq Saleh	Male
Terence Blanchard	Male
Sue Lawley	Female
Go Hyeon-jeong	Female
Bharat Nalluri	Male
Subagio Sastrowardoyo	unsure
Diane Ladd	Female
Eduardo Duhalde	Male
Susan Stamberg	Female
Henry George	Male
Tony Abbott	Male
Park Joong-hoon	Male
Tim Paterson	Male
Toshiko Akiyoshi	Female
Keen Johnson	Male
Otto Struve	Male
Alexander	Male
Conrad Aiken	Male
Marco Benevento	Male
Lori Singer	Female
Wolfe Morris	Male
Carl Menger	Male
Martine Brochard	Female
PhilPapers	unsure
ICTP Ramanujan Prize	unsure
Georges Chamarat	Male
Stephen Gaselee	Male
George Herbert	Male
Dolly Wells	Female
Henry Jackman	Male
Jack Buetel	Male
Rob Barrett	Male
Jules Paul Benjamin Delessert	Male
Eugene Lockhart	Male
John Calvin	Male
Heather Trost	Female
Thomas Arundel	Male
Ben Joseph Green	Male
Mahesh Babu	Male
Kim Beazley	Male
Arnaud Denjoy	Male
Tommie Smith	Male
Helmholtz	Male
Marcus Manilius	Male
Joel Sternfeld	Male
Haim Corfu	Male
John O'Hara	Male
John Stuart Mill	Male
Zachris Topelius	Male
Marwan al-Muasher	Male
Paul Davies	Male
Tod Browning	Male
Simon Gosejohann	Male
Horace Lamb	Male
Murakami	Male
John Polkinghorne	Male
Georg Dionysius Ehret	Male
Tomokazu Seki	Male
Yi-Fu Tuan	Male
Zelimkhan Yandarbiyev	Male
Stan Mikita	Male
Maria Tesselschade Visscher	Female
Alessandro Nesta	Male
Mathira	Female
Tycho Brahe	Male
Walter Payton	Male
Gilles Mayer	Male
Joseph Maiden	Male
Boyd Raeburn	Male
Guus Hiddink	Male
Vic Sotto	Male
Hisaichi Ishii	Male
Giordano Bruno	Male
Sumanth	Male
Adam Carolla	Male
Cyril Bradley Rootham	Male
Aruna Irani	Female
Yogi Berra	Male
John Carmel Heenan	Male
Joyce Steele	Female
Troy Donahue	Male
Johnny Beerling	Male
15th Lord Lovat	Male
Rawson Marshall Thurber	Male
Ricky Gardiner	Male
Gautier de Coincy	Male
Paule Andral	Female
Curtis McElhinney	Male
Eleanor Roosevelt	Female
Irene Ware	Female
Jean-Jacques Pauvert	Male
Elmore Leonard	Male
Joe Belfiore	Male
Delphine de Girardin	Female
R. H. Bruce Lockhart	Male
Ginger Grant	Female
Henry James Scrymgeour-Wedderburn	Male
Leonard Peikoff	Male
Sean Nelson	Male
Baibars	Male
Yale Strom	Male
Nani	unsure
Robert Peston	Male
Kurt Lewin	Male
Stephen Colbert	Male
Eddie Nash	Male
Giovanni Domenico Cassini	Male
Maurice Bucaille	Male
Wolfgang Sawallisch	Male
Jacques Attali	Male
Harold Scott MacDonald Coxeter	Male
Jan Tennant	Female
Lev Landau	Male
Charles Proteus Steinmetz	Male
Cuauhtémoc Blanco	Male
John Lawrence LeConte	Male
Stefano Vagnini	Male
Stafford Cripps	Male
Jef Raskin	Male
Daniel Goleman	Male
Sekhar Menon	Male
Drew Stanton	Male
Cyril Wong	Male
Mitt Romney	Male
Peter Macdissi	Male
Muhammad Iqbal	Male
Alain Savary	Male
Cornelis Tiele	Male
Lydia Chukovskaya	Female
Keisuke Okada	Male
Michael Romanoff	Male
Led Zeppelin	unsure
Catherine Rouvel	Female
Panagiotis Lafazanis	Male
Dominic Dierkes	Male
Michel Zevaco	Male
Thomas de Waal	Male
Ian Hodder	Male
Lea Padovani	Female
Nitzan Horowitz	Male
Fabricius	Male
Constantijn Huygens	Male
Christian Wilhelm Blomstrand	Male
Sun Ra	Male
Mike Veisor	Male
Roland Pertwee	Male
Werner Daehn	Male
Shmuel Noah Eisenstadt	Male
Neil Fanning	Male
Crawford Williamson Long	Male
Bert Lown	Male
Oskar Lafontaine	Male
Pierre Laval	Male
Raimu	Male
Wendelin Werner	Male
Truman	Male
Daniel Abineri	Male
Thomas Sutcliffe	Male
Cat Power	Female
John Rentoul	Male
Mark London Williams	Male
Nan Hoover	Female
Hara Pattanaik	Male
Beata Tyszkiewicz	Female
Freda Lingstrom	Female
Pierre Boulle	Male
A. P. J. Abdul Kalam	Male
Derek Trucks	Male
Marie Curie	Female
Idrees Sulieman	Male
Grothendieck	Male
Roger Bowen	Male
George Osborne	Male
Clement VIII	Male
Dave Sinclair	Male
Nuri as-Said	Male
Ermanno Wolf-Ferrari	Male
Sean Glennon	Male
Tom Fletcher	Male
Rosanne Cash	Female
Enrico Betti	Male
Carla Bley	Female
David Harvey	Male
Suzanne Virdee	Female
Hiroshi Hase	Male
Merritt	unsure
Danielle Winits	Female
JD Closser	Male
Elliot Aronson	Male
Willem Johan Kolff	Male
Rosey Grier	Male
Emily Maitlis	Female
Karl Polanyi	Male
Dudley R. Herschbach	Male
Bryshere Y. Gray	Male
Ahmad Brooks	Male
Fred Williamson	Male
Robert Stout	Male
Ellar Coltrane	Male
Noel Edmonds	Male
Teddy Wilson	Male
Martin Burrell	Male
Ibn Arabi	Male
millennialism	unsure
Charles Herbert Allen	Male
Marco da Gagliano	Male
Shi Yongxin	Male
Albert Kellogg	Male
Naum Ilyich Akhiezer	Male
Marc Dolez	Male
Sue Barker	Female
Karl-Theodor zu Guttenberg	Male
Rick Genest	Male
de Jussieu	Male
Kevin Norton	Male
Justin I	Male
Dany Robin	Female
Michel Corrette	Male
Henri Victor Regnault	Male
Jeff Zucker	Male
Otto Toeplitz	Male
Milt Kogan	Male
Fred Silverman	Male
Janez Bleiweis	Male
Leonard Knijff	Male
Maynard Sonntag	Male
Laurence Tisch	Male
Tim Horton	Male
Robert Minhinnick	Male
Huo Guang	Male
John Fellows Akers	Male
Alberto Closas	Male
Josephine Mitchell	Female
Michael Strahan	Male
Bec Hewitt	Female
Mickey Mantle	Male
Tsuyoshi Shinjo	Male
Robert Ardrey	Male
Henry Lee	Male
Gabriel Hanotaux	Male
Thunder	Male
Jean-Louis Barrault	Male
Dominik Hašek	Male
Maximilian Voloshin	Male
Mariano Rivera	Male
Mike Stratton	Male
Macarius	Male
Fritzi Brunette	Female
Philip Snowden	Male
boundary 2	unsure
Georges Altman	Male
Pat Crowley	Female
statistical model	unsure
Joan Collins	Female
Amilcare Ponchielli	Male
Roman Jakobson	Male
Hal Russell	Male
scientific method	unsure
Hamdeen Sabahi	Male
Poojappura Ravi	Male
Tetsuya Takahashi	Male
Harry Ham	Male
monoecious	unsure
Gustave Le Gray	Male
Henri Vidal	Male
Jean-Claude Brialy	Male
Alexandra Marinina	Female
Maine de Biran	Male
Hockett	unsure
Nicolas Steno	Male
Fidel Ramos	Male
